路得記
第一章
 	以利米勒與妻兒遷居摩押
10	波阿斯說：“我的女兒啊，願你蒙耶和華賜福。你後來表現的忠誠之愛比先前的更美，因為年輕人無論貧富，你都沒有跟從。
11	我的女兒啊，你不要怕！你所說的一切，我都會為你做，因為我全城的人民都知道你是有才德的女子。
12	現在，我確實是你的贖業親屬，只是還有一個人比我更親。
13	今晚你在這裡過夜，明早如果他肯為你盡贖業親屬的本分，很好，就讓他贖。但是如果他不願為你盡贖業親屬的本分，我指著永活的耶和華起誓，我必為你盡贖業親屬的本分。你只管躺臥到早晨。”
14	路得就在他腳旁躺下，直到早晨。人可以彼此辨認之前，路得就起來了。波阿斯心想：“不可讓人知道有女子到碾禾場來。”
15	他又對路得說：“拿下你身上的披肩，抓緊它。”她就抓緊它，波阿斯就量了六簸箕大麥，放在路得肩上。然後，他就進城去了。
 	路得把一切經過告訴娜娥米
16	路得到了婆婆那裡，婆婆說：“我的女兒啊，怎麼樣了？”路得就將那人為她所做的一切都告訴了婆婆。
17	又說：“他給了我這六簸箕大麥，他對我說：‘你不可空手去見你婆婆。’”
18	婆婆說：“我的女兒啊，你只管安坐等候，直到你得知這事結果如何，因為那人今天不辦成這事，就不會罷休。”
第四章
 	波阿斯娶路得為妻
1	波阿斯上到城門，坐在那裡。當時，波阿斯提到的那個贖業親屬正好經過。波阿斯說：“某某先生，請過來，到這裡坐。”他就過來坐下。
2	然後，波阿斯從本城的長老中挑選了十人，說：“請你們到這裡坐。”他們就都坐下。
3	波阿斯對那贖業親屬說：“從摩押地回來的娜娥米要賣我們族兄以利米勒的那塊地；
4	我想清楚告訴你，請你在居民和我族人的長老們面前，買下來吧！如果你肯贖就贖，如果不肯贖就告訴我，讓我知道；因為除了你當贖回外，其次就是我，此外沒有別人。”他說：“我肯贖！”
5	波阿斯說：“你從娜娥米和摩押女子路得手中買下那塊地的時候，也得娶死人的妻，使死人的名字在他的產業上存留下去。”
6	那贖業親屬說：“那我就不能贖了，恐怕我會損害我的產業。你可以贖我所當贖的，因我不能贖了。”
7	從前，在以色列中關於買贖或交易是這樣的，為了確認整件事情，一方必須脫鞋給另一方。以色列中都以此為證。
8	那贖業親屬對波阿斯說：“你自己買吧！”於是他把鞋子脫下來。
9	波阿斯對長老和在城門的所有人說：“今天你們是見證人，所有屬於以利米勒以及所有屬於基利雍和瑪哈隆的產業，我都從娜娥米手中買下來了。
10	我也娶瑪哈隆的遺孀摩押女子路得為妻，好讓死人的名字在他的產業上存留下去，免得死人的名字從他的族兄弟和他本地的城門被剪除。今天你們是見證人。”
11	在城門的所有人和長老說：“我們都是見證人。願耶和華使進你家的這女子，像建立以色列家的拉潔和莉亞二人一樣。又願你在以法他強盛，在伯利恆有名聲。
12	願耶和華從這年輕女子賜你後裔，使你的家像塔瑪從猶大所生法勒斯的家一樣。”
 	大衛的祖先
13	於是波阿斯娶路得為妻，與她行房。耶和華使她懷孕，她就生了一個兒子。
14	婦女們對娜娥米說：“耶和華配受稱頌，因為他今天沒有使你斷絕贖業親屬。願這孩子在以色列中得名聲。
15	他將使你生命復甦，奉養你的晚年，因為他是愛你的兒媳婦所生的。你有這兒媳婦，比有七個兒子還好！”
16	娜娥米把孩子接過來，抱在懷中，做他的保姆。
17	鄰居的婦女們給孩子起名，說：“路得給娜娥米生兒子了！”就給這兒子起名叫俄備得。這俄備得是耶西的父，耶西是大衛的父。
18	以下是法勒斯的後代：法勒斯生希斯崙；
19	希斯崙生覽穆；覽穆生亞米拿達；
20	亞米拿達生拿順；拿順生撒門；
21	撒門生波阿斯；波阿斯生俄備得；
22	俄備得生耶西；耶西生大衛。
