阿摩司書
第一章
 	阿摩司看見的異象
9	然而，是我從他們面前剷除亞摩利人。亞摩利人雖高大如雪松，像橡樹那樣堅固；我卻剷除樹上的果子，以及樹下的根。
10	是我把你們從埃及地領上來，領你們在荒野度過四十年，使你們取得亞摩利人的地作為產業。
11	我從你們子孫中興起一些先知，從年輕人中興起一些獻身歸聖者；以色列人啊，難道不是這樣嗎？”耶和華這樣宣告。
12	“但你們迫使獻身歸聖者喝酒，又命令先知說：‘不可為神傳話！’
13	我要使你慢下來，好像滿載禾捆的車子慢下來一樣！
14	跑得快的人無處可逃，力大的人使不出力，勇士也無法逃命；
15	弓箭手抵擋不住，腿快的人逃不了，騎馬的人也無法逃命。
16	在那日，連最勇敢的戰士也會赤身逃跑。”耶和華這樣宣告。
第三章
 	追討選民的一切罪責
1	以色列人啊，你們要聽耶和華譴責你們的話！這話譴責我從埃及地領上來的以色列全族，說：
2	“地上萬族中，我只揀選了你們；因此，我必追討你們的一切罪責。”
 	先知的使命——為耶和華傳話
3	二人沒有相約，怎會同行？
4	獅子沒有獵物，怎會在林中吼叫？少壯獅子沒有捕獲甚麼，怎會從藏身之所咆哮？
5	沒有圈套，雀鳥怎會落入地上的羅網？羅網沒有所獲，怎會從地上翻起？
6	號角如果在城中吹起，居民怎會不顫抖？災禍如果臨到城中，怎會不是耶和華所做？
7	因為主耶和華不會做甚麼事，除非他已把計劃顯示給他的僕人眾先知，
8	獅子吼叫，誰不害怕？主耶和華已經發話，誰敢不為他傳話？
 	對以色列人的警告
9	要向亞實突的城堡宣告，也向埃及地的城堡宣告，要說：“你們要聚集在撒瑪利亞的群山上，看看城中極大的騷亂、和城中的暴虐。”
10	耶和華宣告：“那些人不懂怎樣行正直的事，只顧在自己的城堡中積聚暴行和欺壓！”
11	因此，主耶和華這樣說：“敵人會圍攻這地，傾覆你的勢力，劫掠你的眾城堡。”
12	耶和華這樣說：“正如牧人從獅子口中只能救回一雙羊腿或一片耳朵；住在撒瑪利亞的以色列人獲救也不過是這樣，只剩下床角或半邊褥子。
13	你們要聽，要警告雅各家，這是主耶和華萬軍之神的宣告：
14	我懲罰以色列的過犯之日，將懲罰伯特利的各祭壇；壇角都會被砍下，掉落在地上。
15	我要擊毀冬宮和夏宮，象牙宮殿必遭毀滅，宏偉的屋宇蕩然無存。”耶和華這樣宣告。
第四章
 	欺貧重富必受懲罰
1	撒瑪利亞山上的巴珊母牛啊，你們要聽這話！你們欺凌窮人，壓迫貧苦的人，對自己的丈夫說：“拿酒來，我們要痛飲！”
2	主耶和華憑自己的聖潔起誓：“對付你們的日子很快就要到了！人會用鈎子把你們鈎去，連你們最後一個也會用魚鈎鈎走。
3	你們會從破口出去，一個跟著一個直往前行，被丟棄在哈門。”耶和華這樣宣告。
 	向偶像獻祭的罪
4	“你們去伯特利犯罪，在吉甲增加過犯吧！每早晨獻上你們的祭物，每三日獻上你們所得的十分之一吧！
5	燒獻感恩祭的有酵餅，並高聲宣揚甘心祭吧！因為，以色列人啊，這就是你們的最愛！”主耶和華這樣宣告。
 	以色列受重罰仍不悔改
6	“是我使你們在所有城鎮都牙齒乾淨，處處缺乏糧食；但你們仍不回轉歸向我。”耶和華這樣宣告。
7	“是我在收割的三個月前，就不讓雨水降給你們；我降雨給一座城，在另一座城卻不降雨；一塊地有雨，而沒有雨水的地就枯乾了。
8	兩三個城的人步履艱難，到另一個城去找水喝，卻不得滿足；但你們仍不回轉歸向我。”耶和華這樣宣告。
9	“我多次用枯萎和霉爛擊打你們的園子和葡萄園，蝗蟲吃光你們的無花果樹和橄欖樹；但你們仍不回轉歸向我。”耶和華這樣宣告。
10	“我在你們中間降下瘟疫，像以前降給埃及那樣；我用刀殺死你們的年輕人，連同你們擄來的馬匹；我使你們營裡死屍的臭氣撲鼻；但你們仍不回轉歸向我。”耶和華這樣宣告。
11	“我傾覆你們，就像神傾覆所多瑪和蛾摩拉一樣；你們像一根柴，從焚燒中抽出來。但你們仍不回轉歸向我。”耶和華這樣宣告。
12	“因此，以色列啊，我會這樣對付你！以色列啊，正因我會這樣對付你，你要預備迎見你的神！”
13	要知道，他塑造了山，又創造了風，他把心意告訴人，使晨光變為黑暗，他的腳踏在地的高處，他的名是耶和華萬軍之神！
第五章
 	哀歌
1	以色列家啊，你們要聽這話！這是我衝著你們唱的哀歌：
2	“少女以色列跌倒了，再也不能起來！她被拋棄在地上，沒有人扶她起來。”
3	主耶和華對以色列家這樣說：“這城一千人出征，只會剩下一百；一百人出征，只會剩下十個。”
 	尋求主得以存活
4	耶和華對以色列家這樣說：“你們要尋求我，就可以存活；
5	不要尋求伯特利！不要去吉甲！不要去到別示巴！因為吉甲必會流亡，伯特利將會遭難。”
6	你們要尋求耶和華，就可以存活，免得他向約瑟家如火爆發，吞滅伯特利，沒有人能撲滅。
7	唉！你們這些使公正變為苦蒿，把公義棄於地上的人！
8	他造昴宿星團和獵戶星座，把死蔭變為晨光，把白日變黑為夜；又召喚海水，把海水傾倒在地面上，耶和華就是他的名！
9	是他使毀滅突擊強者，使毀滅臨到堡壘！
10	他們憎恨在城門口斷定是非的人，厭惡說正直話的人。
11	因此，正因為你們向窮人催收糧稅，徵收他們的穀物；所以你們用華石建造房屋，卻不能住在其中；你們栽種美好的葡萄園，卻不能喝園中的酒。
12	確實，我知道你們的過犯眾多，罪大惡極；你們迫害義人，收受賄賂，在城門口屈枉窮人；
13	因此，聰明人在這時代沉默不言，確實，這時代邪惡。
14	你們要尋求良善，不要尋求邪惡，這樣才可以存活；耶和華萬軍之神就會與你們同在，正如你們所說的那樣。
15	你們要痛恨邪惡，喜愛良善，在城門口伸張正義；說不定耶和華萬軍之神會恩待約瑟的餘民。
16	因此，主耶和華萬軍之神這樣說：“所有的廣場都有哀哭，所有的街道上都會有人喊叫：‘苦啊！苦啊！’人會召農夫來哀哭，召擅長哭喪的人來哀喊。
17	所有葡萄園都有哀哭，因為我要在你們中間走過。”這是耶和華說的。
18	渴望耶和華日子的人有禍了！耶和華的日子對你們有甚麼好處呢？那日將是黑暗，沒有光明；
19	就像人逃跑離開獅子，卻遇上了熊！或者進到屋裡，手倚著牆，卻被蛇咬！
20	確實，耶和華的日子只有黑暗，沒有光明！只有幽暗，全無光輝！
 	神不喜歡外表的敬虔
21	“你們的節期，我深惡痛絕！我不喜悅你們的特別集會。
22	儘管你們給我獻上燔祭和供物，我卻不會接受，你們獻上肥美的牲畜作平安祭，我也不屑一顧。
23	讓你們嘈雜的歌聲遠離我，你們的琴聲，我不想聽見！
24	但願公正如江河滾滾，公義像不絕的溪流。
25	以色列家啊，你們在荒野四十年，獻上祭牲和供物，難道是獻給我的嗎？
26	你們抬著摩洛的棚子，和那些迦溫偶像，就是你們造的星神，
27	我要使你們流亡到大馬士革以外。”這是耶和華說的，萬軍之神就是他的名。
第六章
 	嚴責享樂放縱的人
1	那些在錫安耽於安逸的人，在撒瑪利亞山上自負的人，那些列國之首的領袖，以色列家所歸向的人——他們有禍了！
2	你們要去甲尼看看，從那裡往哈馬大城去，再下到非利士人的迦特！看你們是否比這些國家更勝一籌？還是他們的領土比你們的領土更大？
3	你們以為把災禍之日推遠，其實卻把殘暴的統治拉近。
4	那些人斜倚在象牙床上，在榻上伸著懶腰；他們享用羊群中的羔羊，以及棚裡養肥的公牛。
5	他們隨著琴瑟揚聲和鳴，又模仿大衛為自己製造樂器；
6	他們用大碗喝酒，用頂級的膏油抹身，卻沒有為約瑟的敗落而痛心！
7	因此，現在他們會最先被擄去，再也不能伸著懶腰狂歡作樂。
 	預言以色列悲慘的結局
8	主耶和華指著自己起誓：這是耶和華萬軍之神的宣告：“我厭惡雅各的光榮，痛恨他的眾城堡；我要把城市和其中的一切都交出去。”
9	如果一間房子裡剩下十個人，他們都會死亡。
10	死者的親屬，就是用香料包紮他的人，把屍體從房子抬走，並問那在屋裡深處的人：“還有人嗎？”那人回答：“沒有了！”他就說：“不要作聲！”這是為了避免提起耶和華的名。
11	因為耶和華就要下令了！大屋會被打成碎片，小屋會成為瓦礫！
 	譴責以色列顛倒是非
12	馬會在巖山上奔馳嗎？人會用牛耕海嗎？然而，你們使公正變為毒草，使公義的果子轉為苦蒿。
13	你們對羅底巴幸災樂禍，說：“我們奪取加寧，是靠自己的力量！”
 	興起一國攻擊以色列
14	這是耶和華萬軍之神的宣告：“以色列家啊，我很快就會興起一國攻擊你們！這國要欺壓你們，從哈馬的利布城直至亞拉巴河！”
第七章
 	蝗蟲的異象
1	這是主耶和華展示給我看的異象：我看見他在造蝗蟲，那時王室已經收割，晚冬的莊稼剛長出來。
2	蝗蟲吃盡地上的草穀豆蔬時，我說：“主耶和華啊，求你寬恕！雅各怎能存活呢？他是這麼弱小呀！”
3	耶和華就對這事改變心意。耶和華說：“這事不會發生了。”
 	火焰的異象
4	這是主耶和華展示給我看的異象：“我看見主耶和華在召喚火來審判。火就吞滅巨大的深淵，又在吞滅田地。”
5	我就說：“主耶和華啊，求你停止！雅各怎能存活呢？他是這麼弱小呀！”
6	耶和華就對這事改變心意。主耶和華說：“這事也不會發生了。”
 	鉛垂線的異象
7	這是他展示給我看的異象：“我看見主站在一道按照鉛垂線建造的牆旁邊，手裡拿著鉛垂線。”
8	耶和華對我說：“阿摩司啊，你看見甚麼？”我回答：“鉛垂線。”主就說：“我要在我的子民以色列中間放下鉛垂線，我再也不會寬恕他們。
9	以撒的那些丘壇都會荒涼，以色列的那些聖所都會荒廢；我要起來用刀攻擊耶羅波安的家。”
 	亞瑪謝控告阿摩司
10	伯特利的祭司亞瑪謝派人對以色列王耶羅波安說：“阿摩司在以色列家中圖謀背叛你，這地承受不了他所說的一切話，
11	因為阿摩司這樣說：‘耶羅波安會死在刀下，以色列必被擄離開自己的地。’”
12	亞瑪謝對阿摩司說：“你這個先見，走吧，趕快跑回猶大地！在那裡混口餅吃，在那裡為神傳話吧！
13	再也不要在伯特利為神傳話，因為這裡是王的聖所，這裡是王國的殿！”
 	先知的見證和預言
14	阿摩司回答亞瑪謝說：“我不是先知，也不是先知的門徒；我不過是飼養牲畜的人，也是催熟西克莫無花果的人。
15	但是，耶和華使我不再趕羊。耶和華對我說：‘你去吧，去為神傳話給我的子民以色列。’
16	所以，你要聽耶和華的話。你說：‘不要為神傳話攻擊以色列，也不要為神發話攻擊以撒家。’
17	因此，耶和華這樣說：‘你的妻子將在城中淪為妓女，你的兒女會喪身刀下；你的土地會被人用繩量度瓜分，你自己會死在不潔之地；以色列將被擄離開自己的地。’”
第八章
 	夏收無花果的異象
1	這是主耶和華展示給我看的異象：我看見一籃夏收的無花果。
2	耶和華說：“阿摩司啊，你看見甚麼？”我回答：“一籃夏收的無花果。”他對我說：“我子民以色列的結局到了，我不會再寬恕他們。
3	到那日，宮殿的歌聲要變為哀號；屍首眾多，棄置各處；不要作聲！”主耶和華這樣宣告。
 	責備子民欺壓窮人
4	你們踐踏窮人，又除滅地上窮苦的人，你們要聽以下的話。
5	你們說：“新月節甚麼時候過去，好讓我們賣穀物？安息日甚麼時候結束，好讓我們開市賣穀物？我們可以把升斗弄小，把砝碼加大，用詭詐的天平騙人；
6	我們可以用一點銀子買窮人，用一雙鞋買貧窮的人；我們可以把攙了糠秕的麥子賣給人。”
7	耶和華指著雅各的光榮起誓說：“我永遠不會忘記他們的一切所為。
 	地震
8	這地豈不因此震動，所有住在地上的人豈不悲哀嗎？這地豈不像尼羅河高漲，像埃及的尼羅河洶湧氾濫和水退？”
 	黑暗
9	主耶和華宣告：“到那日，我要使太陽在正午落下，又使地在白晝變成黑暗。
 	悲哀
10	我要使你們的節期變為哀悼的日子，所有的歌曲都變為哀歌。我要使人人腰束粗毛布，人人禿頭，我要使你們如同哀悼獨子，結局將是痛苦的日子。”
 	飢餓
11	主耶和華宣告：“日子很快就會到了！我要使饑荒臨到這地——不是缺糧的饑荒，不是缺水的乾渴，而是聽不到耶和華的話！
12	他們從這海漂流到那海，從北到東，來來去去，要尋求耶和華的話，卻尋不見。
 	口渴
13	“到那日，美麗的少女和青年男子都因乾渴昏倒。
14	他們是指著撒瑪利亞之罪起誓的人，他們說：‘但啊，我們要指著你們那些神明的性命起誓！’又說：‘別示巴啊，我們要指著道路的性命起誓！’他們會倒下，再也不會起來。”
第九章
 	毀壞聖所的異象
1	我看見主站在祭壇旁，他說：“你要擊打柱頂，使門檻都震動，要砍掉所有頂部；最後剩下的人，我也要用刀殺死；逃跑的人都跑不掉，逃走的人都逃不了。
2	即使他們挖到陰間，就是從那裡，我的手也要把他們揪上來；即使他們爬上天，就是從那裡，我也要把他們拉下來。
3	即使他們躲在迦密山頂，就是從那裡，我也要搜尋他們，把他們抓出來；即使他們藏在海底不讓我看見，就是在那裡，我也要命令蛇咬他們；
4	即使他們被仇敵擄去，就是在那裡，我也要命令刀劍殺死他們；我會定睛在他們身上，降禍不降福。”
5	萬軍之主耶和華觸摸地，地就熔化，所有住在地上的人都會悲哀。全地要像尼羅河高漲，又像埃及的尼羅河退落。
6	他在天上建立樓閣，在地上奠立穹蒼；又召喚海水，把海水傾倒在地面上，耶和華就是他的名。
7	耶和華宣告：“以色列人啊，對我來說，你們就像古實人一樣！的確，我把以色列人從埃及地領上來，但我也把非利士人領出迦斐託，把亞蘭人領出吉珥。”
8	要知道，主耶和華的眼目察看這有罪的王國：“我要把她從地面上除滅；然而，我不會徹底除滅雅各家。”耶和華這樣宣告。
9	“我快要下令了！我要在萬國中搖以色列家，好像搖篩子，沒有一粒石子落在地上。
10	我子民中所有犯罪的人，都將死在刀下——這些人說：‘災禍不會走近我們，與我們相遇！’
 	以色列將來的復興
11	“到那日，我要豎立大衛倒塌的棚子，修補其中的破口；其中摧毀了的，我要再豎立，我要重建這棚子，使它像古時一樣，
12	好使他們獲得伊東的餘民，以及所有歸我名下的國。”成就這事的耶和華這樣宣告。
13	耶和華宣告：“日子很快就要到了！耕地的人將緊接著收割的人，踩踏葡萄的人要緊接著撒種的人；大山會滴下甜酒，所有小山都將熔化。
14	我要復興我的子民以色列，他們將重建荒廢的城，定居其中；栽種葡萄園，喝其中的酒；修造果園，吃園中的果子。
15	我要把他們栽種在自己的土地上，他們再也不會被拔出我賜給他們的土地。”耶和華你的神這樣說。
