彼得後書
第一章
 	問候
15	他們離棄正路，走入歧途，跟從波索珥的兒子巴蘭走同一條路。這巴蘭貪愛行不義的酬勞，
16	曾經因自己的過犯而受了責備：一頭不能說話的驢，竟用人的聲音說出話來，制止了這先知的狂妄。
17	這些人是無水的泉源，是暴風吹動的霧氣，有黑暗的幽冥保留下來給他們。
18	因為他們說虛妄誇大的話，用肉體的私慾和淫蕩引誘那些確實逃脫錯謬生活的人。
19	他們應許給人自由，自己卻做了敗壞的奴僕；因為人被甚麼東西制伏，就做甚麼東西的奴僕。
20	如果他們因為認識我們的主——救主耶穌基督，可以脫離世上的污穢，後來又被纏在其中，被這些污穢制伏，他們最後的景況就比以前的更糟。
21	因為，他們如果從未認識義路，也好過認識了卻又背離傳給他們的神聖誡命。
22	他們的情形，正像俗語所說的：“狗嘔了東西又回去吃；豬洗乾淨了又滾污泥。”
第三章
 	將有人不信主再來的應許
1	親愛的啊，這已經是我寫給你們的第二封信。在這兩封信裡，我都用提醒的話來激發你們真誠的心，
2	叫你們記住眾聖先知事先吩咐的話，記住你們的眾使徒所傳的主——救主的誡命。
3	最要緊的是，你們要知道：在末後的日子將有好嘲笑的人出來，順著自己的私慾行事，
4	並且說：“他要來臨的應許在哪裡呢？其實自從列祖睡了以來，萬物一直存在，跟起初創造的時候仍是一樣。”
5	他們故意忘記以下這一點：因為神的話語，在遠古的時候就有了天，而地是從水而出、藉水而成的。
6	藉著神的話語，當時的世界被水淹沒而消滅了；
7	藉著同樣的話，現在的天地卻被保存，保留下來等候不敬虔的人受審判滅亡的日子，用火焚燒。
 	主必再來
8	親愛的啊，這件事你們不可忘記：在主看來，一日如千年，千年如一日。
9	主不是拖延實現他的應許，像有些人以為他拖延一樣；其實他是寬容你們，不願有任何人滅亡，而願人人都悔改。
10	但是主的日子會像賊那樣來到；在那日，天必轟然一聲就消失了，所有物質都會因為被烈火焚燒而熔化；地和地上一切工作都將不復存在。
11	既然這一切都要這樣熔化，你們又應當怎樣為人呢？你們要過聖潔和敬虔的生活，
12	等候並加速神的日子來臨，因為天要在那日被火焚燒而熔化，所有物質都要被烈火熔解！
13	但是我們卻照他所應許的，等候新天新地，在那裡有公義常住。
 	要在主的恩典和知識上長進
14	所以，親愛的啊，你們既然等候這些，就當殷勤努力，使你們在主面前得享平安，沒有玷污，沒有瑕疵，
15	並且要把我們主的寬容看做讓人得救的機會，就像我們親愛的弟兄保羅按照他蒙賜予的智慧寫給你們的一樣；
16	他在一切書信上都講論這些事，當中有些難明白的地方，那些不學無知和不堅定的人將會曲解，像曲解其他經文一樣，就自取滅亡。
17	所以，親愛的啊，你們既然預先知道了，就要謹慎，免得受惡人的錯謬引導，就從自己堅固的境地上墜落，
18	卻要在我們的主和救主耶穌基督的恩典和知識上長進。榮耀屬於他，從現在直到永遠！
