彌迦書
第一章
 	關於撒瑪利亞和耶路撒冷的異象
10	我的仇敵將會看見這事而羞慚滿臉；她曾對我說：“耶和華你的神在哪裡？”我將親眼看見她的下場；那時她要被人踐踏，如街上的爛泥。
11	你建圍牆的日子將到！到那日，疆界將要擴展。
12	到那日，人們會歸向你，從亞述和埃及諸城，從埃及到幼發拉底河，從這海到那海，從這山到那山。
13	然而，這地將因其中的居民而一片荒涼；這是他們行為的惡果。
 	主樂意施恩
14	求你用你的杖牧養子民，就是你的羊群，你的產業，他們獨自居住在樹林，在良田裡。願他們像往昔的日子那樣，在巴珊和基列得到牧養。
15	“我要向他們展示奇妙的作為，就像你從埃及地出來的日子。”
16	列國將會看見，就為自己的一切勢力而羞愧；他們將用手掩口，耳朵變聾！
17	他們將舔土像蛇，像在地上爬的東西，他們戰戰兢兢地從要塞出來；他們恐懼地來到耶和華我們的神那裡，他們將懼怕你！
 	主赦免罪責
18	有誰是可與你相比的神，赦免罪責，寬恕自己產業餘民的過犯呢？他不永遠懷怒，因他喜歡以忠誠之愛待人。
19	他會再憐憫我們，踐踏我們的罪責。你會把他們所有的罪惡都投進深海！
20	你將以信實待雅各，以忠誠之愛待亞伯拉罕，正如你古時對我們列祖起誓應許的那樣。
