哥林多前書
第一章
 	問候
13	每個人的工程將來都會顯露。的確，那日子會把那工程顯明出來，因為它要被火顯露出來，那火要考驗各人的工程是怎樣的。
14	如果有人在這根基上建造的工程存得住，他就會得到報償；
15	如果有人的工程被燒毀，他就會受到虧損；而他自己卻會得救，只是會像從火裡經過那樣。
16	你們是神的聖所，神的靈住在你們裡面，難道你們不知道嗎？
17	如果有人毀壞神的聖所，神就會毀壞這人，因為神的聖所是聖潔的，這聖所就是你們。
18	誰也不要自欺。如果你們當中有人以為自己在這現世時代裡是有智慧的，他就應該變為愚蠢，好讓他有智慧。
19	因為這世界的智慧，在神看來是愚蠢的，正如經上所記：“他使智者中了自己的詭計。”
20	又說：“主知道智者的意念虛空無用。”
21	所以，誰都不可誇耀人，因為一切都屬於你們。
22	無論是保羅，是亞波羅，是磯法，是世界，是生，是死，是現在的事，還是將來的事，都屬於你們；
23	而你們屬於基督，基督屬於神。
第四章
 	基督的使徒遭人輕視
1	這樣，人應該把我們視為基督的僕人，神各樣奧祕的管家。
2	對於管家的要求，就是要他忠心。
3	對我來說，被你們審斷，或被人間法庭審斷，都是極小的事，連我自己也不審斷自己。
4	我雖然問心無愧，卻不能因此獲判為義，因為審斷我的是主。
5	所以，時候未到，在主來之前你們不要評斷甚麼；主會照亮黑暗中的隱情，顯明人心裡的動機。那時，各人要從神那裡得到稱讚。
6	弟兄們，我為你們的緣故，拿這些事來比擬自己和亞波羅，讓你們在我們身上學到的，不會超過經上記著的，免得你們中間有人自高自大，重這個輕那個。
7	使你與人不同的是誰呢？你有甚麼不是領受的呢？既然是領受的，為甚麼要自誇，好像不是領受的呢？
8	你們已經滿足了，已經豐富了，不用我們就自己為王了！我恨不得你們真的為王了，好讓我們也可以跟你們一起為王！
9	其實我在想，神已經把我們做使徒的列在最後公開示眾，好像判了死刑的人，因為我們成了一場供世界觀看的表演——給人也給天使觀看！
10	我們為基督的緣故做了愚蠢的人，你們在基督裡倒很聰明。我們軟弱，你們強大！你們有榮譽，我們不光彩！
11	直到現在，我們還是又飢又渴，衣不蔽體，被人毆打，居無定所，
12	還要親手勞苦做工。被人咒罵，我們就祝福；遭受迫害，我們就忍受；
13	被人誹謗，我們卻好好地勸導；直到現在，我們還是好像世上的污物、萬物的廢渣。
14	我寫這些話，不是要使你們羞愧，而是把你們當作我親愛的兒女一樣勸誡你們。
15	你們雖然在基督裡有上萬的啟蒙教師，卻沒有許多父親，因為是我在基督耶穌裡藉著福音生了你們。
16	所以我懇求你們效法我。
17	因此，我派提摩太到你們那裡去。他是我在主裡親愛又忠心的兒子，他會提醒你們我在基督裡怎樣行事為人，正如我在各處教會中所教導的一樣。
18	有人以為我不會到你們那裡去，就自高自大。
19	然而主若願意，我很快就會到你們那裡去；到時我會知道的，不是那些自高自大之人的言辭，而是他們的權能。
20	因為神的王國不在於言辭，而在於權能。
21	你們願意怎麼樣呢？要我帶著刑杖到你們那裡去，還是帶著愛與謙和的靈去呢？
第五章
 	行淫亂的人應該被趕出教會
1	我確實聽說你們當中有淫亂的事，這樣的淫亂在教外人當中都沒有——就是有人和自己父親的妻子姘居！
2	你們還是自高自大！難道你們不該覺得痛心，把做這件事的人從你們中間趕出去嗎？
3	就我來說，我身體雖然不在你們那裡，心靈卻與你們同在，好像我親自在場審判了做這事的人，
4	就是當你們奉我們主耶穌的名聚集的時候，我的靈在那裡，我們主耶穌的權能也同在的時候，
5	要把這樣的人交給撒但，毀壞他的肉體，使他的靈在主的日子可以得救。
6	你們這樣自誇並不好。你們不知道一點麵酵能使全團麵發起來嗎？
7	你們既是無酵的麵，就應該把舊酵除淨，好讓你們成為新的麵團；因為我們逾越節的羔羊基督已經被殺獻祭了。
8	所以我們守這節，不可用舊酵，也不可用惡毒、邪惡的酵，而要用純潔、真誠的無酵餅。
9	我以前在信中給你們寫過，不可與淫亂的人來往。
10	這話當然不是指這世上行淫亂的人、或貪心和詐騙的人，或拜偶像的人；如果是這樣，你們就非脫離這世界不可。
11	但其實我以前寫給你們的是﹕如果有人稱為弟兄，卻行淫亂、貪心、拜偶像、辱罵人、醉酒或詐騙，這樣的人，不可和他來往，連跟他一起吃東西都不可。
12	審判教會之外的人跟我有甚麼關係？難道你們不審判教會之內的人嗎？
13	至於教會之外的人，神會審判他們。你們要把那邪惡的人從你們中間趕出去。
第六章
 	信徒的爭訟應由教會審判
1	你們當中有人和另一個人有爭訟的事，怎敢告到不義的人面前，而非聖徒面前呢？
2	難道你們不知道聖徒要審判世界嗎？如果世界要由你們來審判，難道你們不配審理最小的案件嗎？
3	你們不知道我們要審判天使嗎？何況今生的事呢？
4	因此，你們如果有今生的事要審理，為甚麼讓教會不重視的那些人來審理呢？
5	我說這話，是要你們羞愧。難道你們當中沒有一個有智慧的人，能夠審斷弟兄之間的事嗎？
6	竟然要弟兄告弟兄，而且告到不信的人面前嗎？
7	你們彼此之間有訴訟，已經完全是你們的失敗了。為甚麼不情願忍受不義的對待呢？為甚麼不情願忍受剝奪呢？
8	你們反而行不義，剝奪人，而且是對自己弟兄這樣做！
9	難道你們不知道，不義的人不能承受神的王國作為產業嗎？不要弄錯了！無論是淫亂的、拜偶像的、通姦的、做同性男伴的、男子與同性苟合的、
10	偷竊的、貪心的、醉酒的、辱罵人的或詐騙的，都不可以承受神的王國作為產業。
11	你們有些人從前也是這樣的，但現在藉著我們主耶穌基督的名，靠著我們神的靈，都已經洗淨了，聖潔了，稱義了。
 	要用身體榮耀神
12	“所有的事我都可以做”——但並非都有益處。“所有的事我都可以做”——但我不會讓自己受任何事的轄制。
13	“食物是為了肚腹，肚腹是為了食物；而神將要把這兩樣都廢掉”。但身體不是為了淫亂，而是為了主，主也是為了身體；
14	而神不但使主復活，也要用他的大能使我們復活。
15	難道你們不知道，你們的身體就是基督的身體部分嗎？那麼，我可以把基督的身體部分拿去作娼妓的身體部分嗎？絕對不可！
16	難道你們不知道，與娼妓親密相連的人，就是與她成為一體了嗎？因為經上說：“二人成為一體。”
17	但與主親密相連的人，就是與他成為一靈了。
18	你們要逃離淫亂的事。你們說“人所犯的一切罪都在身體以外”，但淫亂的人其實是犯罪害了自己的身體。
19	難道你們不知道，你們的身體就是聖靈的聖所嗎？這聖靈住在你們裡面，是你們從神那裡領受的。你們並不屬於自己，
20	因為你們是用重價買來的。你們務要用自己的身體榮耀神！
第七章
 	有關婚姻的問題
1	關於你們信上所寫的事，你們說“男人不親近女人是好的。”
2	但是因為淫亂的事常常發生，所以每個男人都該有自己的妻子，每個女人也該有自己的丈夫。
3	丈夫對妻子要盡本分，妻子對丈夫也要如此。
4	妻子對自己的身體沒有主權，權在丈夫；同樣，丈夫對自己的身體也沒有主權，權在妻子。
5	夫妻不可彼此剝奪，除非雙方同意為了專心禱告而暫時分房；以後仍要同房，免得撒但趁你們情不自禁的時候誘惑你們。
6	我說這話是體諒你們，不是命令你們。
7	我願人人都像我一樣；只是每個人各自有從神得來的恩賜，有人是這樣，有人是那樣。
8	我對現在沒有婚姻的人和寡婦說，他們如果像我一樣保持現狀就好了；
9	但如果不能自制，就應該結婚，因為結婚總比慾火焚身好。
10	我要吩咐有婚姻的人——其實不是我吩咐，而是主吩咐：妻子不可離開丈夫
11	（如果真的離開了，就不可再婚，不然，就要跟丈夫復合），丈夫也不可離棄妻子。
12	我要對其餘的人說——是我說，不是主說：如果某弟兄有不信的妻子，而妻子同意和他住在一起，他就不要離棄妻子。
13	同樣，如果妻子有不信的丈夫，而丈夫同意和她住在一起，她就不要離棄丈夫。
14	因為，不信的丈夫已經因妻子而成為聖潔，不信的妻子也已經因那弟兄而成為聖潔。不然，你們的兒女就不潔淨，但事實上他們是聖潔的。
15	可是，如果那不信的要離去，就由他離去吧；在這種情況下，那弟兄或姐妹都不受約束。然而，神呼召你們，是要你們和睦。
16	你這做妻子的，怎麼知道能不能救你的丈夫呢？你這做丈夫的，怎麼知道能不能救你的妻子呢？
 	保持蒙召時的身份
17	不過，主怎樣分給各人，神怎樣呼召各人，各人就要怎樣去行事為人。我也這樣吩咐各教會。
18	有人受了割禮才蒙召嗎？他就不要遮掩割禮的記號。有人蒙召時未受割禮嗎？他就不要受割禮。
19	割禮算不得甚麼，沒受割禮也算不得甚麼，重要的是遵守神的命令。
20	各人蒙召的時候怎樣，他就應該保持怎樣。
21	你蒙召的時候是奴僕嗎？不要在意（但是如果你能夠成為自由人，還是把握這機會更好），
22	因為奴僕在主裡蒙召，就是主的獲釋奴僕；同樣，自由人蒙召，就是基督的奴僕。
23	你們是用重價買來的，不要成為人的奴僕。
24	弟兄們，你們各人蒙召的時候怎樣，就應該在神面前保持怎樣。
 	結婚與守寡
25	關於處女，我沒有主的命令，但是我既然蒙了主的憐憫，成為可信靠的人，就把我的意見提出來。
26	由於目前的苦難，“人最好保持現狀”，我認為這是好的。
27	你有妻子約束嗎？那就不要想擺脫。你還沒有妻子約束嗎？那就不要去找妻子。
28	你如果結婚，並沒有犯罪；處女如果結婚，也沒有犯罪。不過，這樣的人要受肉身上的苦難，我卻不願你們受這苦難。
29	弟兄們，我是說：時候不多了。從今以後，有妻子的要像沒有的，
30	哀哭的要像不哀哭的，快樂的要像不快樂的，買東西的要像一無所有的，
31	享用這世界的要像沒有盡量享用的一樣，因為這世界現今的樣式將要過去。
32	我願你們無所掛慮。現在沒有婚姻的人掛慮主的事，想的是怎樣討主喜悅；
33	而結了婚的人掛慮世上的事，想的是怎樣討妻子喜悅，
34	這樣他就分心了。現在沒有婚姻的婦女，以及處女，掛慮的是主的事，好讓身體和心靈都成為聖潔；但結了婚的婦女掛慮世上的事，想的是怎樣討丈夫喜悅。
35	我說這話是為了你們自己的益處，不是要限制你們，而是要你們做合宜的事，不受干擾地好好服侍主。
36	假使有人認為自己待未婚妻不合體統，如果他情慾旺盛，事情又應該這樣行，那麼他就可以照著自己的意思去做——讓他們結婚吧，這不是犯罪。
37	但是如果一個人心裡堅定，沒有不得已的原因，又可以控制自己的意欲，心裡決定讓自己的未婚妻持守獨身，那麼他就做得好。
38	所以，那跟自己未婚妻結婚的人做得好，那不結婚的人做得更好。
39	丈夫還活著的時候，妻子是受約束的；如果丈夫死了，她就可以自由地嫁給她願意嫁的人，只是要嫁給主裡的人。
40	然而以我之見，如果她能保持現狀，就更有福氣——我想，我也有神的靈指引。
第八章
 	關於祭過偶像的食物
1	關於祭過偶像的食物，我們曉得“我們都有知識”。知識使人自高自大，愛卻能造就人。
2	如果有人自以為知道甚麼，那麼，他應該知道的，他還是不知道。
3	但是如果有人愛神，這人就是蒙神認識的。
4	關於吃祭過偶像的食物，我們知道“世上的偶像算不得甚麼”，也知道“神只有一位，沒有別的神”。
5	雖然在天上或地上有那些所謂的神明——就如有許多的“神明”、許多的“主”，
6	然而我們只有一位神，那就是父；萬物都從他而來，我們也為他而存在。我們也只有一位主，那就是耶穌基督；萬物都藉著他而存在，我們也藉著他而存在。
7	可是，並非人人都有這知識。有些人習慣了偶像，所以直到現在，吃這些食物的時候，還當作祭過偶像的食物來吃；他們的良心既然軟弱，就被玷污了。
8	其實食物不能把我們呈獻給神，我們不吃也無損，吃也無益。
9	然而你們要小心，千萬不要讓你們這權利成為軟弱者的絆腳石。
10	要知道，如果有人看見你這有知識的人在偶像廟裡坐席，他既然是軟弱的，他的良心豈不“受造就”去吃那祭過偶像的食物嗎？
11	這樣，那軟弱的人——基督為他而死的弟兄，就因你的知識而滅亡了！
12	你們這樣犯罪對不起弟兄，打擊他們軟弱的良心，就是犯罪干犯基督了。
13	所以，如果食物使我的弟兄跌倒，我就永遠不再吃肉，免得使我的弟兄跌倒。
第九章
 	使徒的權利
1	難道我不是自由的嗎？我不是使徒嗎？我不是見過我們的主耶穌嗎？你們不是我在主裡面工作的成果嗎？
2	對別人來說，我也許不是使徒；但是對你們來說，我肯定是，因為你們就是我在主裡做使徒的印記。
3	對那些質問我的人，這就是我的答辯。
4	難道我們沒有權利吃喝嗎？
5	難道我們沒有權利，像其餘的使徒、主的兄弟和磯法一樣，帶著信主的妻子往來嗎？
6	難道只有我和巴拿巴沒有權利不做工嗎？
7	幾時有誰當兵要自備糧餉呢？有誰栽種葡萄園而不吃園裡的果子呢？有誰牧養羊群而不喝羊奶呢？
8	我說這些話，難道是照人的看法說的嗎？律法不也是這樣說的嗎？
9	事實上，在摩西的律法上記著：“牛碾禾的時候，不可套住牠的嘴。”難道神關心的是牛嗎？
10	這難道不全是為我們說的嗎？當然是為我們說的，因為耕種的應該懷著希望去耕種，碾禾的也應該懷著分享收成的希望去碾禾。
11	我們既然在你們中間撒播了屬靈的種子，如果要從你們那裡收取一些物質的供應，這算是過分嗎？
12	如果別人在你們身上分享這權利，我們豈不更可以分享嗎？
 	所做的一切都是為了福音
 	然而我們沒有使用過這權利，反而凡事容忍，免得使基督的福音受到阻礙。
13	難道你們不知道嗎？在聖殿供職的就吃殿裡的東西；侍候祭壇的就分領壇上的祭物。
14	主也曾經這樣吩咐，叫傳福音的人靠福音為生。
15	但是我一點也沒有使用過這些權利。我寫這些話，並不是想要你們這樣待我，因為我寧死也不——不，沒有人可使我所誇耀的落空！
16	其實，我傳福音並沒有甚麼可誇的，因為這必須履行的責任已經放在我身上——不傳福音我就有禍了！
17	我如果自願做這事，就有報償；即使不自願，這職責還是託付給我了。
18	那麼，我的報償是甚麼呢？就是我傳福音時，可以把福音無償地送給人，而不盡量享用我在福音工作上的權利。
19	我雖然自由，不受任何人管轄，卻讓自己成為所有人的奴僕，好贏得更多的人。
20	對猶太人，我就成為像猶太人，好贏得猶太人；對律法之下的人，我雖然自己不在律法之下，還是成為像律法之下的人，好贏得律法之下的人。
21	對在律法以外的人，我就成為像在律法以外的人，好贏得在律法以外的人——其實我不是在神的律法以外，而是在基督的律法之下。
22	對軟弱的人，我就成為軟弱的人，好贏得軟弱的人。對甚麼樣的人，我就作甚麼樣的人；無論如何，我一定要救一些人。
23	我所做的一切，都是為了福音的緣故，好讓我成為福音的夥伴。
24	難道你們不知道嗎？在賽場上奔跑的人，雖然大家都在跑，但是得獎的只有一個人——你們要得獎就該這樣跑。
25	凡參加競賽的，在一切事上都有節制；不過他們這樣做只為得到必朽壞的冠冕，我們卻是為了不能朽壞的冠冕。
26	因此，我並非好像沒有目標地奔跑，也並非好像打空氣那樣鬥拳，
27	而是痛打自己的身體，叫身體如奴隸般服從我，免得我傳了福音給別人，自己竟然被淘汰了。
第十章
 	以史為鑒
1	弟兄們，我不想你們不明白，從前我們的祖宗全都在雲下，全都從海中經過，
2	全都在雲裡、在海裡受洗歸入摩西。
3	他們全都吃了同樣的靈糧，
4	全都喝了同樣的靈水；他們所喝的，來自那隨著他們的靈磐石，那磐石就是基督。
5	可是，他們大多數人，神都不喜悅，所以他們屍橫荒野。
6	這些都是我們的鑒戒，叫我們不要貪戀惡事，像他們曾經貪戀那樣。
7	你們也不可拜偶像，像他們有些人那樣；正如經上所記：“人民坐下吃喝，起來玩樂。”
8	我們也不可像他們有些人那樣淫亂，結果一天倒斃了二萬三千人。
9	我們也不可像他們有些人那樣試探基督，結果被蛇咬死。
10	你們也不可像他們有些人那樣發怨言，結果被那毀滅者所滅。
11	這些事發生在他們身上作為鑒戒，並且記載下來，為要警戒我們，因為萬世的終局已經臨到我們。
12	所以，那自以為站得穩的人，應該謹慎，免得倒下。
13	你們所受的試探，無非是常人所受的；神是信實的，他不會任由你們受試探超過你們所能承受的，反而會在你們受試探的時候開一條出路，使你們忍受得住。
 	不可喝主的杯又喝鬼魔的杯
14	所以，我所親愛的啊，你們要逃離拜偶像的事。
15	我所說的，是對明白事理的人說的，你們自己判斷吧。
16	我們祝謝的福杯，難道不是我們共享的基督的血嗎？我們所擘的餅，難道不是我們共享的基督的身體嗎？
17	這是因為餅只有一個，我們這許多人都是一個身體——就是說我們全都分享這一個餅。
18	你們看看隨從肉體的以色列人，難道那些吃祭物的人不就是與祭壇為伴嗎？
19	那麼，我說的是甚麼意思呢？是偶像算得甚麼，還是祭過偶像的食物算得甚麼嗎？
20	不，我是說，“他們所獻的祭是獻給鬼魔，不是獻給神”；我不想你們與鬼魔為伴！
21	你們不能既喝主的杯又喝鬼魔的杯，不能既分享主的宴席又分享鬼魔的宴席。
22	我們要惹主嫉妒嗎？難道我們比他還強嗎？
 	凡事都要榮耀神
23	“所有的事都可以做”，但並非都有益處。“所有的事都可以做”，但並非都造就人。
24	誰都不要尋求自己的益處，而要尋求另一個人的益處。
25	食物市場所賣的一切，你們只管吃，不要為良心的緣故查問甚麼，
26	因為“地和地上所充滿的都屬於主”。
27	如果有不信的人邀請你們用餐，你們也願意去，那麼凡擺在你們面前的，都可以吃，不要為良心的緣故查問甚麼。
28	但是如果有人告訴你們：“這是祭過神明的食物。”那麼，為了那告訴你們的人，也為了良心的緣故，就不要吃——
29	我說的良心，不是你的，而是另一個人的——因為我的自由為甚麼要被別人的良心評斷呢？
30	我如果謝恩享用，為甚麼要因我所謝恩的食物而被人毀謗呢？
31	所以，你們或吃或喝，或做甚麼，一切都要為神的榮耀而做。
32	無論是對猶太人、希臘人，或神的教會，你們都不可成為絆腳石，
33	正如我在一切事上都討所有人喜悅，不求自己的益處，而求多人的益處，好使他們得救。
第十一章
1	你們要效法我，就像我效法基督一樣。
 	蒙頭的問題
2	我稱讚你們，因為你們凡事都記得我，又持守我傳授給你們的教導。
3	然而，我想要你們明白，基督是每個男人的頭，男人是女人的頭，神是基督的頭。
4	凡是男人禱告或做先知為神傳話，如果有東西從頭上垂下來，就是羞辱自己的頭；
5	凡是女人禱告或做先知為神傳話，如果不蒙著頭，就是羞辱自己的頭，因為她就與剃了頭的女人一模一樣。
6	女人如果不蒙著頭，就應該把頭髮剪掉；但如果女人剪髮或剃頭是羞恥的事，她就應該蒙著頭。
7	男人不應蒙著頭，因為他是神的形象和榮耀，而女人是男人的榮耀。
8	要知道，男人不是由女人而出，女人卻是由男人而出；
9	並且男人不是為女人而造，女人卻是為男人而造。
10	因此，為天使的緣故，女人應該有權柄在頭上。
11	然而在主裡面，沒有男人就沒有女人，沒有女人就沒有男人。
12	因為正如女人是由男人而出，男人同樣是藉著女人而生；萬有都是出於神。
13	你們自己判斷吧！女人向神禱告不蒙著頭是合宜的嗎？
14	人的本性不是也教導你們：男人如果有長頭髮，就是他的羞恥嗎？
15	而女人如果有長頭髮，就是她的榮耀嗎？因為頭髮是給她作蓋頭的。
16	如果有人想要強辯，我們卻沒有這種習慣，神的眾教會也沒有。
 	要用合適的態度吃主的聖餐
（太26:26~28；可14:22~24；路22:17~20）
17	現在我吩咐你們下面的事，我不稱讚你們，因為你們聚會不但無益，反而有害。
18	首先，我聽說你們在教會聚會的時候，你們當中有分裂，這話我也有幾分相信。
19	其實，你們當中必然有分黨結派的事，好讓那些經得起考驗的人在你們當中顯明出來。
20	你們聚集在一起，不是為了吃主的晚餐，
21	因為吃的時候，各人搶先吃自己的晚餐，結果有人飢餓，有人醉了。
22	難道你們沒有家可以吃喝嗎？還是你們藐視神的教會，羞辱那些一無所有的人呢？我該對你們說甚麼呢？稱讚你們嗎？在這事上，我不稱讚你們！
23	因為，我從主領受又傳授給你們的教導是這樣的：主耶穌在他被交去受死的那一夜，拿起餅來，
24	謝恩後就擘開，說：“這是我的身體，為你們而捨；你們要這樣做，以記念我。”
25	用餐後，他又照樣拿起杯來，說：“這杯是用我的血所立的新約，你們每逢喝的時候，都要這樣做，以記念我。”
26	你們每逢吃這餅，喝這杯，都是宣告主的死，直到他來。
27	因此，無論甚麼人不合宜地吃主的餅、喝主的杯，就是干犯主的身體、主的血。
28	人應該檢討自己，才吃這餅、喝這杯。
29	因為如果那吃喝的人不審察這是主的身體，他吃喝就是定自己有罪了。
30	因此，你們中間有許多人軟弱、患病，甚至死去的也不少。
31	我們若省察自己，就不會被審判了。
32	然而我們被主審判是受他管教，免得和世人一同被定罪。
33	所以，我的弟兄們，你們聚集吃主的晚餐的時候，要彼此等候。
34	如果有人餓了，他就應該在家裡吃，免得你們聚集的時候招致定罪。其餘的事，我來的時候才作安排。
第十二章
 	屬靈的恩賜
1	弟兄們，關於屬靈的恩賜，我不想你們不明白。
2	你們知道，當你們還是教外人的時候，你們總是被牽引，常常被牽往那些不能說話的偶像那裡。
3	所以我要你們知道，靠著神的靈說話的人，沒有一個會說“耶穌是受詛咒的”；除非靠著聖靈，否則沒有人能說“耶穌是主”。
4	恩賜有各種分配，聖靈卻是同一位；
5	侍奉有各種分配，而主是同一位；
6	功用有各種分配，神卻是同一位，他在所有人當中使一切發揮功用。
7	每一個人都獲賜聖靈的彰顯，為要使全體得益處。
8	有人藉著聖靈獲賜智慧的信息，又有人按同一位聖靈獲賜知識的信息；
9	另有人靠著同一位聖靈獲賜信心，又有人靠著這一位聖靈獲賜醫病的恩賜；
10	又有人獲賜異能在他身上發揮，又有人獲賜先知信息，又有人獲賜辨別諸靈的能力；另有人獲賜各種方言，又有人獲賜方言的翻譯。
11	這一位——也是同一位聖靈，使這一切發揮功用，他按照自己的意思一一分配給每一個人。
12	要知道，正如身體是一個，卻有許多部分，而且全身部分雖然很多，身體還是一個；基督也是這樣。
13	因為在這一位聖靈裡，我們全都受洗歸入一個身體——無論是猶太人、是希臘人、是奴僕、是自由人——我們全都得以享用這一位聖靈。
14	身體的確不是只有一個部分，而是有許多部分。
15	假如腳說：“我不是手，所以我不屬於身體。”難道它因此就不屬於身體嗎？
16	假如耳朵說：“我不是眼睛，所以我不屬於身體。”難道它因此就不屬於身體嗎？
17	假如整個身體只是一隻眼睛，怎樣聽呢？假如整個身體只是一隻耳朵，怎樣聞味呢？
18	但事實上，神已經按照自己的意思把各部分一一放在身體上。
19	假如全都只是一個部分，還是身體嗎？
20	但事實上，部分雖然很多，身體還是一個。
21	眼睛不能對手說：“我不需要你。”頭也不能對雙腳說：“我不需要你們。”
22	相反，身體上被認為比較軟弱的那些部分更加是不可缺少的。
23	我們認為身體上不夠體面的部分，就更加裝飾得體面；我們身體上不雅觀的部分，就可以變得更雅觀，
24	我們身體上雅觀的部分就不需要這樣了。但是神把身體組合起來，使有缺欠的部分更有體面，
25	不讓身體分裂，而讓身體各部分彼此相顧。
26	如果一個部分受苦，所有部分就一同受苦；如果一個部分得榮耀，所有部分就一同喜樂。
