希伯來書
第一章
 	神藉著兒子說話
1-2	所以，我們應當離開基督道理的初階，努力進到成熟的地步，不必再立根基，就如為致死的行為懊悔、信靠神，以及種種洗淨禮、按手禮、死人復活、永遠的懲罰等教導。
3	只要神允許，我們就這樣做。
4	要知道，那些人蒙了一次光照，體驗過屬天的恩澤，有分於聖靈，
5	並且體驗過神美善的道，以及那將要來臨的時代的權能，
6	如果他們離棄了真道，就不可能使他們重新悔改了，因為他們親自把神的兒子釘在十字架上，公開羞辱他。
7	要知道，一塊地吸收了常降在其上的雨水，長出對種植的人有用的植物，就從神那裡得福；
8	但是這塊地如果長出荊棘和蒺藜來，就毫無用處，很快就會受到詛咒，結局就是被焚燒。
9	不過，親愛的弟兄們啊，我們雖然這樣說，卻深信你們有更好的表現，是得救的。
10	要知道，神並非不公義，以致忘記了你們的工作和為他的名所表現出的愛，就是你們以前服侍聖徒，現在還在服侍。
11	我們深願你們每個人都繼續表現出同樣的熱誠，一直到底，使你們的盼望可以完全實現，
12	這樣你們就不會變得懶惰，而會效法那些憑著信心和忍耐去承受應許的人。
 	神起誓保證他的應許
13	神應許亞伯拉罕的時候，因為沒有比自己更大的可以指著起誓，就指著自己起誓，
14	說：“我必定賜福給你，必定大量增多你的後裔。”
15	這樣，亞伯拉罕耐心等待，終於獲得神所應許的。
16	因為人起誓都是指著比自己大的起誓，用誓言作為保證，了結他們之間一切糾紛。
17	同樣，神想要向那些承受應許的人更加清楚地表明他的旨意不能更改，就起誓作保證，
18	好藉著兩件不能更改的事——在這兩件事上神不可能說謊——讓我們這些逃進避難所的人，可以得到強大的鼓勵，去抓緊那擺在我們面前的盼望。
19	我們擁有的這盼望就像生命的錨，既可靠又堅固，通過幔帳進入至聖所裡面。
20	耶穌已經為我們做先鋒進入那裡；他照著麥基洗德的模式，成為永遠的大祭司。
第七章
 	至高神的祭司麥基洗德
1	要知道，這位麥基洗德就是撒冷王，是至高神的祭司。亞伯拉罕殺敗眾王回來的時候，麥基洗德迎接他，給他祝福，
2	亞伯拉罕也從所得的一切裡拿出十分之一來給他。一來，麥基洗德這名字翻譯出來是“公義的王”；二來，他是“撒冷王”，意思就是“平安的王”。
3	他沒有父親，沒有母親，沒有族譜，沒有日子的開始，也沒有生命的終結，而是和神的兒子相似，永遠做祭司。
 	麥基洗德的祭司職分
4	你們想想，這人多麼偉大啊！連先祖亞伯拉罕都要從最好的戰利品裡拿出十分之一給他。
5	利未子孫領受祭司職分，奉命按照律法向人民，就是自己的弟兄，收取十分之一，儘管他們都是亞伯拉罕的後裔。
6	可是，麥基洗德不屬於他們的譜系，反而收納了亞伯拉罕的十分之一，並且給這蒙受應許的人祝福。
7	向來都是地位高的給地位低的祝福，這是無可爭議的。
8	就利未子孫來說，接受十分之一的人都是必死的；就麥基洗德來說，卻有聖經作見證他是活著的。
9	甚至可以這樣說，連那接受十分之一的利未，也藉著亞伯拉罕繳納了十分之一，
10	因為麥基洗德迎接亞伯拉罕的時候，利未還在他祖先的身體裡面。
 	耶穌按麥基洗德模式做祭司
11	人民是在利未祭司制度下領受律法的，因此，如果人藉著這制度真的能達到完美，為甚麼還需要照著麥基洗德的模式興起另外一位祭司，而不照著亞倫的模式呢？
12	要知道，既然祭司的制度更改了，律法也必須更改。
13	其實，這些話所指的那位屬於另外一個支派，這支派向來沒有人在祭壇前供職。
14	很明顯，我們的主是從猶大支派出來的，而關於這個支派，摩西並沒有提及祭司的事。
15	既然有另一位像麥基洗德那樣的祭司興起，那麼上面所說的就更明顯了。
16	他成為祭司，不是按照律法上有關肉身血統的誡命，而是按照那不能毀壞的生命大能。
17	因為有聖經為他作證說：“你照著麥基洗德的模式，永遠做祭司。”
18	一方面，從前的誡命因為軟弱無用就被廢棄了——
19	因為律法從來沒有使任何事物完美；另一方面，耶穌帶來了更美好的盼望，我們藉著這盼望就可以親近神。
20	再者，耶穌被立為祭司，並非沒有用誓言；（那些人被立為祭司，並沒有用誓言，
21	只有耶穌是用誓言所立，因為那立他的對他說：“主起了誓，絕不改變心意：‘你永遠做祭司。’”）
22	耶穌既然是用誓言所立，就成為更美好之約的保證人。
23	一方面，從前做祭司的人因為受死亡限制，就不能長久留任，所以人數眾多；
24	另一方面，耶穌因為永遠長存，就擁有永不改變的祭司職位。
25	所以藉著他靠近神的人，他都能拯救到底，因為他永遠活著，為他們代求。
26	的確，這樣一位大祭司才適合我們。他聖潔，沒有邪惡，沒有玷污，從罪人裡分別出來，高過天空，
27	不像其他大祭司天天需要先為自己的罪獻祭，然後為人民的罪獻祭；因為他獻上自己的時候，只此一次就把贖罪這事成全了。
28	事實上，律法任命的大祭司都是軟弱的人；在律法以後用誓言所立的兒子卻永遠完美。
第八章
 	耶穌是更美好的約的中保
1	以上所說的重點，就是我們有這樣一位大祭司，他已經坐在天上至尊者寶座的右邊，
2	在聖所，就是在真聖幕裡供職；這真聖幕是主搭建的，不是人搭建的。
3	所有大祭司都是為了獻禮物和祭物而設立的，所以這位大祭司也必須有所獻上。
4	他假如在地上，就不會做祭司，因為已經有按照律法獻禮物的祭司了。
5	這些祭司侍奉之處，不過是天上事物的圖樣和影子，就如摩西將要造聖幕的時候，神告誡他說：“你要留心，各樣物件都要照著在山上展示給你看的樣式去造。”
6	但是，現在耶穌得到了更尊貴的職分，就像他也是更美好的約的中保；這約建立在更美好的應許之上。
7	假如頭一個約沒有缺點，就沒有必要尋求另一個約了。
8	可是，神指責他們，說：“主說：日子快要到了！我要與以色列家和猶大家訂立新約。
9	這新約不像從前我拉著他們祖先的手，領他們出埃及地的日子與他們所立的約。因為他們沒有遵守我的約，我就不理會他們。這是主說的。
10	主又說：在那些日子以後，我要與以色列家立這樣的約：我要把我的律法放在他們的意念裡，寫在他們的心上。我會做他們的神，他們會做我的子民。
11	他們各人絕不用教導自己的同胞和自己的弟兄，說：‘你要認識主’，因為所有的人，從最小到最大的，都將認識我。
12	因為我要寬恕他們的不義，決不再記住他們的罪惡。”
13	神既然說到“新的”約，就是使第一個約成為舊的了；而那變成陳舊衰老的東西，很快就要消逝了。
第九章
 	舊約侍奉的規例
1	第一個約也有侍奉的規例和屬世界的聖所。
2	那裡有一座搭建好的聖幕，這第一個聖幕叫作聖所，裡面有燈台、桌子和呈獻餅。
3	在第二層幔帳後面還有一個聖幕，叫作至聖所，
4	有金香壇，有全部包金的約櫃，櫃裡有盛著嗎哪的金罐、亞倫那發過芽的杖和兩塊約版。
5	櫃上面有榮耀的基路伯罩著施恩座，關於這些，現在不能一一細說。
6	這些物件都這樣預備好了，祭司就常常進入第一個聖幕，履行侍奉的職責。
7	至於第二個聖幕，惟有大祭司每年只進去一次，並且不能不用血，好為自己和人民無意所犯的罪把血獻上。
8	聖靈藉著這事表明，當第一個聖幕存在的時候，進入至聖所的路還沒有顯明出來。
9	這第一個聖幕是現今時代的預表，其實所獻的禮物和祭物，都不能使敬拜的人在良心上得以完美。
10	這些只是關於飲食和種種洗淨的禮儀，是在“更新的時候”來到之前，為肉體制定的規例。
 	基督的血潔淨我們
11	但是基督已經來了，美好的事物已經實現，他作為這些事物的大祭司，經過更大、更完美的聖幕——那聖幕不是人手所做的，也就不屬於這受造的世界；
12	他不是用山羊和牛的血，而是用自己的血，只此一次進入至聖所，就取得永遠的救贖。
13	如果山羊和公牛的血，以及母牛的灰，灑在不潔的人身上尚且可以使他們成為聖潔，身體潔淨，
14	更何況基督的血呢！他藉著永遠的靈把自己毫無瑕疵地獻給神，他的血不是更能潔淨我們的良心脫離致死的行為，使我們可以侍奉永活的神嗎？
15	因此，他做了新約的中保，藉著他的死贖了在第一個約下違命的罪，就叫那些蒙召的人得到神應許的永遠產業。
16	要知道，既然有盟約，立約者的死就必須被承擔，
17	因為盟約是用死去的身軀確立的，假如違命的立約者還活著，盟約就沒有效力了。
18	因此，就連第一個約也不能不用血訂立：
19	當日摩西按照律法，向所有人民宣布了一切誡命，就拿牛的血和水，用朱紅色的羊毛和牛至草，灑在律法書上，也灑在人民身上，
20	說：“這就是立約的血！這約是神命令你們遵守的。”
21	他也同樣把血灑在聖幕和供聖職用的所有器物上。
22	按著律法，幾乎一切都是用血潔淨的；沒有流血，就沒有赦免。
 	基督一次獻上自己就除掉罪
23	既然照著天上圖樣造的必須用這些祭物去潔淨，天上事物本身就應該用更美好的祭物去潔淨了。
24	要知道，基督不是進了人手所做的至聖所——那不過是真至聖所的表象，而是進到天上，如今為我們出現在神的面前，
25	不是為了多次把自己獻上，像大祭司每年用不屬於自己的血進入至聖所那樣。
26	假如是這樣，基督從創世以來就必須受許多次的苦了，可是如今他在萬世的終局只顯現一次，把自己作為祭物獻上，好除掉罪。
27	正如按著定命，人人都只死一次，以後就是審判；
28	同樣，基督為了擔當許多人的罪，也只把自己獻上一次；將來他還要顯現第二次，不是為擔當罪，而是要向那些熱切期待他的人成全救恩。
第十章
1	律法既然是將來美好事物的影子，不是本體的真像，就永不能憑著每年獻上同樣的祭物使前來的人得以完美。
2	否則，侍奉的人只一次就得潔淨，良心就不再覺得有罪，那麼，獻祭的事豈不是早就停止了嗎？
3	可是那些祭物卻使人每年都想起罪來，
4	因為公牛和山羊的血不能把罪除去。
5	所以，基督到世上來的時候，就說：“祭物和禮物你未曾想要，但你為我預備了身體；
6	燔祭和贖罪祭，你不喜悅。
7	那時我說：‘看哪，我來了，經卷上已經記載我的事；神啊，我來是要遵行你的旨意！’”
8	前面說：“祭物和禮物、燔祭和贖罪祭，都不是你想要的，也不是你喜悅的。”這些都是按照律法獻的，
9	接著又說：“看哪，我來了，是要遵行你的旨意。”可見他廢除那先前的，為要建立那以後來的。
10	因為耶穌基督遵行了神的旨意，只此一次獻上他的身體，我們就得以成聖。
11	所有的祭司都是天天站著服侍，多次獻上同樣的祭物，而那些祭物永不能把罪除去；
12	惟有基督獻上了一次永遠有效的贖罪祭，就坐在神的右邊，
13	此後只是等待神使他的仇敵做他的腳凳。
14	這是因為他藉著一次的獻祭，就使那些成聖的人永遠完美。
15	聖靈也向我們作見證，因為他說過：
16	“主說：‘在那些日子以後，我要與他們立這樣的約：我要把我的律法放在他們的心上，寫在他們的意念裡。’”
17	然後又說：“他們的罪惡和不法的行為，我決不再記住。”
18	既然這些都赦免了，就不必再為罪獻祭。
 	勸勉和警告
19	所以，弟兄們，我們憑著耶穌的血可以坦然無懼地進入至聖所！
20	這進入的路是他給我們開的，又新又活，穿過幔帳；這幔帳就是他的身體。
21	既然我們有一位偉大的祭司治理神的家，
22	既然我們的心已蒙血灑，不再有邪惡的良心，身體也用清水洗淨了，我們就應該懷著真誠的心和充分的信心來到神面前；
23	又要堅持我們所宣認的盼望，毫不動搖，因為那應許我們的是信實的；
24	我們也要思想怎樣彼此激勵，好讓大家更加相愛和行善；
25	不要放棄聚會，好像有些人習慣的那樣，反而要互相勸勉。你們既然知道那日子臨近，就更加應該這樣。
26	要知道，我們領受了真理的知識以後，如果還是故意犯罪，就再沒有贖罪的祭物留給我們；
27	留給我們的卻是對審判懷著恐懼的等待，以及將要吞滅敵人的烈火。
28	任何人干犯了摩西的律法，憑著兩三個證人，就得不到憐憫而死；
29	何況人踐踏神的兒子，把那使他成聖的立約之血當作俗物，又侮辱施恩的聖靈，你們想想，這人該受多麼嚴厲的懲罰！
30	因為我們知道是誰這樣說過：“申冤在我，我必報應。”又說：“主將審判他自己的子民。”
31	落在永活的神手裡，真是可怕呀！
 	要忍耐行完神的旨意
32	你們要回想從前的日子，那時，你們蒙了光照以後，忍受了許多痛苦的煎熬，
33	有時在眾人面前被辱罵、遭患難，有時與遭遇相同的人為伴。
34	你們同情被監禁的人，你們的家業被搶奪又以喜樂的心接受，因為知道自己有更美好而又長存的家業。
35	所以，你們不可丟棄坦然無懼的心，有這樣的心就有極大的報償。
36	你們還需要堅忍，好讓你們行完神的旨意，就可以領受所應許的。
37	要知道：“還有一點點的時候，要來的那一位就會來，不會遲延。
38	我的義人將因信得生，如果他後退，我的心就不喜悅他。”
39	但是我們不屬於那些退縮以致滅亡的人，而屬於有信心得以保全生命的人。
第十一章
 	論信心
1	信心就是對所盼望之事有把握，對還看不見之事有確信。
2	因為這信心，古人得到了稱許。
3	憑著信心，我們就明白宇宙是藉著神的話創造的。這樣，現在看見的並不是從可見的事物造出來的。
 	信心的偉人
4	憑著信心，亞伯獻給神的祭物比該隱的更美好；藉著這信心，他蒙神稱許為義人，這是神指著他的禮物所作的見證；他雖然死了，卻藉著信心仍然說話。
5	憑著信心，以諾被接走，使他不見死亡，人也找不到他，因為神把他接走了。原來他在被接走之前，已經蒙神喜悅而得稱許。
6	沒有信心，就不能得到神的喜悅，因為來到神面前的人，必須相信神存在，並且相信他會報償那些尋求他的人。
7	憑著信心，挪亞蒙神特別指示他還沒有看見的事，就動了敬虔的心，做了一艘方舟，使他全家得救。藉著這信心，他就定了那世代的罪，自己也承受了那因信而來的義。
8	憑著信心，亞伯拉罕在蒙召的時候，就遵命往他將要得到為產業的地方去；他出去的時候，還不知道要往哪裡去。
9	憑著信心，他在應許之地寄居，如同在異鄉一樣，跟承受同樣一個應許的以撒、雅各一樣住在帳篷裡。
10	這是因為他等待那座有根基的城，就是神所設計、所建造的。
11	憑著信心，甚至莎拉自己，她雖然過了生育的年齡，還是能夠懷孕，因為她認為應許她的那一位是信實的。
12	所以，從一個好像已死的人，竟然生出子孫來，像天上的星那麼眾多，像海邊的沙那樣不可勝數。
13	這些人都懷著信心死去，還沒有得到所應許的，卻從遠處看見就歡迎，又承認自己在世上是異鄉人，是寄居者。
14	事實上，說這樣話的人，是表明他們在尋求一個家鄉。
15	他們如果懷念自己離開的地方，還有機會回去，
16	但現在他們是嚮往一個更美好的天上家鄉。因此，神就讓自己稱為他們的神，不以他們為恥，因為他已經為他們預備了一座城。
17	憑著信心，亞伯拉罕受試驗的時候把以撒獻上——這個領受種種應許的人，準備獻上自己的獨一愛子；
18	論到這個兒子，曾經有話說：“以撒生的，才可以稱為你的後裔。”
19	亞伯拉罕認定，神能使人從死人中復活，因此就比喻的意義來說，他的確從死人中得回兒子。
20	憑著信心，以撒給雅各和以掃祝福，論到將來的事。
21	憑著信心，雅各臨死的時候，給約瑟的每一個兒子祝福，又倚著杖頭敬拜神。
22	憑著信心，約瑟臨終的時候，提到以色列子民出埃及的事，並且為自己骸骨的安排留下遺言。
23	憑著信心，摩西的父母生下他之後，因為看見他是個俊美的孩子，就把他藏了三個月，不怕王的命令。
24	憑著信心，摩西長大了以後，拒絕被稱為法老女兒的兒子，
25	寧願選擇和神的子民一同受苦，也不願在罪惡裡享受暫時的快樂——
26	在他看來，為基督受的凌辱比埃及的財物更寶貴，因為他注目於將來的報償。
27	憑著信心，他離開了埃及，不怕王的憤怒，因為他堅定不移，像看見了人不能看見的神。
28	憑著信心，他設立了逾越節和灑血的禮，免得那毀滅首生的擊殺以色列人的長子。
29	憑著信心，他們走過紅海，如同走過乾地；埃及人也試著這樣做就被淹沒了。
30	憑著信心，以色列人圍繞耶利哥的城牆七天，城牆就倒塌了。
31	憑著信心，妓女喇合友善地接待了偵察的人，就沒有和那些不順從的人一起滅亡。
32	我還要再說甚麼呢？如果還要述說基甸、巴拉、參孫、耶弗他、大衛、撒母耳和眾先知的事，時間就不夠了。
33	藉著信心，他們戰勝了眾王國，伸張了正義，得到了所應許的那些事，堵住了獅子的口，
34	消滅了烈火的威力，逃脫了刀劍的鋒刃，從軟弱變成剛強，在戰爭裡大有能力，擊退了外國的軍隊；
35	有些婦女得回從死裡復活的親人；也有些人忍受了酷刑，不接受釋放，為要得到更美好的復活。
36	又有些人遭受了戲弄、鞭打，甚至被捆鎖、監禁，
37	被石頭打死，被鋸鋸死，被刀殺死，披著綿羊和山羊的皮到處流浪，貧困、受苦、被虐待——
38	這世界配不上他們；他們在荒野、山嶺、石洞和地穴飄流無定。
39	所有這些人都藉著信心得了稱許，卻還沒有得到神所應許的，
40	因為神已經為我們預備了更美好的事，使他們如果沒有我們就不能得以完美。
第十二章
 	專一注視耶穌
1	所以，我們既然有這麼多的見證人，像雲彩圍繞著我們，就應該脫下各樣的累贅和容易纏住我們的罪，以堅忍的心奔跑那擺在我們面前的賽程，
2	專一注視耶穌，就是信心的先驅和完成者；他因為那擺在面前的喜樂，就忍受了十字架，輕看了羞辱，現在就坐在神寶座的右邊。
3	你們要仔細思想這位耶穌如何忍受罪人的頂撞，免得疲倦灰心。
 	主必管教他所愛的
4	你們和罪惡鬥爭，還沒有對抗到流血的地步；
5	難道你們忘記了神勸你們像勸兒子一樣的話嗎？他說：“我兒，你不要藐視主的管教，受懲戒的時候也不要喪氣，
6	因為主所愛的人，他才管教，所接納的每一個兒子，他都懲罰。”
7	為了接受管教，你們要忍受，因為神待你們就像待兒子一樣；哪有兒子不受父親管教的呢？
8	所有做兒子的都受過管教，你們如果沒有受管教，就是私生子，不是兒子了。
9	還有，肉身的父親管教我們，我們尚且敬重；何況那萬靈的父親，我們豈不是更要服從他而得生命嗎？
10	肉身的父親照著自己的意思管教我們，只有短暫的日子，但是萬靈的父親管教我們，是為我們好，讓我們在他的聖潔上有分。
11	但凡管教，當時似乎不令人快樂，反使人覺得痛苦，後來卻為那些經過這種操練的人結出平安的果子來，就是義。
 	舉起下垂的手，挺直發軟的膝頭
12	所以，你們要舉起下垂的手，挺直發軟的膝頭；
13	也要為自己的腳把道路修直，使跛者不致扭腳，反得康復。
14	你們要追求與眾人和睦，並且要追求聖潔；如果沒有聖潔，誰也不能見主。
15	你們要小心，免得有人失去神的恩典；也免得有產生毒害的根長起來禍害你們，使許多人被玷污；
16	又免得有人變得淫亂和不敬虔，好像以掃一樣，只為了一餐，就把自己的長子名分出賣了。
17	你們知道，後來以掃想要承受祝福，卻遭拒絕；他雖然帶著眼淚尋求，還是找不到悔改的機會。
 	不可背棄那警戒人的神
18	你們不是來到那座摸得到的山——那裡有烈火、密雲、幽暗、暴風、
19	號角的響聲和說話的聲音；那些聽見這聲音的人，都請求神不要再向他們多說話，
20	因為他們擔當不起那命令：“就是走獸碰觸這山，也要用石頭打死。”
21	當時，顯出的景象是那麼可怕，連摩西也說：“我非常恐懼戰兢。”
22	你們卻是來到錫安山，就是永活神的城，天上的耶路撒冷；在那裡有千萬的天使聚集，
23	有名字登記在天上的眾長子的教會，有審判眾人的神，有得以完美的義人的靈魂，
24	有新約的中保耶穌，還有他所灑的血；這血所傳的信息比亞伯的血所傳的更美好。
25	你們要小心，千萬不要棄絕那位向你們說話的神；要知道，從前那些人棄絕了在地上警戒他們的神尚且不能逃罪，更何況現在我們背棄從天上警戒我們的神呢？
26	當時他的聲音震動了地，現在他卻應許說：“還會有一次，我不但要震動地，還要震動天。”
27	“還會有一次”這句話表明，作為受造之物，那些被震動的要被除去，好讓那些不能震動的得以留存，
28	所以我們既然領受了不能震動的王國，就應該感恩，照著神所喜悅的，用虔誠敬畏的心侍奉他；
29	因為我們的神是吞噬之火。
第十三章
 	教導信徒該做的事
1	你們總要保持弟兄之間的愛。
2	不要忘記熱誠款待客旅，有人這樣做，就在無意中款待了天使。
3	你們要記得那些坐牢的人，好像跟他們一起坐牢一樣；也要記得那些受虐待的人，感同身受。
4	人人都應該尊重婚姻，婚床也不要玷污，因為神一定審判淫亂和通姦的人。
5	你們為人不要貪財，要滿足於現有的，因為神親自說過：“我決不丟下你，也不離棄你。”
6	所以我們可以放膽說：“主是我的幫助，我不會害怕，人能對我做甚麼呢？”
7	你們要記得那些領導你們、曾經把神的道傳給你們的人，要觀察他們行事為人的成果，要效法他們的信心。
8	耶穌基督昨天、今天、直到永遠都是一樣的。
9	你們不要被人用各種怪異的教導引入歧途。人心靠著恩典得到堅定，不靠著食物，才是好的，因為那些專注於食物的人從來沒有得過益處。
10	我們有一座祭壇，壇上的祭物，是那些在聖幕裡供職的人沒有權利吃的。
11	那些祭牲的血由大祭司帶進聖所作贖罪祭，祭牲的身體卻要在營外焚燒。
12	所以，耶穌也是這樣在城門外受苦，為的是要藉著自己的血使人民成聖。
13	那麼，讓我們也走出營外，到他那裡去，擔當他所受的凌辱。
