出埃及記
第一章
 	以色列人在埃及興盛
11	摩西對神說：“我是誰？我怎能去見法老，怎能把以色列人從埃及領出來呢？”
12	神說：“我必與你同在！你把這人民從埃及領出來之後，你們會在這座山上侍奉神；這就是給你的標記，證明是我親自差遣你的。”
13	摩西對神說：“假如我到以色列人那裡，對他們說：‘你們列祖的神差遣我到你們這裡來。’他們會對我說：‘他叫甚麼名字？’我要對他們說甚麼呢？”
14	神對摩西說：“我是我恆常所是。”又說：“你要對以色列人這樣說：‘“我是”差遣我到你們這裡。’”
15	神又對摩西說：“你要對以色列人這樣說：‘耶和華你們列祖的神，就是亞伯拉罕的神，以撒的神，雅各的神，差遣我到你們這裡來。’這是我永恆的名字，這是我萬代的稱號。
16	你去，召集以色列的長老，對他們說：‘耶和華你們列祖的神，就是亞伯拉罕、以撒、雅各的神，已經向我顯現，說：“我著實眷顧你們，關切你們在埃及所受的對待。
17	我說過‘我要把你們領上來，脫離埃及的痛苦，去到迦南人、赫特人、亞摩利人、比利洗人、希未人、耶布斯人的土地，就是那片流奶流蜜之地。’”
18	他們會聽你的話。你要和以色列的長老們到埃及王那裡，對他說：‘耶和華希伯來人的神向我們顯現了！所以請你讓我們在荒野走三天的路程，好讓我們宰獻祭牲給耶和華我們的神。’
19	但是我知道，如果不用強勁的手，埃及王就不會讓你們走。
20	因此我要伸出手，在埃及境內施行我的全部奇蹟來擊打埃及，之後他才會放你們走。
21	我要使這班子民在埃及人眼前蒙恩，這樣，你們走的時候就不會空手走。
22	每個女人都會向女鄰居和住在同一所房子的女子索取銀器、金器、衣服，穿戴在你們的兒子和女兒身上。這樣你們就會向埃及人奪回財物了。”
第四章
 	耶和華賜給摩西的印證
1	摩西回答說：“假如他們不相信我，不聽我的話呢？因為他們會說：‘耶和華並沒有向你顯現。’”
2	耶和華對他說：“你手裡的是甚麼？”他說：“是手杖。”
3	耶和華說：“把它丟到地上。”摩西把它丟到地上，它就變成了蛇；摩西就躲開那條蛇。
4	耶和華對摩西說：“伸手抓住蛇的尾巴。”摩西就伸手抓住牠，牠就在摩西手裡變回手杖。
5	耶和華說：“這樣，他們就可以相信耶和華他們列祖的神向你顯現了——他就是亞伯拉罕的神，以撒的神，雅各的神。”
6	耶和華又對摩西說：“把手放進衣襟！”他就把手放進衣襟。他把手抽出來，手上竟然有嚴重皮膚病，像雪片一樣！
7	耶和華說：“把手再放進衣襟。”摩西把手再放進衣襟，然後從衣襟抽出來，手竟然復原了，和他身上的肉一樣！
8	耶和華又說：“他們就算不相信你，不聽第一個神蹟的見證，也會相信後一個神蹟的見證。
9	如果他們連這兩個神蹟也不相信，也不聽你的話，你就取些尼羅河水，倒在乾地上，你從尼羅河取來的水會在乾地上變成血。”
10	摩西對耶和華說：“主啊，請體諒我！我不是善於言辭的人——昨天不是，前天不是，即使在你對你僕人說話以後也不是——其實我真是拙口笨舌的。”
11	耶和華對他說：“誰使人有口？誰使人口啞、耳聾、能看見或眼盲呢？不是我耶和華嗎？
12	現在你要去！我會親自與你的口同在，指教你要說甚麼。”
13	摩西說：“主啊，請體諒我！請你差遣能勝任的人吧！”
14	耶和華就對摩西動怒，說：“不是有你的哥哥利未人亞倫嗎？我知道他非常會說話。而且你知道嗎，他正出來迎接你。他一看見你，心裡就會歡喜。
15	你要向他說話，把這些話放在他口裡。我會親自與你的口同在，也與他的口同在，也會指教你們要做甚麼。
16	他要替你對人民說話，這樣，他就像是你的口，你就像是他的神。
17	這根手杖你要拿在手裡，用來行神蹟。”
 	摩西返回埃及
18	於是，摩西動身，回到岳父葉特羅那裡，對他說：“請讓我走，我要回到我在埃及的同胞那裡，看看他們是否還健在。”葉特羅對摩西說：“安心去吧！”
19	耶和華在米甸對摩西說：“走吧，回到埃及去，因為那些要尋索你性命的人都已經死了。”
20	摩西就帶著妻子和兒子們，讓他們騎在驢上，返回埃及地。摩西手裡拿著神的杖。
21	耶和華對摩西說：“你返回埃及的時候要記住，我要藉著你手施展的一切奇能，你都要在法老面前施展。但是我要使他的心強硬，他不會放這人民走。
22	你要對法老說：‘耶和華這樣說：以色列是我的兒子、我的長子。
23	我曾經對你說，放我的兒子走，好讓他侍奉我。如果你拒絕放他走，你看著，我要殺你的兒子、你的長子。’”
24	在途中住宿的地方，耶和華找上摩西，想要殺他。
25	西坡拉就拿石刀，割下她兒子的包皮，用包皮觸碰摩西的雙腳，說：“你真的是我的血新郎！”
26	這樣，耶和華就放過他。西坡拉在那時說“血新郎”，是指割禮。
27	耶和華對亞倫說：“你到荒野去迎接摩西。”亞倫就去，在神的山與摩西碰面，就親吻他。
28	摩西把差遣他來的耶和華的一切話，以及神吩咐他要行的一切神蹟都告訴了亞倫。
29	摩西和亞倫就動身，召集以色列人所有的長老。
30	亞倫講述耶和華對摩西說的一切話，又在人民眼前行了那些神蹟。
31	人民就信了。他們聽見耶和華眷顧以色列人，看見了他們的痛苦，就俯伏敬拜。
第五章
 	摩西和亞倫首次見法老
1	之後，摩西和亞倫去對法老說：“耶和華以色列的神如此說：放我的人民走，讓他們可以在荒野向我守節期。”
2	法老說：“耶和華是誰，要我聽從他的話，放以色列人走？我不認識耶和華，也不放以色列人走！”
3	他們說：“希伯來人的神突然向我們顯現了。請你讓我們在荒野走三天的路程，好讓我們宰獻祭牲給耶和華我們的神，免得他使瘟疫或刀劍臨到我們。”
4	埃及王對他們說：“摩西、亞倫，你們為甚麼要使這人民丟下他們的工作？走，做你們的苦役！”
5	法老又說：“看，現在這地的人民很多，你們竟然想叫他們停止做苦役！”
6	就在當天，法老吩咐這人民的那些監工和工頭，說：
7	“你們不可再像以前一樣提供碎稈給這班人做磚；要叫他們自己去收集碎稈。
8	他們素來做磚的定量，你們照舊向他們要，不可減少，因為他們懶惰——所以他們才老是呼喊說：‘讓我們走，好讓我們宰獻祭牲給我們的神！’
9	你們要加重這些人的奴役，使他們忙於做工，不去理會騙人的話。”
 	法老加重迫害以色列人
10	這人民的眾監工和工頭出來，對人民說：“法老如此說：‘我不再提供碎稈給你們。
11	哪裡找得到碎稈，你們就自己到哪裡收集吧，但是你們的產量一點都不能減少。’”
12	於是，這人民就分散到埃及全地，收集麥稈來做碎稈。
13	監工則不斷地催逼他們，說：“你們每天應有的產量，要在當天完成，像以前有碎稈的時候一樣！”
14	法老的監工們指派的以色列人的工頭們受責打，打他們的人說：“你們昨天今天都沒有像之前一樣完成你們做磚的定量，為甚麼？”
15	以色列人的工頭們就去向法老喊冤，說：“你為甚麼要這樣對待你的僕人呢？
16	沒有碎稈給你的僕人，他們卻一直對我們說：‘要做磚！’現在，你的僕人受責打，可有錯的是你的人民！”
17	法老說：“你們懶惰！就是懶惰！所以你們才老是說：‘讓我們走，好讓我們宰獻祭牲給耶和華！’
18	現在去做工！碎稈是不會給你們的，但是磚你們要如數交出！”
19	以色列人的工頭們一聽說“你們每天做的磚不可減少”，就知道自己有禍了。
 	摩西和亞倫抱怨
20	他們從法老那裡出來，就上前去見站著等候他們的摩西和亞倫，
21	對兩人說：“願耶和華鑒察你們，施行審判！因為你們使我們在法老和他的臣僕眼前有了臭名，把刀放在他們手裡殺我們！”
22	摩西就轉向耶和華，說：“主啊，你為甚麼惡待這人民呢？你究竟為甚麼差遣我呢？
23	自從我到法老那裡，奉你的名說話，他就惡待這人民，而你一點都沒有搭救你的人民。”
第六章
 	耶和華對摩西的應許
1	耶和華對摩西說：“你將會看見我要向法老做的事！由於我強勁的手，他會放他們走；由於我強勁的手，他會把他們逐出他的地。”
2	神對摩西說話，對他說：“我是耶和華。
3	我曾經向亞伯拉罕、以撒、雅各顯現為全能的神，至於我的名字‘耶和華’，我還沒有讓他們認識。
4	我也已經與他們立我的約，要賜給他們迦南地，就是他們寄居之地，他們曾在其中寄居。
5	而且我聽見了以色列人因埃及人奴役他們而發出的哀聲，我顧念我的約。
6	所以，你要對以色列人說：‘我是耶和華，我要把你們從埃及的苦役下領出來，我要搭救你們脫離他們的奴役，我要用伸出的手臂和巨大的審判贖回你們。
7	我會收納你們做我的子民，我會做你們的神。你們就會知道我是耶和華你們的神，是把你們從埃及的苦役下領出來的那一位。
8	我要把你們領進那片土地，就是我曾經起誓要賜給亞伯拉罕、以撒、雅各的地，我要把那片土地賜給你們作為產業。我是耶和華。’”
9	摩西就把這話告訴以色列人；他們卻因為情緒沮喪和奴役繁重，不聽摩西的話。
10	耶和華吩咐摩西說：
11	“你進去告訴埃及王法老，叫他放以色列人走，離開他的地。”
12	摩西在耶和華面前說：“以色列人尚且不聽從我，法老又怎會聽從我呢？更何況，我拙口笨舌啊！”
13	耶和華對摩西和亞倫說話，吩咐他們到以色列人和埃及王法老那裡去，把以色列人從埃及地領出來。
 	摩西和亞倫的族譜
14	以下是他們各個父家的領袖。以色列長子呂便的兒子是哈諾、法路、希斯倫、迦米；這些是呂便的家族。
15	西緬的兒子是耶默利、雅憫、阿轄、雅斤、瑣轄、迦南女子所生的掃羅；這些是西緬的家族。
16	以下是利未兒子們的名字，以及他們的後代。革順、哥轄、米拉利。利未一生的年歲是一百三十七歲。
17	革順的兒子是立尼、示每，各形成一個家族。
18	哥轄的兒子是安覽、以斯哈、希伯倫、烏薛。哥轄一生的年歲是一百三十三歲。
19	米拉利的兒子是馬利和慕示。以上是利未的各個家族，以及他們的後代。
20	安覽娶了姑母約姬別為妻，她為安覽生了亞倫和摩西。安覽一生的年歲是一百三十七歲。
21	以斯哈的兒子是可拉、尼斐、錫基利。
22	烏薛的兒子是米沙利、以利察範、西提利。
23	亞倫娶了伊麗莎白為妻，她是亞米拿達的女兒，拿順的妹妹；她為亞倫生了拿答、亞比戶、以利亞撒、以他瑪。
24	可拉的兒子是亞惜、以利加拿、亞比亞撒；這些是可拉的各個家族。
25	亞倫的兒子以利亞撒娶了普鐵的一個女兒為妻；她為以利亞撒生了非尼哈。以上是利未人各個父家的領袖，以及他們的家族。
26	正是這亞倫和摩西，耶和華對他們說：“你們要把以色列人從埃及地領出來，大軍一隊隊地走。”
27	正是他們對埃及王法老說話，要領以色列人從埃及出來——正是這摩西和亞倫。
 	摩西再次受命
28	耶和華在埃及地對摩西說話的那一天，
29	耶和華對摩西說：“我是耶和華。我對你所說的一切，你都要對埃及王法老說。”
30	但是摩西在耶和華面前說：“我實在是拙口笨舌的，法老怎會聽從我呢？”
第七章
 	摩西和亞倫遵照耶和華的吩咐去做
1	耶和華對摩西說：“你看，我已經任命你做法老的神，而你的哥哥亞倫會做你的先知。
2	你要說出我將吩咐你的一切，而你哥哥亞倫也要向法老說話，要他放以色列人走，離開他的地。
3	但是我要使法老心硬，我要在埃及地施展我的許多神蹟奇能。
4	法老會不聽從你們；我要出手攻擊埃及，用巨大的審判，把我的大軍，就是我的人民以色列人，從埃及地領出來。
5	當我伸手攻擊埃及，把以色列人從他們中間領出來的時候，埃及人就會知道我是耶和華。”
6	摩西和亞倫就去做；耶和華怎樣吩咐他們，他們就怎樣做。
7	他們對法老說話的時候，摩西八十歲，亞倫八十三歲。
 	以杖變蛇
8	耶和華對摩西和亞倫說：
9	“如果法老對你們說：‘你們施展奇能吧！’你就對亞倫說：‘拿起你的手杖，丟在法老面前，手杖就會變成一條大蛇。’”
10	摩西和亞倫到法老那裡，照耶和華吩咐的去做。亞倫把他的手杖丟在法老和他的臣僕面前，手杖就變成了一條大蛇。
11	於是，法老也把一些智士和巫師召來，這些埃及法術師也用他們的祕術照樣做了。
12	他們每個人都丟下自己的手杖，手杖也都變成了大蛇，但是亞倫的手杖吞吃了他們的手杖。
13	然而法老的心強硬，不聽從他們，正如耶和華所說的那樣。
 	血災
14	耶和華對摩西說：“法老的心頑固，拒絕放這人民走。
15	明天早晨你要去見法老，到時他會出來往水邊去；你要站在尼羅河邊與他碰面。那根曾經變成蛇的手杖，你要拿在手裡。
16	你要對他說：‘耶和華希伯來人的神差派我來對你說：“放我的人民走，好讓他們在荒野侍奉我！”可是，直到現在你還是不聽從！
17	耶和華這樣說：“因為以下這件事，你將知道我是耶和華。”看哪，我要用我手裡這根杖擊打尼羅河裡的水，水就會變成血，
18	尼羅河裡的魚會死，尼羅河會發臭，埃及人會不能喝尼羅河的水。’”
19	耶和華又對摩西說：“你要對亞倫說：‘拿起你的手杖，把手伸向埃及一切有水的地方，就是他們的河流、水道、池塘，以及他們所有蓄水之處，水都會變成血。埃及全地，甚至連木器和石器裡，都會有血。’”
20	摩西和亞倫就按照耶和華所吩咐的去做。亞倫在法老和他的臣僕眼前舉起那根手杖，擊打尼羅河裡的水，尼羅河裡所有的水就都變成了血。
21	尼羅河裡的魚死了，尼羅河也發臭了，埃及人不能喝尼羅河裡的水。埃及全地都是血。
22	埃及的法術師也用他們的祕術照樣做了。於是，法老的心仍然強硬，不聽從摩西和亞倫，正如耶和華所說的那樣。
23	法老轉身走進他的宮殿，就連這件事他也不放在心上。
24	所有埃及人都在尼羅河周邊挖地，要找水喝，因為他們不能喝尼羅河的水。
25	耶和華擊打尼羅河後，七天過去了。
第八章
 	蛙災
1	耶和華對摩西說：“你進去見法老，對他說：‘耶和華這樣說：“放我的人民走，好讓他們侍奉我！
2	如果你不肯放他們走，我很快就會用青蛙擊打你的全境。
3	尼羅河裡會滋生大群青蛙，牠們會上來，進你的宮殿、你的臥室，上你的床，進你臣僕和人民的房屋，進你的爐灶，進你的搓麵盆。
4	青蛙也會跳到你、你的人民和你所有的臣僕身上。”’”
5	耶和華對摩西說：“你要對亞倫說：‘你拿著杖把手伸向河流、水道、池塘，使青蛙上來埃及地上。’”
6	於是，亞倫把手伸向埃及的水，青蛙就上來，遮蓋埃及地。
7	那些法術師也用他們的祕術做同樣的事，使青蛙上到埃及地上。
8	法老召摩西和亞倫來，說：“你們向耶和華祈禱，求他使青蛙離開我和我的人民，我就會放這人民走，讓他們宰獻祭牲給耶和華。”
9	摩西對法老說：“你要自誇強過我，時間就由你決定吧！要我在甚麼時候為你、你的臣僕、你的人民祈禱，好從你身上和你的宮殿清除這些青蛙，叫青蛙只留在尼羅河裡？”
10	法老說：“明天之前！”摩西回答：“就照你說的，好讓你知道沒有誰可比耶和華我們的神。
11	這些青蛙會離開你、你的宮殿、你的臣僕、你的人民，只留在尼羅河裡。”
12	摩西和亞倫離開法老出來。摩西為青蛙的事向耶和華呼求，請他清除他用來對付法老的那些青蛙。
13	耶和華照著摩西的話做了。於是，在房屋、院子、田地裡的青蛙都死了。
14	人們把青蛙的屍體一堆堆地堆起來。全地都發出臭氣。
15	但是法老見災禍解除，就使自己的心剛硬，不聽從他們，正如耶和華說的。
 	虱災
16	耶和華對摩西說：“你要對亞倫說：‘伸出你的手杖，擊打地上的塵土；在埃及全地，地上的塵土就都會變成虱子。’”
17	他們就這樣做。亞倫伸出手裡的杖，擊打地上的塵土，人和牲畜身上就都有了虱子；在埃及全地，所有地上的塵土都變成了虱子。
18	法術師也用他們的祕術照樣做了，想要弄走那些虱子，卻辦不到，於是那些虱子留在人和牲畜身上。
19	法術師們就對法老說：“這是神的手指啊！”但是法老的心仍然強硬，不聽從他們，正如耶和華說的。
 	蠅災
20	耶和華對摩西說：“你要清早起來，法老到水邊去的時候你要站在他面前，對他說：‘耶和華這樣說：放我的人民走，好讓他們侍奉我！
21	如果你不放我的人民走，我很快就會打發成群的蒼蠅來，落在你、你的臣僕、你的人民身上，進入你的宮殿；埃及人的房屋必滿了蒼蠅，連他們站在上面的土地也是這樣。
22	那天我要把我人民所在的歌珊地區分出來，那裡沒有蒼蠅群，為了讓你知道我耶和華就在這地當中。
23	我要區分我的人民和你的人民。明天之前這個神蹟就會發生。’”
24	耶和華就這樣做了。密密麻麻的蒼蠅群飛進法老的宮殿和他臣僕的房屋；因為蒼蠅群的緣故，在埃及全地，大地都敗壞了。
25	法老召來摩西和亞倫，對他們說：“你們去吧，在國內宰獻祭牲給你們的神。”
26	摩西說：“這樣做不妥，因為我們向耶和華我們的神宰獻這些祭牲，是埃及人的禁忌。如果我們在埃及人眼前宰獻他們禁忌的祭牲，難道他們不會拿石頭打死我們嗎？
27	我們要在荒野走三天的路程，好讓我們宰獻祭牲給耶和華我們的神，這是他對我們說的。”
28	法老說：“我會放你們走，好讓你們在荒野宰獻祭牲給耶和華你們的神，只是你們決不可走得太遠。你們要為我祈禱！”
29	摩西說：“我馬上就會離開你出去向耶和華祈禱，好使蒼蠅群明天離開法老、法老的臣僕、法老的人民。只是法老不可再愚弄我們，不放我們這人民去宰獻祭牲給耶和華。”
30	摩西就從法老那裡出來，向耶和華祈禱。
31	耶和華照著摩西的話做了。蒼蠅群離開了法老、他的臣僕、他的人民，一隻也沒有留下。
32	可是，這一次法老還是使自己的心剛硬，不放這人民走。
第九章
 	疫災
1	耶和華對摩西說：“你進去見法老，對他說：‘耶和華希伯來人的神這樣說：“放我的人民走，好讓他們侍奉我！”
2	如果你仍然抓住他們不肯放，
3	那麼耶和華的手很快就會攻擊你田間的牲畜——馬、驢、駱駝、牛群、羊群；這將是非常嚴重的瘟疫！
4	耶和華會區分以色列人的牲畜和埃及人的牲畜，凡屬於以色列人的，一隻也不會死。’”
5	耶和華指定了日期，說：“明天，耶和華將會在這地做這件事。”
6	第二天，耶和華就做這件事。埃及人的牲畜全都死了，而以色列人的牲畜一隻都沒有死。
7	法老派人去查看，果然見以色列人的牲畜連一隻都沒有死。但是法老的心剛硬，不放這人民走。
 	瘡災
8	耶和華對摩西和亞倫說：“你們雙手抓滿爐灰，摩西要在法老眼前把爐灰撒向天空。
9	這爐灰會變成微塵，遍布埃及全地，使埃及全地的人和牲畜身上都生出會流膿的瘡。”
10	於是摩西和亞倫取了爐灰，站在法老面前；摩西把爐灰撒向天空，人和牲畜身上就生出流膿的瘡。
11	那些法術師因為生瘡而不能站在摩西面前，法術師和所有埃及人身上都生了瘡。
12	耶和華使法老的心強硬，不聽從他們，正如耶和華對摩西說的。
 	雹災
13	耶和華對摩西說：“你要清早起來，站在法老面前，對他說：‘耶和華希伯來人的神這樣說：“放我的人民走，好讓他們侍奉我！
14	因為這一次我要使我一切的攻擊臨到你的心，也臨到你的臣僕和你的人民身上，為了叫你知道在全地上沒有誰比得上我。
15	我要是出手用瘟疫攻擊你和你的人民，你早就從地上消失了。
16	然而，我讓你存活，無非是要讓你看見我的大能，並且使我的名傳遍全地。
17	可是你仍然高傲地對待我的人民，不放他們走。
18	等著瞧吧！明天這個時候，我就會使非常厲害的冰雹傾瀉如雨，是埃及從建國之日到現在都沒有過的。
19	所以，你現在要派人去，把你的牲畜和田野裡所有屬於你的，都帶到安全的地方；任何人或牲畜留在田野裡而不帶進房子，就會被冰雹打著，一定會死！”’”
20	法老的臣僕之中懼怕耶和華這話的，就叫他們的僕人和牲畜躲進房子；
21	而那些不把耶和華的話放在心上的人，就讓他們的僕人和牲畜留在田野。
22	耶和華對摩西說：“向天伸出你的手，使冰雹落在埃及全地，落在人和牲畜身上，落在埃及地所有田野的草穀豆蔬上。”
23	摩西向天伸出他的手杖，耶和華就放出雷霆和冰雹，還有雷火落在地上。耶和華使冰雹傾瀉如雨，落在埃及地。
24	那時有冰雹，又有雷火夾著冰雹不斷閃耀；這場冰雹非常厲害，是埃及全地立國以來未曾有過的。
25	在埃及全地，冰雹擊打了田野裡的所有人和牲畜；田野的所有草穀豆蔬，冰雹也擊打了，冰雹還摧殘了田野的所有樹木。
26	唯獨在以色列人居住的歌珊地，沒有冰雹。
27	於是，法老派人召來摩西和亞倫，對他們說：“這次是我犯罪了；耶和華是公義的，而我和我的人民都有過錯。
28	請你們向耶和華祈禱——神的雷霆和冰雹實在太多了！我會放你們走，你們別再留在這裡！”
29	摩西對他說：“我一出城，就會向耶和華伸出雙手禱告，雷霆就會止住，也不會再有冰雹，好使你知道這地是屬於耶和華的。
30	至於你和你的臣僕，我知道你們在耶和華神的面前還是毫不敬畏。”
31	那時，亞麻和大麥都被打壞了，因為大麥已經吐穗，亞麻也有了花蕾。
32	不過小麥和粗麥因為較遲才會長成，所以沒被打壞。
33	摩西離開法老，出了城，就向耶和華伸出雙手禱告，雷霆和冰雹就止住，大雨也不再傾瀉在地上。
34	法老看見大雨、冰雹、雷霆都止住了，就再次犯罪，他和他的臣僕又使自己的心剛硬。
35	法老的心強硬，不放以色列人走，正如耶和華藉著摩西所說的那樣。
第十章
 	蝗災
1	耶和華對摩西說：“你進去見法老，因為我已經使他的心和他臣僕的心剛硬，為要在他們當中施行我的這些神蹟；
2	也為了要你告訴你的兒孫我怎樣嚴厲地對付埃及人，以及我在他們當中施行的神蹟，使你們知道我是耶和華。”
3	摩西和亞倫進去見法老，對他說：“耶和華希伯來人的神這樣說：‘你拒絕在我面前屈服，要到甚麼時候呢？放我的人民走，好讓他們侍奉我！
4	如果你拒絕放我的人民走，明天我就一定使蝗蟲進入你的境內！
5	牠們會遮蓋地面，以至於人不能看見地面。蝗蟲會吃掉那些沒有被冰雹打壞而留下給你們的東西，也會吃掉田野裡為你們生長的所有樹木。
6	蝗蟲會遍滿你的宮殿、你所有臣僕的房屋、所有埃及人的房屋。這是自你列祖列宗住在這地以來，直到今天，從來沒有見過的！’”然後，摩西轉身出去，離開法老。
7	法老的臣僕對法老說：“這個人使我們陷入羅網，要到甚麼時候呢？放這些人走，讓他們侍奉耶和華他們的神吧。埃及已經毀了，你還不知道嗎？”
8	於是，摩西和亞倫又被召回法老那裡。法老對他們說：“去吧，去侍奉耶和華你們的神！要去的是哪些人？”
9	摩西說：“我們年少年老的都一起去，兒子女兒、羊群牛群都一起去，因為我們要守耶和華的節期。”
10	法老對他們說：“我豈會把你們連同孩子放走？除非耶和華與你們同在！你們真是心懷不軌啊！
11	不行！只有你們男人可以走！可以去侍奉耶和華；這是你們要求的。”於是，法老命人把他們從他面前趕出去。
12	耶和華對摩西說：“向埃及地伸出你的手，使蝗蟲到埃及地上來，吃光這個國家所有的草穀豆蔬，就是冰雹留下的一切。”
13	摩西就向埃及地伸出手杖，耶和華驅使東風在那地上颳，整整一天一夜。到了早晨，東風把蝗蟲吹來了。
14	蝗蟲上到埃及全地，落在埃及全境，密密麻麻，從前不曾有這樣的蝗災，以後也不會再有。
