第一章
 	何西阿受命娶妻生子
14	然而，我卻不會因為你們的女兒行淫，以及你們的兒媳通姦，而懲罰她們；因為你們的男人離群與娼妓在一起，又與廟妓一同獻祭，如此無知的子民將會滅亡。”
 	再次譴責以色列的荒淫
15	“以色列啊，即使你放縱行淫，願猶大不會承擔罪責。你們不要到吉甲去，不要前往伯亞文，也不要指著永活的耶和華起誓。
16	以色列倔強，好像倔強的母牛，現在耶和華牧放他們，好像牧放羔羊在寬闊之地。
17	以法蓮與眾偶像結盟，任憑他吧！
18	他們喝完酒，就縱情荒淫，他們的君王極愛羞恥的事。
19	風把他們裹在翅膀裡，他們要因所獻上的祭蒙受羞辱。”
第五章
 	以色列全國都要受審判
1	“祭司們啊，要聽這話！以色列家啊，要留心聽！王的家啊，要張開耳朵！因為，這是關於你們的審判。你們曾是米斯巴地的陷阱，曾是塔泊山上張開的羅網。
2	這些叛逆的人肆意屠殺，我要懲治他們所有的人。
3	我認識以法蓮，以色列不能逃過我的視線；以法蓮啊，現在你竟行淫，以色列竟玷污了自己！
4	“他們的所作所為使他們不能回歸自己的神；因為淫蕩的靈就在他們當中，他們不認識耶和華。
5	以色列的驕傲當面指證自己，以色列和以法蓮將因自己的罪衰敗，猶大也與他們一同跌倒。
6	即便他們帶著牛群羊群去尋求耶和華，也尋不見；因為他已退去，離開他們。
7	他們背叛耶和華，生下外族人的孩子。現在新月要吞滅他們和他們的產業。
8	“你們要在基比亞吹角，在拉瑪鳴號，在伯亞文大聲喊叫：‘便雅憫啊，敵人就在你背後！’
9	在責罰的日子，以法蓮的下場使人驚恐。在以色列各支派中，我已宣告這事一定會發生。
10	猶大的領袖，就像向鄰人那邊推移地界的人，我要把我的憤怒如水傾瀉在他們身上。
11	以法蓮被欺凌，被自己的審判壓碎；因為他們甘心聽命於人。
12	因此，我要像蛀蟲侵蝕以法蓮，像腐爛侵蝕猶大。
13	以法蓮看到自己的病，猶大家看到自己的瘡。以法蓮就往亞述去，派人去見亞述的大王；他卻不能醫治你們，也不能使你們的傷口愈合。
14	因為對以法蓮，我會像獅子；對猶大，我會像少壯獅子。我，就是我自己，會撕裂他們，然後離去；我會把他們帶走，沒有人能搭救。
15	我會離開，回到自己的地方去；直到他們承認自己的罪過，尋求我的面。在困境中，他們將懇切尋求我。”
第六章
 	勸人民誠心歸向神
1	“來吧，讓我們歸向耶和華！因為他撕裂我們，也會醫治我們；他擊打我們，也會包紮我們。
2	兩天以後，他要使我們復原；到第三天，他會使我們興起，讓我們可以在他的面前活著。
3	我們要認識，要竭力追求認識耶和華。他會像晨光出現；像雨水一樣臨到我們，像晚冬的雨一樣澆灌大地。”
 	指摘人民虛偽的行為
4	“以法蓮啊，我該怎樣對你呢？猶大啊，我該怎樣待你呢？你們的忠誠之愛如同早上的雲霧，又像易逝的朝露。
5	因此，我要藉著眾先知砍下他們，用我口中的話殺戮他們；我的審判如光輝發出！
6	因為，我喜愛的是忠誠之愛，而不是祭物；喜愛你們認識神，勝過燔祭。
7	“可是，他們在亞當城違背盟約；在那裡，他們竟然背叛我！
8	基列是作惡之人的城，其中布滿了血跡。
9	祭司在往示劍的路上謀害人，像一窩強盜埋伏，他們做了醜惡的事。
10	在以色列家，我看見可怕的事。在那裡，以法蓮有淫行，以色列被玷污。
11	同樣，猶大啊，當我復興我子民的時候，也會有為你定下的一場收割。”
第七章
 	指摘他們作惡多端
1	“我醫治以色列的時候，以法蓮的罪行就會顯露出來，撒瑪利亞的罪惡也會暴露；要知道，他們弄虛作假，盜賊入屋偷竊，匪徒在外搶劫。
2	他們心裡並未想到，我記得他們所有的罪惡。他們的所作所為，一直圍繞著他們，這些惡行都活現在我眼前。
3	“他們以罪惡取悅君王，以虛謊討領袖歡心。
4	他們全都通姦，就像燒熱的烤爐，從揉麵到全團發起來，烤餅師才暫停使火發旺。
5	在我們王喜慶的日子，領袖們因烈酒而病倒，王就與褻慢之人聯手。
6	當他們蠢蠢欲動的時候，他們的心像烤爐一樣早已準備就緒。他們整夜悶燒著怒氣，早晨起來，爐子就像火焰一樣燃燒。
7	所有的人都熾熱如火爐，吞噬他們的審判官。他們的君王都倒下，可是他們中間沒有一人向我呼求。
 	指摘他們信靠外族人
8	“以法蓮與外族人混雜，以法蓮是沒有翻過的餅。
9	外族人耗盡他的力量，他卻不知道；連自己頭上長滿白髮，他也不曉得。
10	以色列的驕傲會當面指證自己，儘管這樣，他們仍不回歸耶和華他們的神，仍不尋求他。
11	以法蓮好像鴿子愚昧無心思。他們呼求埃及，投奔亞述。
12	就在他們去的時候，我要把我的網撒在他們身上；我要把他們抓下來，如同抓下天空的飛鳥。我要按著他們會眾所聽見的宣告懲罰他們。
13	他們有禍了，因為他們離棄我！他們遭毀滅，因為他們背叛我。我要救他們，他們卻對我說謊。
14	“他們雖在床上哀嚎，卻不是真心呼求我。他們為求穀物和新酒而割傷自己，他們背叛我。
15	我鍛煉他們，使他們的手臂有力，他們卻圖謀惡計反對我。
16	他們回轉，卻不是歸向神。他們像鬆垮的弓弦。他們的領袖要因自己舌頭的狂傲而喪身刀下；這樣，他們將成為埃及地之人的笑柄。”
第八章
 	指摘他們背約棄善
1	“吹起號角吧！敵人如鷹一般攻擊耶和華的家；因為這民違背我的約，觸犯我的律法。
2	他們向我哀求：‘我的神啊，我們以色列認識你。’
3	然而，以色列棄絕了良善，所以仇敵將追趕他。”
 	指摘他們拜偶像
4	“他們立君王，卻不是出於我；他們立首領，卻沒有經過我的同意。他們用金銀為自己造偶像，以致他們被剪除。
5	撒瑪利亞啊，你的牛像已被棄絕！我要向撒瑪利亞人發怒，他們玷污要到幾時呢？
6	因為這牛像是出自以色列，是工匠所做，並不是神，撒瑪利亞的牛像將成為碎塊。
7	他們種的是風，所收的是暴風；莊稼不長穗，不能出產麵粉；即使做成麵粉，也被外族吞吃。
8	以色列被吞吃。如今在列國中，就像沒有人想要的東西。
9	他們投奔亞述，就像獨行的野驢，以法蓮賄買許多情人。
10	是的，他們賄買列國，我現在卻招聚他們。他們因君王和領袖所加的重擔，就逐漸衰微。
11	“以法蓮增添祭壇用來犯罪，這些成為他們用來犯罪的祭壇！
12	我雖然為他們寫了律法萬條，他們卻以為與自己毫無關係。
13	他們宰獻祭牲給我，他們獻肉為祭，又拿來吃；耶和華不悅納他們。現在，他要記住他們的罪行，追討他們的罪惡；他們要返回埃及。
14	以色列忘記造他的主，建造宮殿；猶大也增添許多堅固城，我卻要降火在他的城市，吞噬他的城堡。”
第九章
 	離棄神的子民必遭懲罰
1	以色列啊，不要像外族人那樣歡樂。因為你行淫，離棄你的神，在各碾禾場上喜愛賣淫的酬金。
2	碾禾場和榨酒池不能餵養他們，新酒也使他們失望。
3	他們不得住在耶和華之地；以法蓮要回到埃及去，在亞述地吃不潔之物。
4	他們將不得向耶和華澆獻酒，他們的祭物也不能使他喜悅。他們的餅好像喪家的餅，凡吃這餅的人，都會被玷污；因為他們的餅只能自己吃，不准帶進耶和華的殿。
5	在規定集會的日子，在耶和華的節期，你們又能做甚麼？
6	即使他們從毀滅中逃去，埃及也會捕獲他們，孟斐斯要埋葬他們。他們珍貴的銀器要為蕁麻佔有，他們的帳篷會長滿蒺藜。
7	以色列應當知道：懲罰的日子到了！報應的日子到了！因你眾多的罪惡和極深的仇恨，先知被視為愚昧，受靈感動的人被當作瘋子；
8	先知與我的神一起作以法蓮的守望者，他所行的每一條路上卻都有捕鳥人的羅網；他在神的家中遭人憎恨。
9	以法蓮嚴重地敗壞了，如同在基比亞的日子一般。神一定會記得他們的罪行，懲罰他們的罪惡。
 	以色列犯罪及其惡果
10	“當我找到以色列，他好像荒野裡的葡萄；當我看見你們的列祖，他們好像首批無花果；他們卻來到巴力琵珥，獻上自己作羞恥的事，成為可憎之物，像他們的情人一樣。
11	以法蓮的尊榮將如鳥兒飛逝；沒有生育，沒有懷胎，沒有成孕。
12	即或他們要撫育兒女，我也要使他們喪子，一個不留。當我離棄他們的時候，他們就有禍了。”
13	在我看來，以法蓮就像推羅，被栽種在美好之地；以法蓮卻把自己的兒女帶出來，交給殺戮的人。
14	耶和華啊，求你加給他們——加給他們甚麼呢？求你使他們的子宮流產，乳房乾竭。
15	“他們所有的罪惡都在吉甲，我在那裡恨惡他們。因他們的惡行，我要把他們趕出我的家；我不再愛他們，他們的領袖全都是叛徒。
16	以法蓮被擊垮，他們的根枯萎，不能再結果子。即使他們生產，我也會殺死他們所珍愛的兒女。”
17	我的神將棄絕他們，因為他們沒有聽從他；他們要在列國中飄流。
第十章
 	斥責以色列拜偶像
1	以色列是茂盛的葡萄樹，果實纍纍。他結的果子越多，他就越增添祭壇；他的土地越肥美，那些神碑就越華麗。
2	他們心懷詭詐，現在要承擔這罪的懲罰。耶和華要拆毀他們那些祭壇，毀壞他們那些神碑。
3	現在他們會說：“我們沒有君王，因為我們不敬畏耶和華。可是君王，他又能為我們做甚麼呢？”
4	他們講很多空話，起假誓，又立盟約；於是審判像毒草一般在田間犁溝中生長起來。
5	撒瑪利亞的居民因伯亞文的牛像感到害怕。拜牛像的人民為它哀號，拜牛像的祭司因它戰兢；因為它的榮光不復存在。
6	人要把牛像帶到亞述去，作為獻給大王的貢物。以法蓮自取其辱，以色列因自己的計謀感到羞愧。
7	至於撒瑪利亞，她的君王必被剪除；就像折斷的枯枝浮在水面上一樣。
8	亞文的丘壇變得無用，以色列的罪惡將被剷除；荊棘和蒺藜必長在他們的祭壇上。那時人要對大山說：“遮蓋我們吧！”對小山說：“倒在我們身上吧！”
 	耶和華對耕種邪惡者的審判
9	以色列啊，自從在基比亞的日子以來，你就時常犯罪。在那裡他們執迷不悟，以為戰禍不會臨到基比亞的狂傲之徒。
10	當我願意，我就要懲罰他們；當他們被雙重罪惡所捆綁，列國就要集結起來攻擊他們。
11	以法蓮是馴服的母牛，喜愛碾禾，我卻要把軛架在牠肥美的頸項上，我要使以法蓮犁地，猶大要耕田，雅各要耙地。
12	你們要為自己播種公義，就能收割忠誠之愛；你們要為自己開墾荒地——這正是尋求耶和華的時候，等到他來，公義就要沛然臨到你們身上。
13	你們卻耕種邪惡，收割不義，吃下謊言的果子；因為你倚靠自己的能力，又仗著自己眾多的勇士。
14	因此，在你的眾民中將發生騷亂，你所有的城堡都要被摧毀，就像沙勒幔在爭戰的日子毀壞伯亞比勒一樣，母親與她的兒女們都被砸得粉碎。
15	伯特利啊，因你們惡貫滿盈，我也會這樣待你們。黎明時分，以色列王要被徹底除滅。
第十一章
 	以色列忘恩負義
1	“以色列年幼的時候，我就愛他。我召喚我的兒子從埃及出來。
2	我越發召喚他們，他們就越發走開；他們給眾巴力宰獻祭牲，向雕刻的偶像燒獻祭物。
3	其實，是我教導以法蓮學步，我用兩臂懷抱他們，他們卻不知道是我醫治了他們。
4	我用慈繩愛索牽引他們，又拿走在他們兩顎之上的牛軛，俯身下去給他們餵食。”
 	叛逆子民將受重罰
5	“他們不會返回埃及地，亞述要做他們的王；因為他們不肯歸向我。
6	刀劍要在他的城中飛舞，毀滅門閂，又因他們自己的惡謀而吞滅他們。
7	我的子民決意叛離我，雖然他們呼求至高者，他卻不會再高舉他們。
 	神再施憐憫
8	“以法蓮啊，我怎能捨棄你！以色列啊，我怎能把你交出去！我怎能使你像押瑪，我怎能待你像瑟博呢！我的心在我裡面翻騰，我的憐憫全被點燃起來。
9	我不會讓我的烈怒發作，也不會再毀滅以法蓮；因為我是神，不是世人；我是你們中間的至聖者，不會在憤怒中臨到你們。
10	“耶和華要像獅子吼叫；他的兒女會跟隨他；因為他一吼叫，他們就從西方戰戰兢兢而來。
11	他們要戰戰兢兢而來，就像鳥兒飛離埃及；又像鴿子離開亞述地。我要使他們住在自己的房子裡。”耶和華這樣宣告。
12	“以法蓮用謊言環繞我，以色列家用詭詐包圍我；猶大卻依然與神同遊，對至聖者忠心。”
第十二章
 	斥責雅各和猶大的罪
1	“以法蓮以風為食，他整天追逐東風，增添虛謊和殘暴。他們與亞述結盟，又將油運到埃及。”
2	耶和華要指控猶大，耶和華要照雅各的行徑懲罰他，按他的所作所為報應他。
3	他在母腹中抓住哥哥的腳跟，壯年時又與神搏鬥。
4	他與天使搏鬥，而且贏了，就哭著向天使求恩。他在伯特利遇見神，神在那裡對他說話。
5	耶和華萬軍之神，耶和華是他的名號。
6	所以你要回轉歸向你的神，堅持忠誠之愛和公義，持久等候你的神。
 	斥責以法蓮的罪行
7	“商人手裡拿著詭詐的天平，喜愛敲詐勒索人。
8	以法蓮說：‘我真的富起來了，我獲得許多財寶；在我所有的收益中，沒有人能找出我有甚麼不義，可定為有罪。’
9	從你出埃及地以來，我就是耶和華你的神；我會再次使你住在帳篷裡，像在節期的時候一樣。
10	“我曾對先知們說話，為他們加添許多異象；我也藉著先知們說比喻。
11	基列仍有罪惡，他們一定滅亡。他們在吉甲獻公牛為祭嗎？他們的祭壇也會像田間犁溝的石堆。”
12	從前，雅各逃到亞蘭地，以色列為娶妻而做工，為得配偶而放牧。
13	後來，耶和華藉著一位先知，把以色列從埃及領上來，也藉著這先知，以色列得蒙看顧；
14	以法蓮卻狠狠地激怒主，因此他要背負殺人流血的罪，主會把他當受的羞辱歸給他。
第十三章
 	以法蓮因拜偶像而榮華盡失
1	從前，以法蓮說話，人都戰兢，因他在以色列居高位；後來，他因侍奉巴力犯罪，自取滅亡。
2	如今，他們犯下的罪行越來越多，用自己的銀子做銀像，用自己的技巧做偶像；這一切都是工匠的手工。他們論到這些說：“獻祭的人要親吻牛像。”
3	因此，他們必像早晨的雲霧，又像易逝的朝露，又如同碾禾場上的糠秕被旋風吹去，又如煙氣從煙囪上騰消失。
 	以法蓮心高氣傲忘記神
4	“其實，從你出埃及地時，我就是耶和華你的神。除我以外，你不可承認別的神；除我以外，沒有別的拯救者。
5	我早在荒野，在乾旱之地，就看顧你。
6	當他們得了餵養，他們得到飽足，竟然心高氣傲，忘記了我；
7	所以我要像獅子臨到他們，又像豹子埋伏在路旁。
8	我要像失掉幼熊的母熊那樣襲擊他們，撕裂他們的心窩；在那裡我要像母獅吞吃他們；像野獸把他們撕得粉碎。”
 	以法蓮和撒瑪利亞將受重罰
9	“以色列啊，我要毀滅你，誰能幫助你呢？
10	現在，你的王在哪裡呢？在你所有的城中，讓他來拯救你吧！你的領袖在哪裡呢？你曾為他們請求說：‘把王和領袖賜給我！’
11	我在憤怒中把王賜給你，又在烈怒中把他廢去。
12	“以法蓮的罪行已被記錄封存，他的罪惡已被收藏入庫。
13	生產的疼痛要臨到他身上，他就是那個沒有智慧的人，因為產期到了，他還遲延不從產道出來。
14	我要救贖他們脫離陰間的權勢嗎？救贖他們脫離死亡嗎？死亡啊，你的災害在哪裡？陰間啊，你的毀滅在哪裡？憐憫要從我眼前隱藏起來。
15	“即使他在蘆葦中茂盛，東風也將會來到，耶和華的風要從荒野上來，他的水泉就乾涸，他的泉源就枯乾。他所儲藏的所有珍貴物品，都被仇敵掠奪去了。
16	撒瑪利亞要承擔罪的懲罰，因為他背叛了他的神。他們要喪身刀下。他們的嬰孩會被摔死，他們的孕婦將被剖腹。”
第十四章
 	勸以色列回轉歸向神
1	以色列啊，回轉吧！回到耶和華你的神那裡，你是因自己的罪惡跌倒了。
2	你們要回歸耶和華！要預備好言辭，對他說：“求你赦免我們所有罪惡，求你悅納我們的禱告，我們就獻上嘴唇的果子。
3	亞述不能救我們，我們不再騎戰馬，也不再對我們手所造的偶像說‘我們的神’；因為在你那裡，孤兒才能得到憐憫。”
 	神甘心樂意愛以色列
4	“我要醫治他們背道的病，甘心樂意愛他們，不再對他們發怒。
5	我對以色列要像甘露，他將要像百合花開放，如黎巴嫩的雪松扎根。
6	他的幼枝要伸展，他的榮美要像橄欖樹，他的香氣要像黎巴嫩的雪松。
7	他們將再住在他的蔭下，使穀物生長。他們要茂盛如葡萄樹，香氣如黎巴嫩的美酒。
8	以法蓮啊，我與偶像有甚麼關聯呢？我自己要回應並看顧他。我像一棵青蔥的刺柏，你的果子是從我而得。”
9	誰是有智慧的人，讓他明白這些事！誰是有見識的人，讓他領會這一切！因為耶和華的道路正直，義人要行在其中，叛逆的人卻要在其上跌倒。
