羅馬書
第一章
 	問候
17	如果你自稱猶太人，倚靠律法，誇耀自己與神的關係，
18	而且明白他的旨意，又從律法受教，能夠分辨甚麼是美好的事，
19	你又自信是盲人的嚮導、處於黑暗者的光、
20	愚昧人的導師、童蒙的教師，因為有律法而擁有知識和真理的明確標準，
21	那麼，你教導別人，難道不教導自己嗎？你宣講不可偷竊，自己卻偷竊嗎？
22	你說不可通姦，自己卻通姦嗎？你憎惡偶像，自己卻劫掠廟宇嗎？
23	你憑律法誇口，自己卻因違犯律法而羞辱神嗎？
24	正如經上所記：“因你們的緣故，神的名就在外族人當中被褻瀆！”
25	如果你遵行律法，割禮當然有益；但如果你是違犯律法的人，你受了割禮也就等於沒受割禮。
26	這樣，那沒受割禮的人如果遵守律法的公義規定，他雖然沒受割禮，不也算是受了割禮的嗎？
27	那身體本來沒受割禮，卻滿足律法要求的人，就要審判你這有律法條文，受了割禮，卻違犯律法的人。
28	要知道，做猶太人不在於那顯而易見的標記，割禮也不在於那顯而易見在肉身上的割禮；
29	相反，做猶太人是在於那隱而不見的內心，割禮也是心裡的，倚靠的是聖靈而不是律法條文。這樣的人所受的稱讚，不是來自人，而是來自神。
第三章
1	那麼，猶太人有甚麼優勢？割禮又有甚麼益處呢？
2	各方面都很多！最重要的是神的聖言已經託付給他們了。
3	即使有人背信又如何？難道他們的背信會使神的信實作廢嗎？
4	絕對不會！神必然真實，哪怕人皆虛詐，正如經上所記：“這樣，你宣判的時候顯為公義；審判的時候必然得勝。”
5	但是，如果我們的不義顯明神的義，我們要怎麼說呢？難道降怒的神是不義的嗎？——我是照人的見解這樣講的。
6	絕對不是！如果是這樣，神怎能審判世界呢？
7	又有人說：“如果神的真實因我的虛詐而更加豐盛，結果他得到榮耀，為甚麼我還要像罪人一樣受審判呢？”
8	為甚麼不說：“我們去作惡以成善吧！”有人誹謗我們，說我們講過這樣的話。這些人被定罪，再公道不過！
 	沒有義人
9	那又怎麼樣呢？我們比他們強嗎？完全不是。因為我們早已提出指控，無論是猶太人或是希臘人，所有人都在罪惡之下，
10	正如經上所記：“沒有義人，連一個也沒有，
11	沒有明智的人，沒有尋求神的人；
12	人人都背離了神，一同變成廢物；沒有人行善，連一個也不夠。
13	他們的喉嚨是敞開的墳墓，他們用舌頭播弄詭詐，他們嘴裡有毒蛇的毒液，
14	滿口詛咒和惡毒；
15	他們的腳急於使人流血喪命，
16	在經過的路上留下毀滅和慘禍；
17	和平的道路，他們從不認識。
18	他們目中毫無對神的敬畏。”
19	我們知道，無論律法說甚麼，都是對律法之下的人說的，使每一張嘴都為之語塞，使全世界的人都要受到神的制裁，
20	因為在神面前，沒有一個人能夠因為遵行律法得稱為義；事實上，藉著律法，人就認識罪。
 	因信基督而蒙恩稱義
21	但如今，神的義已經在律法之外顯明出來，有律法和先知為證，
22	那就是：神的義，藉著人相信耶穌基督，就臨到所有信的人，毫無區別，
23	因為人人都犯了罪，虧缺著神的榮耀，
24	但是靠著神的恩典，藉著在基督耶穌裡的救贖，就蒙贈予稱義。
25	神以耶穌為施恩座展示出來，是憑著耶穌的血，藉著人的信，為要顯明神自己的義，因為神用忍耐的心寬容了人從前所犯的罪，
26	為要在現今這時候顯明他的義，表明他自己為義，又稱信耶穌的人為義。
27	那麼，還有甚麼可誇的呢？完全沒有。根據甚麼原則這樣說呢？根據行為的原則嗎？不，是根據信心的原則。
28	這是因為我們認定，人稱義是憑著信，與遵行律法無關。
29	難道神只是猶太人的神嗎？不也是外族人的神嗎？是的，他也是外族人的神！
30	既然神只有一位，他就要讓受了割禮的人因信稱義，也要讓沒受割禮的人藉著信稱義。
31	那麼，我們是藉著信使律法作廢嗎？絕對不是！相反，我們是維護律法。
第四章
 	亞伯拉罕因信稱義
1	那麼，談到我們肉身上的祖先亞伯拉罕所發現的，我們要怎麼說呢？
2	如果亞伯拉罕是因行為稱義，他就有可誇之處；可是，在神面前，他並無可誇之處。
3	經上是怎麼說的呢？“亞伯拉罕信神，這就算為他的義。”
4	做工的人，報酬不是按恩典計算給他，而是按必須付的計算給他。
5	但是不做工的人，只因信那位稱不敬虔者為義的神，他的信就算為義了。
6	正如大衛也宣稱一個人不靠行為蒙神算為義是有福的，他說：
7	“過犯得蒙赦免，罪惡得到寬恕的人，真是有福！
8	主不算他為有罪，這人真是有福！”
9	這樣看來，稱為有福的是指已受割禮之人，還是也包括未受割禮之人呢？這是因為我們說：“亞伯拉罕的信算為他的義。”
10	那麼是怎樣算的呢？是以他已受割禮之身，還是以他未受割禮之身呢？不是以已受割禮之身，而是以未受割禮之身。
11	他以未受割禮之身因信稱義，就領受了割禮為記號，作為這義的印證；這樣，一切未受割禮而相信的人，就有亞伯拉罕作為他們的父，使他們也算為義；
12	他也是已受割禮之人的父，這是指那些不僅受割禮，而且跟隨他信心的腳蹤而行的人，這信心是我們祖先亞伯拉罕未受割禮時就已經有的。
 	神必能成就祂的應許
13	事實上，亞伯拉罕和他後裔得到承受世界的應許，並不是藉著律法，而是藉著因信而來的義。
14	如果以律法為本的才是承受產業的人，信就失去作用，應許也就作廢了，
15	因為律法帶來憤怒；哪裡沒有律法，哪裡就沒有違犯律法的罪。
16	所以，這應許是本於信，為要按神的恩典，使這應許對所有的後裔有效——不單對以律法為本的後裔，也對以亞伯拉罕的信為本的後裔。亞伯拉罕在他所信的神面前是我們眾人的父，正如經上所記：“我已經立你為多國的父。”他所信的神，賜生命給死人，又召喚還未存在的，如同已經存在的。
17  見上節
18	他自己雖然無可盼望，卻仍然因為對神有盼望而相信，因此就成為多國的父，正如神所說：“你的後裔將要這樣。”
19	雖然亞伯拉罕深知自己年近百歲，身體已經與死無異，莎拉又喪失了生育機能，但是他的信心卻沒有變得軟弱，
20	他也沒有因為不信而懷疑神的應許，反而堅信不移，把榮耀歸給神，
21	滿心相信神無論應許了甚麼都必能成就。
22	因此，這就算為他的義。
23	其實“算為他的義”這句話，不是單為他寫的，
24	也是為我們寫的，我們將要算為義，是因為相信那位使我們主耶穌從死人中復活的神。
25	耶穌被交去受死，是為了我們的過犯；他復活，是為了使我們稱義。
第五章
 	因信稱義所帶來的福氣
1	所以，我們既然因信稱義，就藉著我們的主耶穌基督，得以與神和睦相處；
2	我們也藉著他，因信得以進入我們現在享有的這恩典，並且因為盼望得享神的榮耀而歡呼自豪。
3	不但如此，我們也在患難中歡呼自豪，因為知道患難產生堅忍，
4	堅忍產生經得起考驗的品格，經得起考驗的品格產生盼望；
5	這盼望不會令我們蒙羞，因為神的愛，藉著他賜給我們的聖靈，已經傾注在我們心裡。
6	當我們還軟弱的時候，基督就按所定的時候，為不敬虔的人死了。
7	事實上，很難會有人願意為義人死；為了好人，或許還有人有勇氣去死；
8	但是，當我們還是罪人的時候，基督就為我們死，神就表明他自己對我們的愛了。
9	所以，我們現在既然因他的血稱義，將來就更要藉著他得救，免於神的震怒，
10	因為當我們還是神仇敵的時候，尚且藉著神兒子的死得以與神和好，既已和好，就更要因神兒子的生命得救了！
11	不但這樣，藉著我們的主耶穌基督，我們更可以因為神而歡呼自豪。藉著他，我們現在已得以與神和好。
 	亞當與基督的比較
12	因此，正如罪藉著一個人進入了世界，死又是藉著罪來的，於是死就這樣臨到了所有人，因為所有人都犯了罪——
13	事實上，在律法頒布以前，罪已經在世界上了；不過，沒有律法的時候，罪就不算是罪。
14	可是，從亞當直到摩西，死卻執掌了王權，甚至連那些沒有像亞當違命那樣犯罪的人，也在死的權下；亞當預表以後要來的那一位。
15	但是，恩賜和過犯截然不同：如果因那一個人的過犯，眾人就都死了，那麼，神的恩典，還有因耶穌基督這一個人的恩典而來的恩澤，就更加豐盛地臨到了眾人。
16	這恩澤和一個人犯罪的後果也不相同——因為審判由一次過犯而來，帶來定罪；恩賜卻由許多過犯而來，帶來稱義。
17	如果因那一個人的過犯，死就藉著那一個人執掌了王權，那麼，領受豐富的恩典和稱義恩澤的人，就更要藉著耶穌基督這一個人在生命裡執掌王權了。
18	由此可見，由一次的過犯，就使所有人被定罪，照樣，由一次的義行，也就使所有人稱義而得生命；
19	由那一個人的叛逆，就使眾人變為罪人，照樣，由這一個人的順從，也就會使眾人變為義人了。
20	律法出現，為要使過犯添得越來越滿；然而，罪在哪裡添得越來越滿，恩典也就在哪裡越發豐盛了。
21	正如罪在死亡裡執掌了王權，恩典也要藉著義來執掌王權，使人藉著我們的主耶穌基督得到永生。
第六章
 	與基督同死同活
1	那麼，我們要怎麼說呢？我們可以繼續犯罪，叫恩典添得越來越滿嗎？
2	絕對不可！我們這些對罪已經死了的人，怎麼可以仍然活在罪裡呢？
3	難道你們不明白，凡是受洗歸入基督耶穌的人，都是受洗歸入他的死嗎？
4	所以，我們藉著洗禮歸入死，和他同葬，為要使我們煥然一新地行在生命中，就像基督藉著父的榮耀從死人中復活一樣。
5	我們如果已經與他死的樣式聯結，也必定會與他復活的樣式聯結。
6	我們知道，我們的舊人已經和他一同釘在十字架上，使罪身消滅，好使我們不再做罪的奴僕，
7	因為那個死了的人已經得稱為義，脫離了罪。
8	我們如果與基督同死，就相信我們也會與他同活。
9	我們知道，基督既然已從死人中復活，就不會再死，死也不再轄制他了。
10	他死，是對罪死，只此一次；他活，卻是對神活。
11	你們也要這樣看自己：對罪是死的，在基督耶穌裡對神卻是活的。
12	所以，不要讓罪在你們必死的身體上執掌王權，使你們順從身體的私慾，
13	也不要把你們身體各部分獻給罪作為行不義的武器；倒要像出死得生的人，把自己獻給神，並且把你們身體各部分獻給神作為行義的武器。
14	那麼，罪就不會轄制你們，因為你們不是在律法之下，而是在恩典之下。
 	做義的奴僕
15	那麼，我們不在律法之下，而在恩典之下，就可以犯罪嗎？絕對不可！
16	難道你們不知道嗎？你們獻身為奴去順從命令，順從誰就是誰的奴僕——或給罪做奴僕，以致死亡；或給“順從”做奴僕，因而得義。
17	感謝神！你們雖然曾經是罪的奴僕，現在卻從心裡順從了傳授給你們的教導典範。
18	你們既然脫離罪而得到了自由，就成為義的奴僕。
19	因為你們有人的局限，我就從人的角度來說明：正如你們從前把身體各部分獻給不潔和不法做奴僕，導致不法，現在也要把你們的身體各部分獻給義做奴僕，達致成聖。
20	你們從前做罪的奴僕時，有不受義約束的自由。
21	你們那時結出的究竟是甚麼果子呢？無非是現今引以為恥的事！那些事最終帶來的就是死亡。
22	但如今，你們既然已經脫離罪而得到了自由，成為神的奴僕，你們就結出果子，達致成聖，最終帶來的就是永生，
23	因為罪給人的報酬是死亡，神的恩賜卻是在我們主基督耶穌裡的永生。
第七章
 	脫離律法，歸屬基督
1	弟兄們，我現在是對懂得律法的人說，難道你們不知道，律法只在一個人活著的時候轄制他嗎？
2	要知道，有夫之婦在丈夫活著的時候，受律法約束而從屬於丈夫；但如果丈夫死了，關於丈夫的律法對她就失效了。
3	因此，丈夫還活著的時候，她如果跟了別的男人，就會被人叫做淫婦；但如果丈夫死了，她就是自由的，不受這律法約束，就算跟了別的男人，也不是淫婦。
4	這樣，我的弟兄們，你們藉著基督的身體，就律法來說也是被處死了，使你們可以歸屬另一位，就是那從死人中復活的，好讓我們為神結出果子。
5	我們從前屬肉體的時候，藉著律法而生的種種罪惡情慾在我們身體各部分發揮力量，就為死亡結出果子。
6	但如今，我們既然對從前一直控制我們的律法死了，律法對我們就失效了，使我們可以煥然一新倚靠聖靈來服侍，不用依然如故倚靠律法條文。
 	律法與罪的關係
7	那麼，我們要怎麼說呢？難道律法是罪嗎？絕對不是！不過，如果不是藉著律法，我就不知道甚麼是罪；如果不是律法說“不可貪心”，我就不知道甚麼是貪心。
8	但是，罪把握這個機會，藉著誡命使我裡面產生各樣貪心，因為罪沒有律法是死的。
9	從前沒有律法的時候，我是活的；但誡命一到，罪就活過來，
10	我就死了。我發現，那本該使人活的誡命，反而導致死亡；
11	這是因為罪把握這個機會，藉著誡命欺騙我，並且藉著誡命殺了我。
12	這樣，律法是聖潔的，誡命也是聖潔、公義、良善的。
13	那麼，是那良善的使我死嗎？絕對不是！而是罪藉著那良善的在我裡面造成死亡，為要讓罪顯出來，為要讓罪藉著誡命變得罪大之極。
14	我們知道律法是屬靈的——我卻屬肉體，已經賣身給罪了，
15	因為我所做的，我不明白；我存心要做的，我沒有去做；我恨惡的，我反而去做。
16	如果我做的不是我存心要做的，我就是同意律法是好的。
17	既然如此，這就不再是我做的，而是住在我裡面的罪做的。
18	我知道住在我裡面的，就是在我肉體之中，沒有良善，因為我雖有行善之心，卻沒有行善之能。
19	我有心去行的善，我沒有去行；我沒有存心去做的惡，我反而去做。
20	如果我做的不是我存心要做的，那就不再是我做的，而是住在我裡面的罪做的。
21	因此，我發現了這個律，就是我存心行善的時候，我可以做的卻只有惡行。
22	這就是說，我內心喜歡神的律法，
23	但我發覺自己身體各部分裡另有一個律，攻打我在心智上服從的律法，把我俘虜去服從自己身體各部分裡犯罪的律。
24	我這個人好慘啊！會有誰來救我脫離這必死的身體呢？
25	感謝神——藉著我們的主耶穌基督！由此可見，一方面，我自己在心智上服侍神的律法；另一方面，我的肉體卻服侍犯罪的律。
第八章
 	聖靈使人得自由，脫離罪的律
1	因此，在基督耶穌裡的人現在斷無定罪這回事，
2	因為賜生命之聖靈的律，在基督耶穌裡使你自由，脫離了使人犯罪和死亡的律。
3	要知道，律法經由肉體變得軟弱，以致無能為力，神就差遣自己的兒子，取了有罪肉體的樣式，成為贖罪祭，在肉體裡把罪定了罪，
4	為要使律法的公義規定，得以成全在我們這些不隨從肉體，而隨從聖靈去行的人身上。
5	要知道，隨從肉體的人關注肉體的事，隨從聖靈的人關注聖靈的事。
6	關注肉體就是死，關注聖靈就是生命和平安。
7	這是因為，關注肉體就是仇恨神，因為肉體並不服從神的律法，其實也不能服從；
8	屬肉體的人無法得到神的喜悅。
9	但你們——如果神的靈的確住在你們裡面——你們就不屬肉體，而屬聖靈了。如果任何人沒有基督的靈，這個人就不屬於基督。
10	如果基督在你們裡面，你們的身體雖然因為罪的緣故是死的，聖靈卻因為義的緣故賜給你們生命。
11	神使耶穌從死人中復活，如果他的靈住在你們裡面，那麼使基督從死人中復活的神，也要藉著他那住在你們裡面的聖靈，使你們必死的身體活過來。
12	弟兄們，由此可見，我們並不是欠肉體的債，要隨從肉體而活，
13	因為你們如果隨從肉體而活，就必定死；但是，如果靠著聖靈治死身體的惡行，就會活著。
 	聖靈使我們得兒子的名分
14	要知道，所有蒙神的靈引導的人，都是神的兒子。
15	你們領受的聖靈，並不使人成為奴隸而再有懼怕；相反，你們領受的聖靈，使人得到兒子的名分，靠著他，我們呼叫：“阿爸，父啊！”
16	聖靈親自向我們的靈證實我們是神的兒女。
17	如果是兒女，就是承受產業的人——是承受神產業的人，也就是和基督一起作為承受產業的人——只要我們和基督一起受苦；神的目的是要我們也和基督一起得榮耀。
 	耐心期待將來的榮耀
18	其實，我認為現今這時候的苦難，跟將要向我們顯現的榮耀，是無法相比的。
19	受造之物熱切期待，熱切等候神的眾子顯現出來。
20-21	這是因為受造之物受制於虛空（並不是心甘情願，而是由於使之受制的神），盼望連受造之物自己也會從朽壞奴役裡得到釋放，進入自由，得享神兒女的榮耀。
22	我們知道，所有受造之物至今都在一起呻吟，一起忍受臨產的陣痛。
23	不但如此，連我們自己，因為已經有聖靈作為最初的禮物，就連我們自己也在自己心裡呻吟，熱切期待得到兒子的名分，就是我們的身體得到救贖。
24	我們得救時就存著這盼望，然而看得見的盼望就不是盼望了——誰還會盼望自己看見的事呢？
25	但是，我們如果盼望沒有看見的，就會堅忍不拔，熱切期待。
26	照樣，聖靈也在我們的軟弱上幫助我們。我們不知道應該為甚麼事情禱告，但聖靈親自用無言的呻吟為我們祈求。
27	那鑒察人心的，明白聖靈的心意，因為聖靈照著神的旨意為聖徒祈求。
28	我們知道，愛神的人，就是按他永恆計劃蒙召的人，神在一切事情上都幫助他們，使他們得益處。
29	這是因為，那些神預先選定的人，他預先命定他們和他兒子的形象相似，使他兒子在許多弟兄中做長子；
30	所預先命定的人，他又呼召他們；所呼召的人，他又稱他們為義；所稱為義的人，他又使他們得榮耀。
 	靠著愛我們的主就得勝有餘
31	那麼，對於這些事，我們要怎麼說呢？如果神是為我們好，誰能對我們不利？
32	他連自己的兒子都不顧惜，竟然還為我們所有人把他交去受死，又怎不會把一切連同他一起施恩賜給我們呢？
33	誰能控告神揀選的人？有神稱義，
34	又有誰能定罪？有基督耶穌死了，更復活了，他如今在神的右邊，並且為我們祈求，
35	又有誰能使我們與基督的愛分離？是患難嗎？是困苦嗎？是迫害嗎？是飢餓嗎？是衣不蔽體嗎？是危險嗎？是刀劍嗎？
36	正如經上所記：“為你的緣故，我們終日被殺，被視為待宰的羊。”
37	不！靠著愛我們的那一位，我們在這一切事上都得勝有餘，
38	因為我深信：無論是死、是生、是天使、是首領、是現在的事物、是將來的事物、是能者、
39	是高天、是深淵，還是任何別的受造之物，都不能使我們與神的愛分離，這愛就在我們的主基督耶穌裡。
第九章
 	神對以色列人的揀選
1	我在基督裡說真話，絕無虛言，我的良心也在聖靈裡為我作證——
2	我要說的是：我萬分痛苦，心裡悲傷不絕。
3	為我的同胞，就是我骨肉之親，恨不得神讓我自己成為受詛咒的祭物，滅絕於基督之外！
4	他們是以色列人，擁有：兒子的名分、榮耀、聖約、律法的典章、侍奉、應許；
5	列祖也是他們的；按肉身來說，基督也出自他們——他是在萬有之上、配受稱頌的神，直到永遠！阿們。
6	這絕不是說神的話落空了！要知道，不是所有出自以色列的都是以色列人，
7	也不是所有兒女都是亞伯拉罕的後裔，只有“以撒生的，才可以稱為你的後裔”。
8	這就是說，肉身生的兒女並不是神的兒女，只有憑著應許生的兒女才算是後裔，
9	因為所應許的話是這樣的：“明年這個時候我會來，那時莎拉會有一個兒子。”
10	不但如此，利百加也是這樣：她從我們祖先以撒一個人就懷了兩個兒子。
11-12	他們還沒有出生，還沒有做任何善事惡事，神就對利百加說：“大的將服侍小的。”這是為要確立神的永恆計劃，這計劃是按揀選的原則，不是基於人的行為，而是基於呼召人的神。
13	正如經上所記：“雅各是我所愛的，以掃卻是我厭惡的。”
14	那麼，我們要怎麼說呢？難道神不公平嗎？絕對不是！
15	因為他對摩西說：“我要憐憫誰，就憐憫誰；要體恤誰，就體恤誰。”
16	由此可見，這不在於那立意的人，也不在於那奔波的人，而在於那施憐憫的神，
17	因為經上有話對法老說：“我使你興起，無非是要用你來顯出我的大能，並且使我的名傳遍全地。”
18	由此可見，神想要憐憫誰就憐憫誰，想要誰頑固就使誰頑固。
 	神的憤怒和憐憫
19	那麼，你就會對我說：“既然如此，他為甚麼還責怪人呢？誰違抗得了他的旨意呢？”
20	你這個人啊，你到底是誰，竟敢跟神頂嘴？塑造品怎可對塑造者說：“你為甚麼把我造成這個樣子呢？”
21	陶匠造器皿，難道無權用同一團泥，既造名貴的，又造粗賤的嗎？
22	但是，如果神有意顯明他的震怒，彰顯他的權能，而格外容忍那些受震怒的器皿，就是準備好要遭毀滅的，
23	為要使他榮耀的豐盛彰顯在這些蒙憐憫的器皿上，就是他早已預備好要得榮耀的，又有何不可？
24	這些器皿就是我們，神不僅從猶太人當中把我們呼召出來，也從外族人當中呼召。
25	正如神在何西阿書上所說：“我要把那不是我子民的稱為‘我的子民’，把那不蒙愛的稱為‘蒙愛的’；
26	從前在甚麼地方對他們說‘你們不是我的子民’，將來就在那裡稱他們為‘永活神的兒子’。”
27	論到以色列人，以賽亞喊著說：“即使以色列子孫的數目多如海沙，得救的不過是少數殘餘，
28	因為主在地上令出必行，徹底迅速。”
29	又如以賽亞早已說過的：“要不是萬軍之主留給我們殘存的後裔，我們早已變得如所多瑪，早已像蛾摩拉一樣了。”
 	以色列人因為不信而絆倒
30	那麼，我們要怎麼說呢？沒有追求義的外族人得到了義，就是因信而得到的義；
31	但以色列人追求律法為要得義，卻達不到律法的目標。
32	為甚麼會這樣呢？因為他們不憑信心，卻以為可以靠行為。他們絆倒在那絆腳石上，
33	正如經上所記：“看哪，我在錫安放了一塊絆腳石，是使人絆跌的磐石；信靠他的人不會蒙羞。”
第十章
1	弟兄們，我心裡渴望，並且為以色列人向神祈求的，是要他們得救。
2	我可以為他們作證，他們對神有熱心，但不是按著知識，
3	因為他們不明白神的義，又企圖建立自己的義，就不服從神的義了。
4	要知道，基督是律法的終點，讓所有信的人都得到義。
 	凡呼求主名的人，都會得救
5	要知道，論到出於律法的義，摩西寫道：“遵行這些誡命的人，就會藉此而得生命。”
6	那出於信心的義卻這樣說：“你心裡不要說：‘誰要升到天上去呢？’——意思就是要把基督領下來。
7	或說：‘誰要下到無底深淵去呢？’——意思就是要把基督從死人中領上來。”
8	它到底說甚麼呢？“這話離你很近，在你口裡，在你心裡。”這話就是我們宣講的信心的話語。
9	你如果口裡承認耶穌為主，心裡相信神使他從死人中復活，就會得救，
10	因為心裡相信就得以稱義，口裡承認就得到救恩。
11	經上說：“凡信靠他的人都不會蒙羞。”
12	其實無論是猶太人還是希臘人，都沒有分別，因為大家有同一位主；他豐厚地賜福給所有呼求他的人，
13	因為“凡呼求主名的人，都會得救”。
14	這樣，人沒有相信他，怎能呼求他呢？沒有聽見他，怎能相信他呢？沒有宣講的，怎能聽見呢？
15	如果沒有受差遣，怎能宣講呢？正如經上所記：“那些傳揚美好福音的人，他們的腳蹤多麼佳美！”
16	但是，並非所有的人都聽從了這福音，因為以賽亞說：“主啊，誰曾相信我們的信息？”
17	因此，人聽見了，才會相信；有話傳講基督，人才會聽見。
18	但是我要說，難道他們沒有聽見嗎？當然聽見了：“他們的聲音傳遍全地，他們的言語傳到地極。”
19	但是我再說，難道以色列人不明白嗎？首先，摩西說：“我要以不是國民的人惹你們嫉妒，以愚昧的國民激怒你們。”
20	以賽亞也放膽說：“沒有尋找我的，我讓他們找到；沒有求問我的，我向他們顯現。”
21	論到以色列人，他卻說：“我整天向那叛逆頂嘴的子民伸出雙手。”
第十一章
 	神沒有完全丟棄以色列人
1	那麼，我要說，難道神丟棄了他的子民嗎？絕對沒有！因為我自己也是以色列人，是亞伯拉罕的後裔，屬於便雅憫支派。
2	神並沒有丟棄他預先選定的子民。難道你們不知道，經上論到以利亞是怎麼說的嗎？他是怎樣向神控訴以色列人的呢？
3	他說：“主啊，你的眾先知，他們殺了；你的祭壇，他們拆毀了，只剩下我一個人，他們還在追殺我！”
4	但神回答他的聖諭怎麼說呢？神說：“我為自己留下七千人，是沒有向巴力屈膝的。”
5	因此，現今這時候照樣有少數餘民，就是按恩典蒙揀選的人。
6	既然是靠恩典，就不再是由於行為；不然，恩典就不再是恩典了。
7	那麼，結果如何呢？以色列人懇切尋求的，他們並沒有得到，蒙揀選的人卻得到了。其餘的人都變得頑梗不化，
8	正如經上所記：“神給了他們昏睡的靈，一雙不能看的眼睛，一對不能聽的耳朵，直到今天。”
9	大衛也說：“願他們的宴席成為羅網、圈套、陷阱、對他們的報應；
10	願他們的眼睛變得昏黑，甚麼也看不見；願你使他們終身彎腰駝背。”
 	外族人因信得到救恩
11	那麼，我要說，難道以色列人失足，是要他們倒下來嗎？絕對不是！相反，因為他們的過犯，救恩就臨到外族人，為要惹以色列人嫉妒。
12	如果連他們的過犯都可以使世人富足，連他們的失敗都可以使外族人富足，更何況他們的豐盛呢！
13	我現在對你們外族人說：我既然的確是外族人的使徒，就重視自己的職分，
