使徒行傳
第一章
 	吩咐門徒等候聖靈
19	住在耶路撒冷的人全都知道這事，所以那塊田用他們當地話叫做‘哈革達馬’，意思就是‘血田’——
20	因為詩篇上寫著：‘願他的住處變為荒場，沒有人住在裡面。’又寫著：‘願別人取得他的職分。’
21-22	所以，伴隨我們的人當中，必須有一位出來與我們一起作耶穌復活的見證人；主耶穌在我們當中出入的整段時間裡——從約翰施洗起，直到主被接去離開我們的那天——這人都必須一直伴隨我們。”
23	於是，他們提出兩個人選：一個是約瑟，他號稱巴撒巴，又叫猶士都；另一個是馬提亞。
24	眾人就禱告說：“主啊，你知道所有人的心，求你清楚指明你要從這兩個當中揀選哪一個，
25	讓他取得這侍奉的工作和使徒職分。猶大已經離棄這職分，去了他自己的地方。”
26	於是，他們為兩人抽籤，結果選中了馬提亞，他就與十一個使徒同列。
第二章
 	五旬節聖靈降臨
1	五旬節那一天到了，他們全都聚集在一起。
2	忽然，有響聲從天而來，好像狂風吹過，充滿了他們在裡面坐著的整間房子，
3	又有許多火焰般的舌頭分開，向他們顯現，並且留在他們每一個人身上。
4	他們全都被聖靈充滿，就照著聖靈賜給他們的，開始用別種語言宣告神的信息。
5	當時，有來自天下各國的虔誠猶太人住在耶路撒冷。
6	這聲音一響，一大群人就聚攏過來，他們驚惶失措，因為他們每一個人都聽見門徒用每一個人本鄉的語言說話。
7	他們極其驚訝，說：“怎麼回事啊？這些說話的，不都是加利利人嗎？
8	我們怎麼會各自聽見我們自己出生地的語言呢？
9	我們帕提亞人、瑪代人、以攔人和住在美索不達米亞、猶太、加帕多迦、本圖、亞西亞、
10	弗呂迦、旁非利亞、埃及，並靠近古利奈的利比亞一帶地區的人，還有從羅馬來的旅客，
11	包括猶太人和歸信猶太教的人，克里特人和阿拉伯人，都聽見他們用我們的語言述說神偉大的作為。”
12	眾人又驚訝又困惑，彼此說：“這是甚麼意思？”
13	另有些人則譏笑說：“他們是灌滿了新酒吧。”
 	彼得在五旬節的講道
14	彼得就和十一個使徒站起來，他高聲向眾人宣告：“各位猶太人和所有住在耶路撒冷的人啊，你們要明白這件事，也要留心聽我的話。
15	要知道，這些人並非像你們所想的那樣喝醉了，因為現在不過是上午九時！
16	不！這正是那藉著先知約珥所說的：
17	‘神說，在末後的那些日子裡將會是這樣：我要把我的靈傾倒在所有血肉凡人身上，你們的兒子、你們的女兒都會做先知為我傳話，你們的年輕人會見異象，你們的老年人會做異夢。
18	在那些日子，甚至在我的男奴僕身上，還有在我的女奴僕身上，我也會傾倒我的靈，他們就會做先知為我傳話。
19	我要在天上顯出奇能，在地下顯出神蹟，有血、有火、有煙霧；
20	太陽將變為黑暗，月亮將變為血，在主那偉大光榮的日子來到以前，這一切都要發生。
21	那時，凡呼求主名的人，都會得救。’
22	“以色列人啊，你們要聽我這些話：這位拿撒勒人耶穌，神已經藉著他在你們當中施展了大能、奇能、神蹟，向你們公開證明他是神委任的人，這是你們自己知道的。
23	這人按神設定的計劃和預先的決定被交出去，你們藉著那些不法的人的手把他釘上十字架殺死了。
24	神卻使他復活，為他解除了死亡的陣痛，因為他不可能被死亡轄制。
25	大衛指著他說：‘我常看見主在我眼前，因為他在我的右邊，我就不會動搖。
26	為此我的心快樂，我的舌歡欣，我的肉身也要安居在盼望裡，
27	因為你不會把我的性命遺棄在陰間，也不會使你的聖者見腐朽。
28	你已讓我認識生命的道路，你將使我在你面前充滿喜樂。’
29	“各位弟兄，關於先祖大衛的事，請容我大膽告訴你們，他死了，被葬了，直到今天他的墳墓還在我們這裡。
30	大衛既然是先知，知道神曾向他起誓，要從他的後裔中，立一位坐在他的寶座上，
31	又預先看見了這事，就說及基督的復活：‘他沒有被遺棄在陰間，他的肉身也沒有見腐朽。’
32	這位耶穌，神已經使他復活了，我們都是這事的見證人。
33	他既然被高舉到神的右邊，從父領受了所應許的聖靈，就把聖靈傾倒下來，這就是你們現在所看見、所聽見的。
34	大衛並沒有升到天上，他自己卻說：‘主對我的主說：你坐在我的右邊，
35	等我使你的仇敵做你的腳凳。’
36	因此，以色列全家都必須明確知道，你們釘在十字架上的這位耶穌，神已經立他為主、為基督了。”
37	他們聽了以後，心裡刺痛，就對彼得和其餘的使徒說：“各位兄弟，我們該做甚麼呢？”
38	彼得說：“你們要悔改！並且你們每個人都要奉耶穌基督的名受洗，好使你們罪得赦免，你們就會領受他贈予的聖靈。
39	因為，這應許是給你們的，也給你們的兒女和所有在遠方的人，就是主，我們的神召來的每一個人。”
40	彼得還用許多別的話鄭重作見證，並且勸勉他們說：“你們要讓主救你們脫離這扭曲的世代！”
41	於是，接受他話的人都受了洗，這一天信徒增加了大約三千人。
 	信徒的交誼
42	他們在使徒的教導、彼此親密相處、擘餅、禱告這些事上都堅持不懈。
43	主藉著使徒施展了許多奇能和神蹟，所有人就都起了敬畏的心。
44	所有信徒都在一起，凡物公有，
45	他們變賣產業和財物，按照各人的需要分給大家。
46	他們天天堅持不懈一同在聖殿聚集，又在各家各戶擘餅，存著歡樂和誠懇的心用餐，
47	讚美神，並且得到全民的喜愛。主天天都把得救的人加給他們。
第三章
 	彼得治好生來跛腳的人
1	下午三時禱告的時間，彼得和約翰上聖殿去。
2	有一個生來跛腳的人正被人抬來，他們每天都把他放在那名叫美門的聖殿門口，好讓他求那些進聖殿的人施捨；
3	他看見彼得和約翰正要進入聖殿，就求他們施捨。
4	彼得和約翰定睛看他，彼得說：“看著我們！”
5	那人就留神看著他們，希望從他們那裡得些甚麼，
6	彼得卻說：“金銀我都沒有，但我把我有的給你：奉拿撒勒人耶穌基督的名，起來行走吧！”
7	彼得抓著他的右手，扶他起來；他的腳和踝骨馬上就變得健壯了，
8	於是他跳起來，站穩，開始行走，跟他們一起進入聖殿，邊走、邊跳、邊讚美神。
9	全體民眾都看見他邊走邊讚美神，
10	又認出他就是那個平時坐在聖殿美門乞討的人，就因為發生在他身上的事而充滿了驚駭和莫名的驚訝。
 	彼得在所羅門廊下講道
11	那人緊拉著彼得和約翰的時候，全體民眾都很驚異，一起奔跑到他們那裡，就是稱為所羅門廊的地方。
12	彼得見狀，就對民眾說：“各位以色列人啊，為甚麼因這事感到驚訝呢？為甚麼盯著我們，好像我們是憑著自己的能力和敬虔使這人行走的呢？
13	亞伯拉罕、以撒、雅各的神，就是我們祖先的神，已經榮耀了他的僕人耶穌，但你們竟然把耶穌交出去，況且彼拉多判決要釋放他，你們卻當著彼拉多的面棄絕他。
14	你們棄絕那聖者義者，反而要求釋放一個殺人犯給你們。
15	你們殺了那生命的創始者，神卻使他從死人中復活了；我們就是這件事的見證人。
16	正是他的名——就是因信他的名——使你們所看見、所認識的這個人變得強壯；這從耶穌而來的信心，當著你們所有人的面把他完全治好。
17	弟兄們，我知道你們所做的是出於無知，你們的首領也是這樣。
18	但神藉著眾先知的口預先宣告了他膏立的基督將要受難，這事就這樣應驗了。
19	所以，你們要悔改，回轉過來，使你們的罪得以抹掉。
20	這樣，那恢復活力的日子就會從主面前來到，並且他要把那位為你們預先選定的基督派來——他就是耶穌。
21	天必須留著他，直到萬物復興的時候，就是神自古以來藉著聖先知的口所說的時候。
22	摩西曾說：‘主，你們的神，要從你們弟兄當中給你們興起一位先知像我；無論他對你們說甚麼，你們都要聽從。
23	任何人不聽從那位先知，都要從人民中剪除。’
24	事實上，從撒母耳起以至後繼的所有先知，凡說過預言的，也都宣告了這些日子。
25	你們是先知的子孫，也承受了神與你們祖先所立之約；那時，神對亞伯拉罕說：‘地上所有家族都會藉著你的後裔蒙福。’
26	首先是為了你們，神興起他的僕人，差遣他來使你們各人轉離自己的邪惡，好賜福給你們。”
第四章
 	彼得約翰在公議會受審
1	彼得和約翰正在對民眾講話的時候，有些祭司、聖殿警衛官、撒都該人突然走近他們。
2	因為彼得和約翰教導民眾，並且以耶穌為證，傳揚從死人中復活的道理，他們就很惱怒，
3	於是動手抓住兩人；那時天色已晚，就把他們拘留到第二天。
4	然而有許多聽見這道的人都相信了，信徒中男人的數目就達到大約五千。
5	第二天，民眾的那些首領、長老、經學家，都聚集在耶路撒冷，
6	還有大祭司哈納斯、該亞法、約翰、亞歷山大，以及大祭司家族所有的人，都在那裡。
7	他們叫彼得和約翰站在當中，審問他們：“你們憑甚麼權能，奉誰的名做這事？”
8	那時，彼得被聖靈充滿，就對他們說：“民眾的首領和長老啊，
9	如果我們今天受審，是為了我們在那殘疾人身上所做的善事——是要解釋這個人是怎麼治好的，
10	那麼，你們各位和以色列全民都要知道，這個人健全地站在你們面前，是因為拿撒勒人耶穌基督的名。這位耶穌基督，你們把他釘在十字架上，神卻使他從死人中復活了。
11	這位耶穌就是‘被你們這些建造者藐視的石頭，已經成了房角的主要石頭。’
12	除他以外，別無拯救，因為在天下人間，沒有賜下別的名，我們必須靠著得救。”
13	他們看見彼得和約翰的膽量，又知道這兩個人是沒有學問的普通人，就很驚奇，還認出他們曾經跟耶穌一起；
14	又看見那治好的人和他們一起站著，就無法反駁，
15	於是吩咐他們到公議會外面去，然後彼此商議，
16	說：“對這些人我們該怎麼辦呢？因為藉著他們發生了一件明顯的神蹟，所有住在耶路撒冷的人都清楚地知道，我們也無法否認。
17	不過，為免這件事在民眾當中越傳越廣，我們一定要威嚇他們，叫他們不再奉這名向任何人講話。”
18	於是，他們把二人叫來，吩咐他們絕對不可奉耶穌的名講論或教導，
19	但彼得和約翰反駁他們說：“聽從你們而不聽從神，這在神面前對不對，你們自己判斷吧！
20	要知道，我們的所見所聞，不能不說！”
21	公議會找不到法子懲罰他們，就恐嚇一番，把他們放了。這是為了民眾的緣故，因為大家都為所發生的事不斷頌讚神。
22	原來得到這神蹟治好的人有四十多歲了。
 	門徒同心禱告求主賜膽量
23	彼得和約翰獲釋後，就回到自己的人那裡，把那些祭司長和長老所說的一切，都告訴他們。
24	他們聽了，就一同高聲對神說：“至高的主宰啊，你是創造天、地、海和其中萬物的那一位。
25	你曾經藉著聖靈，用你僕人我們祖先大衛的口說：‘外族為何傲慢囂張？眾民為何徒然謀算？
26	地上列王並肩而立，統治者聚集在一起，要對抗主和他膏立的基督。’
27	希律和本丟彼拉多，連同外族人和以色列眾民，果然都在這城裡聚集，來對抗你所膏立的聖僕耶穌，
28	去做你的手和你的旨意預定要發生的一切事。
29-30	主啊，現在求你鑒察他們的威嚇，伸出你的手，藉著你聖僕耶穌的名醫好疾病、施展神蹟奇能，使你的奴僕可以充滿膽量傳講你的話語。”
31	他們祈禱完了，聚會的地方震動起來，他們全都被聖靈充滿，放膽傳講神的話語。
 	信徒凡物公有
32	那一大群信徒一心一意，沒有一個人說他擁有的任何東西是自己的；相反，一切都是大家公有。
33	使徒以大能力見證主耶穌的復活，在他們所有人身上都有大恩典。
34	他們當中沒有一個人缺乏甚麼，因為凡有田產或房屋的都賣了，把賣得的錢拿來，
35	放在使徒腳前，使徒就按各人所需分配給每個人。
36	有個利未人約瑟，生於塞浦路斯，使徒稱他為巴拿巴——翻譯出來就是“安慰之子”。
37	他賣掉自己的田地，把錢拿來放在使徒腳前。
第五章
 	哈納尼雅和撒菲拉的鑒戒
1	有個人名叫哈納尼雅，他和妻子撒菲拉一起賣了一塊田產。
2	他偷拿了一些賣田地的錢——妻子也知道這件事——只把一部分錢帶來，放在使徒腳前。
3	彼得說：“哈納尼雅，為甚麼撒但充滿了你的心，使你欺騙聖靈，偷拿了一些賣田地的錢呢？
4	田地留著沒賣的時候，不仍是你的嗎？賣了，錢不是由你做主嗎？你為甚麼存心做這樣的事呢？你不是欺騙人，而是欺騙神！”
5	哈納尼雅聽見這話，就仆倒斷了氣，所有聽說這事的人都非常驚恐。
6	有幾個年輕人起來把他包裹好，抬出去埋了。
7	隔了大約三小時，哈納尼雅的妻子進來，還不知道發生了甚麼事。
8	彼得問她：“告訴我，你們賣田地的錢，就是這麼多嗎？”她說：“是的，就是這麼多。”
9	彼得對她說：“你們為甚麼合謀試探主的靈呢？看，埋你丈夫的人，腳已經到了門口，他們也要把你抬出去。”
10	她立刻就仆倒在彼得腳前，斷了氣。那些年輕人進來，發現她已經死了，就把她也抬出去，埋在她丈夫旁邊。
11	全教會和所有聽說這事的人都非常驚恐。
 	主藉使徒施展神蹟奇能
12	主藉著使徒的手，在民眾當中施展了許多神蹟奇能。所有信徒都一同聚集在所羅門廊裡。
13	其餘的人沒有一個敢與他們結交，但民眾都很敬重他們。
14	信主的人越來越多，男的女的一大群人，
15	甚至有人把病人抬到街上，放在小床或墊子上，這樣至少可以讓彼得經過時，身影落在一些人身上。
16	耶路撒冷周圍的城鎮，也有一大群人帶著病人和被污靈纏擾的人聚攏過來，結果全都治好了。
 	使徒受迫害
17	大祭司和他的同黨，就是撒都該教派的人，都滿心嫉恨，就採取行動，
18	下手捉拿使徒，把他們押在公眾拘留所裡。
19	但是主的一位天使在夜間打開監門，把他們領了出來，說：
20	“你們去，站在聖殿裡，把一切有關這生命的話，都講給民眾聽。”
21	使徒聽了，就在黎明的時候進到聖殿裡，開始教導民眾。這時，大祭司和他的同黨來到開會的地方，就召集公議會，就是以色列人的全體長老議會，然後派人去監獄把使徒帶過來。
22	差役到了，不見他們在監獄裡，就回來報告，
23	說：“我們發現牢門緊閉，衛兵也守在門外；可是開了門，裡面卻不見一個人。”
24	聖殿警衛官和祭司長聽了這些話，覺得很困惑，不知道是怎麼回事。
25	就在這時，有人來向他們報告：“你們押在監裡的那些人，正站在聖殿裡教導民眾呢！”
26	警衛官和差役於是一起去把使徒帶來，不過沒有用暴力，因為怕民眾用石頭打他們。
27	他們把使徒帶來，就叫他們站在公議會前。大祭司質問他們，
28	說：“我們嚴厲吩咐過你們，不可奉這名教導人。但是現在，你們卻把你們的教導傳遍了耶路撒冷，想要我們承擔這人的血債。”
29	彼得和眾使徒回答：“我們必須服從神而不服從人。
30	你們掛在十字架上殺害的耶穌，我們祖先的神已經使他復活了。
31	神把他高舉在自己的右邊做元首和救主，為要賜恩給以色列人，使他們悔改，罪得赦免；
32	我們就是這些事的見證人，神賜給順從他的人的聖靈，也是見證。”
33	公議會的人聽後，怒不可遏，就想殺死他們。
34	但是，有一個法利賽人，名叫迦瑪列，是民眾尊敬的律法師，他在公議會中站起來，吩咐人把使徒暫時帶出去，
35	然後對大家說：“各位以色列人啊，怎樣處理這些人，你們自己要小心！
36	從前有個杜達起事，自稱是個甚麼人物，附從他的人約有四百。他一被殺，信從他的人眾盡都瓦解星散，結果完全消失。
37	這人之後，在戶籍登記期間，又有加利利人猶大起事，煽動民眾跟隨他叛變。後來他也喪命，所有跟從他的人就都四散。
38	現在，我勸你們不要管這些人，由他們吧！因為這計劃或這運動，如果是出於人，終會被消滅；
39	如果是出於神，你們就沒有能力消滅他們，恐怕你們反而是與神作對了。”公議會的人被他說服了，
40	就傳使徒進來，打了一頓，吩咐他們不可奉耶穌的名講說，就把他們釋放。
41	然而，使徒喜樂地從公議會裡出來，因為他們算是配得為這名受辱。
42	他們每天都在聖殿和各家各戶不斷教導人，傳講耶穌是基督。
第六章
 	揀選七人管理日常供給的事
1	在那些日子裡，門徒不斷增加，就有說希臘語的猶太人對希伯來人喃喃抱怨，因為他們的寡婦在日常供給上往往被忽略了。
2	於是十二使徒召集了全體門徒，說：“要我們放下神的道去照顧伙食，是不妥當的。
3	所以弟兄們，要從你們當中慎重選出七個名聲好、滿有聖靈和智慧的人，我們就會委派他們負責這個要務。
4	至於我們，我們則要專注於禱告，以及傳道的侍奉。”
5	這番話使全會眾都很高興，於是他們就選出了司提反——他是一個滿有信心和聖靈的人，還有腓利、普羅哥羅、尼卡諾、提蒙、帕米納，以及歸信猶太教的安提阿人尼哥拉，
6	他們叫這些人站在使徒面前。使徒禱告後，就按手在他們頭上。
7	神的道日漸興旺；在耶路撒冷，門徒人數大大增加，有一大群祭司也信從了這信仰。
 	司提反被捕
8	司提反滿有恩典和能力，在民眾當中施展種種偉大的奇能和神蹟。
9	可是，有些屬於那號稱“自由人”會堂的人，包括古利奈人、亞歷山大人，還有從基利迦和亞西亞來的人，起來跟司提反辯論，
10	但是司提反靠著聖靈和智慧說話，他們就抵擋不住。
11	於是，他們暗中唆使一些人來說：“我們聽過他說褻瀆摩西和神的話！”
12	他們不單煽動民眾，還煽動長老和經學家，這些人就突然走近司提反，強行把他抓去，押到公議會，
13	並且安排假見證人來說：“這人不斷說話攻擊這神聖的地方和律法。
14	我們聽他說過：‘這拿撒勒人耶穌要毀滅這地方，改變摩西傳給我們的規例。’”
15	當時，所有坐在公議會裡的人都注視他，看見他的面貌好像天使的面貌。
第七章
 	司提反的申辯
1	大祭司問：“果真有這些事嗎？”
2	司提反說：“各位兄弟父老請聽！我們的祖先亞伯拉罕在美索不達米亞，還沒有住在哈蘭的時候，榮耀的神就向他顯現，
3	對他說：‘你要離開你本族之地，來到我要指示你的這地。’
4	他就離開迦勒底人的地，住在哈蘭。他父親死後，神又叫他從那裡遷到你們現在所住的這地。
5	在這裡，神並沒有賜他產業——連腳掌那麼小的一塊地也沒有。可是，神應許把這地賜給他和他未來的後裔作為產業，儘管那時他還沒有兒子。
6	神這樣說：‘你的後裔會在異地成為寄居者，那裡的人會奴役、苦待他們四百年。’
7	神又說：‘他們將為奴服侍的那個國家，我會親自懲罰。以後，他們將要出來，在這地方侍奉我。’
8	神又賜他割禮之約。這樣，亞伯拉罕生了以撒，第八天就給他行了割禮。後來以撒生了雅各，雅各又生了我們的十二位先祖。
9	“先祖嫉妒約瑟，把他賣到埃及去，然而神與他同在，
10	救他脫離一切患難，使他在埃及王法老面前蒙恩寵、有智慧。法老就委任他為宰相，治理埃及和法老全家。
11	後來全埃及和迦南都遭遇饑荒，蒙受大難，我們的祖先找不到糧食。
12	雅各聽見埃及有糧，就派我們的祖先去，這是第一次。
13	第二次，約瑟向兄弟表明自己的身份，法老這才認識約瑟的親族。
14	約瑟派人把父親雅各和所有親人都請來，一共七十五人。
15	於是，雅各下了埃及，後來他和我們的祖先都死了，
16	遺體就運到示劍，安放在亞伯拉罕用銀子向哈抹子孫買來的墳墓裡。
17	“神向亞伯拉罕宣告的應許快要實現的時候，以色列民在埃及興旺增多，
18	直到另一位君王登位統治埃及的時候；這王不知道約瑟的事。
19	他狡猾地對付我們的同胞，虐待我們的祖先，逼他們遺棄自己的嬰孩，不容嬰孩活命。
20	就在那時候，摩西出生了，他在神看來俊美，在父親的家裡被撫養了三個月。
21	他被放在外頭的時候，法老的女兒把他撿起，當作自己的兒子撫養。
22	摩西學會了埃及人的種種知識，說話和行事都很有能力。
23	“到了四十歲，他心裡起了一個念頭要去看望自己的同胞以色列人。
24	當他看見有個同胞被欺負，就護衛他，為這個受欺壓的人報仇，打死了那個埃及人。
25	他以為自己的同胞會明白神要藉著他的手拯救他們，他們卻不明白。
26	第二天，有人在打架，摩西就出面勸他們和好，說：‘朋友，你們是同胞，為甚麼彼此欺負呢？’
27	那欺負同伴的人把他推開，說：‘誰委任你做我們的首領和審判官呢？
28	難道你想殺我，像昨天殺那個埃及人一樣嗎？’
29	摩西因為這句話就逃跑了，後來他在米甸地成了寄居者，在那裡生了兩個兒子。
30	“過了四十年，在西奈山的荒野，有一位天使以荊棘裡火焰的形式向摩西顯現。
31	他看見這個異象，十分驚奇，正上前觀看的時候，就有主的聲音說：
32	‘我是你祖先的神，就是亞伯拉罕、以撒、雅各的神。’摩西戰戰兢兢，不敢觀看。
33	主對他說：‘脫掉你腳上的鞋，因為你站的地方是聖地。
34	我的子民在埃及受的痛苦，我確實看見了；他們的呻吟，我也聽見了，所以我就下來搭救他們。現在，你來！我要差遣你到埃及去。’
35	這個摩西，他們曾經拒絕，說‘誰委任你做首領和審判官’——正是這個人，使者在荊棘裡向他顯現，神藉著使者的手差遣他做領袖和解救者。
36	這個人領他們出來，在埃及地、在紅海，以及在荒野四十年，施展奇能和神蹟。
37	也就是這位摩西對以色列人說：‘神要從你們弟兄當中，給你們興起一位先知像我’。
38	就是這個人，在荒野的會眾裡，有在西奈山上對他說話的天使跟他在一起，又有我們的祖先跟他在一起。他領受了活的聖言，傳給我們。
39	我們的祖先不肯聽從他，反而拒絕他，他們的心轉回埃及去，
40	對亞倫說：‘給我們做一些可以走在我們前頭的神明。因為把我們從埃及地領出來的這個摩西，我們不知道他出了甚麼事！’
41	在那些日子裡，他們造了一個牛像，把祭物獻給那偶像，還為自己手所造的偶像歡樂！
42	於是神轉身離開，任憑他們侍奉天上的日月星辰，正如先知書所記：‘以色列家啊，你們在荒野四十年，獻上祭牲和祭物，難道是獻給我的嗎？
43	你們抬著摩洛的棚子和你們的神理番的星，就是你們造來敬拜的像。所以我要把你們放逐到巴比倫以外去。’
44	“我們的祖先在荒野有會幕，是那位對摩西說話的神指示他依照看見的樣式所造的。
45	我們的祖先相繼承受了這會幕，神把外族人從他們面前趕走以後，他們就和約書亞一起把帳幕帶進所得作為產業的地方，直到大衛的日子。
46	大衛在神面前蒙恩，就祈求為雅各家找個居所，
47	為神建造殿宇的卻是所羅門。
48	其實至高者並不住人手所造的那些東西，正如先知說：
49	‘主說：“天是我的寶座，地是我的腳凳，你們可為我建造怎樣的殿宇？哪裡才是我安歇的地方呢？
50	這一切不都是我手所造的嗎？”’
51	“你們這些頸項剛硬、心和耳都未受割禮的人啊，你們總是拒斥聖靈，你們的祖先怎樣，你們也怎樣。
52	哪一個先知你們的祖先沒有迫害呢？他們甚至殺了那些預先宣告那義者要來的先知，現在你們又把那義者出賣，殺害了！
53	你們領受了由天使傳達的律法，卻不遵守！”
54	眾人聽了這些話，心中怒不可遏，對著司提反咬牙切齒。
55	但是，司提反充滿著聖靈，定睛望天，看見了神的榮耀，又看見耶穌站在神的右邊，
56	就說：“看哪，我看見天開了，人子站在神的右邊。”
57	眾人卻大聲喊叫，掩著耳朵，一齊向他衝過去，
58	把他推出城外，用石頭打他。那些見證人把自己的袍子放在一個名叫掃羅的年輕人腳前。
59	他們用石頭打司提反的時候，他呼求說：“主耶穌啊，求你接收我的靈！”
60	然後跪下來大聲喊著說：“主啊，不要把這罪歸於他們！”他說了這話就睡了。
第八章
 	掃羅迫害教會
1	掃羅也贊成殺死司提反。就在那一天，耶路撒冷的教會開始大受迫害；除了使徒以外，所有人都分散到猶太和撒瑪利亞境內各處。
2	有些虔誠的人安葬了司提反，為他大聲痛哭。
3	掃羅卻殘害教會，闖進各家各戶，連男帶女都拉去坐牢。
4	那些逃散的人經過各地，傳揚福音的信息。
5	腓利下到撒瑪利亞城，向那裡的人宣講基督。
6	群眾聽見並看見腓利所行的神蹟，就一起留心聽他所講的話。
7	那時，許多人有污靈附身，污靈大聲喊叫之後就出來了，還有許多癱瘓的、跛腳的都治好了；
8	城裡就充滿歡樂。
9	有一個名叫西門的人，自稱是大能的人物，從前一向在城裡行法術，使撒瑪利亞的人民驚訝，
10	城裡所有人無論尊卑都留意他，說：“這人就是稱為‘神的大能’的那一位。”
11	他們留意他，因為他長期用法術令他們驚訝。
12	但是當腓利向他們傳神的王國的福音和耶穌基督的名時，他們就信了腓利，連男帶女都受了洗，
13	連西門自己也信了。他受洗之後，一直緊緊跟著腓利，看見所發生的神蹟和大能的事，就感到很驚訝。
14	在耶路撒冷的使徒聽見撒瑪利亞的居民領受了神的話語，就派彼得和約翰到他們那裡去。
15	兩個人下到那裡，就為他們禱告，好讓他們領受聖靈，
16	因為聖靈還沒有降在他們任何一個身上，他們只是受洗歸入主耶穌的名下。
17	於是，彼得和約翰按手在他們頭上，他們就領受了聖靈。
18	西門看見聖靈因為使徒按手而賜下來，就拿錢給他們，
19	說：“請把這權柄也給我，好讓我給誰按手，誰就可以領受聖靈。”
20	但是彼得對他說：“你的銀子和你一起滅亡吧！因為你以為神贈予的聖靈是可以用錢買的。
21	這事絕對沒你的分兒，因為你在神面前心術不正。
22	因此，你要悔改，離棄這罪惡，也要祈求主，也許你心裡的意念可以得到赦免。
23	因為，我看出你正在苦膽之中，被不義捆綁。”
24	西門回答：“請你們為我祈求主，使你們所說的沒有一樣臨到我身上！”
25	使徒鄭重作了見證，講了主的道，就回耶路撒冷去，一路上在撒瑪利亞人的許多村莊裡傳揚福音。
 	腓利對太監傳講耶穌
26	主的一位天使對腓利說：“起來，向南走，到那從耶路撒冷下迦薩的路上去。”那是荒野的路。
27	他就起來去了。那時正好有一個埃提奧伯人，是埃提奧伯女王甘大基手下一個有權勢的太監，管理女王的所有財產。他先前去了耶路撒冷敬拜，
28	回來的時候坐在馬車上誦讀先知以賽亞的書。
29	聖靈對腓利說：“你上前去，靠近那輛馬車！”
30	腓利就奔跑過去，聽見他誦讀以賽亞先知的書，就問他說：“你果真明白你所讀的嗎？”
31	他說：“沒有人指導我，怎能明白呢？”他就請腓利上車和他一起坐。
32	太監所誦讀的就是這段經文：“他像羊被牽去宰殺，又像羔羊在剪毛的人面前默默無聲，他就是這樣不開口。
33	他在屈辱中被奪去公平的審判，誰可以述說他的後代呢？因為他的生命從地上被奪去。”
34	太監對腓利說：“請問先知說這話是指誰？是指他自己呢？還是指別人？”
35	腓利就開口，從這段經文開始，向他傳講耶穌的福音。
36	他們沿路往前走，到了有水的地方，太監說：“看！這裡有水，有甚麼可以阻止我受洗呢？”
37	（有些後期抄本加上第37節：“腓利說：‘你如果全心相信，就可以受洗。’他回答說：‘我信耶穌基督是神的兒子。’”）
38	於是，太監吩咐停下馬車，腓利和他兩人下到水裡，腓利就給他施洗。
39	他們從水裡上來的時候，主的靈突然把腓利提去，太監再也看不見他；太監繼續上路，心懷喜樂。
40	腓利卻在亞鎖都出現，向他經過的各城傳講福音，直到凱撒利亞。
第九章
 	掃羅信主
（徒22:3~16，26:9~18）
1	掃羅仍然一直怒氣沖沖地威嚇主的門徒，又殺害他們。他到大祭司那裡，
2	求得一些給大馬士革各會堂的函件，好讓自己一發現屬於這道路的人，就無論男女都綁起來押到耶路撒冷。
