撒迦利亞書
第一章
 	呼籲子民回轉歸向耶和華
8	天使說：“這是邪惡。”然後他把那婦人丟回量器中，又把那鉛蓋丟回量器的口上。
9	我又舉目觀看，看見兩個婦人出來，她們的翅膀之下有風，翅膀好像鸛鳥的翅膀。她們把那量器抬到天地之間。
10	我對那與我說話的天使說：“她們要把量器帶到哪裡去？”
11	他對我說：“要在示拿地為它建廟；廟建好了，就在那裡把它安放在它自己的基座上。”
第六章
 	四戰車的異象
1	我又舉目觀看，看見四輛戰車從兩座山中間出來，山是銅山。
2	第一輛戰車套著紅馬，第二輛戰車套著黑馬，
3	第三輛戰車套著白馬，第四輛戰車套著有斑點、強壯的馬。
4	於是我對那與我說話的天使說：“我主啊，這些是甚麼意思？”
5	那天使就回答我，說：“這些是天的四風，來自全地之主身邊。”
6	套著黑馬的戰車出來，往北方之地去；套著白馬的戰車出來，跟在牠們後面；而套著斑點馬的戰車出來，往南方之地去。
7	套著強壯馬的戰車出來，急著要在地上巡邏；天使說：“你們去吧，只管在地上巡邏。”於是牠們就在地上巡邏。
8	他又呼喚我，對我說：“你看！那些出來往北方之地去的馬，已經在北方之地使我的靈平息下來。”
 	耶和華命令為約書亞加冕
9	耶和華的話臨到我，說：
10	“你要從被擄的人黑玳、拓比雅和耶達雅收取奉獻；他們已經從巴比倫回來。你要即日就去西番雅的兒子約西亞的家。
11	你要收取金銀做冠冕，戴在約薩達的兒子約書亞大祭司頭上，
12	對他說：‘萬軍之耶和華這樣說：看哪，有一個人名叫“枝子”，他將從自己的地方生長起來，建造耶和華的殿。
13	將建造耶和華殿的就是他，將承受尊榮的就是他，他會坐在寶座上執掌王權，也在寶座上做祭司；兩職之間將和諧共濟。
14	這冠冕要給晞連、拓比雅、耶達雅和西番雅的兒子賢，在耶和華的殿中作為紀念物。
15	遠方的人也要來建造耶和華的殿，你們就知道是萬軍之耶和華差遣我到你們這裡來。你們若留心聽從耶和華你們神的話，這事就會成就。’”
第七章
 	禁食的問題
1	大流士王在位第四年九月四日，就是基斯流月四日，耶和華的話臨到撒迦利亞。
2	那時，伯特利人差派沙瑞策，連同利堅米勒和他的隨從，去懇求耶和華施恩，
3	對萬軍之耶和華殿裡的祭司們和先知們說：“我還要在五月哭泣和禁食，像我這許多年來那樣行嗎？”
4	萬軍之耶和華的話就臨到我，說：
5	“你要告訴這地所有的人民，並且對祭司們說：‘這七十年來，你們在五月和七月禁食哀哭，豈是真的為我禁食呢？
6	你們吃，你們喝，其實都是為自己吃，為自己喝！
7	其實這些話，耶和華早已藉著從前的先知們宣告了。那時，耶路撒冷和周邊的城鎮，人們安居樂業，南地和山麓地帶都有人居住。’”
 	被擄是因為叛逆神
8	耶和華的話又臨到撒迦利亞，說：
9	“萬軍之耶和華曾這樣說：‘你們要執法公正，以忠誠之愛和憐憫彼此相待。
10	寡婦和孤兒、寄居者和窮人，你們都不可欺壓；也不可心裡圖謀惡事，彼此傷害。’
11	但他們不肯留心聽，反而硬著頸項，充耳不聞。
12	他們使自己的心剛硬如極硬的石，不聽從律法，不聽從萬軍之耶和華藉著他的靈、藉著從前的先知們所傳達的話。因此，萬軍之耶和華非常惱怒。
13	萬軍之耶和華說：‘正如我曾呼喚，他們不聽；將來他們呼喚，我也不聽。
14	我要用暴風把他們吹散到所有他們不認識的列國去。那地在他們離開之後就荒涼了，無人來往經過；這樣，他們使佳美之地變得荒涼。’”
第八章
 	復興以色列的應許
1	萬軍之耶和華的話臨到我，說：
2	“萬軍之耶和華這樣說：‘我極其熱愛錫安；我熱愛她，為她向列國大發烈怒。’
3	耶和華這樣說：‘我要返回錫安，住在耶路撒冷裡面；耶路撒冷將稱為誠信之城，萬軍之耶和華的山要稱為聖山。’”
4	萬軍之耶和華這樣說：“老翁老婦會再坐在耶路撒冷各廣場上；各人都因壽高年邁，手拿拐杖。
5	城裡那些廣場擠滿了人，男女孩童在其中嬉戲。”
6	萬軍之耶和華這樣說：“儘管在那些日子裡，在這餘剩的子民眼中，這些事奇妙難成，難道在我眼中也奇妙難成嗎？”這是萬軍之耶和華的宣告。
7	萬軍之耶和華這樣說：“我快要拯救我的子民，從日出之地和日落之地出來。
8	我要把他們領回來，他們會住在耶路撒冷裡面；他們會做我的子民，我會憑著誠信和公義做他們的神。”
9	萬軍之耶和華這樣說：“在萬軍之耶和華的殿奠立根基、預備重建的日子，你們聽過先知們親口宣告這些話的人，現在你們的手要剛強！
10	因為在那些日子以前，人都得不著工資，牲畜也沒有工資；並且因敵人的緣故，人出入沒有平安，我也使所有人彼此攻擊。
11	但現在，我不會再像從前的日子那樣待這餘剩的子民。”這是萬軍之耶和華的宣告。
12	“因為穀物會生長繁茂：葡萄樹會結果子，土地會出產作物，天也會降下甘露，我要使這餘剩的子民享受這一切。
13	猶大家和以色列家啊，從前你們怎樣在列國中成為可詛咒的，將來我也要照樣拯救你們，你們就成為祝福！你們不要害怕，你們的手務要剛強起來！”
14	因為萬軍之耶和華這樣說：“你們的列祖惹我發怒的時候，我曾定意降災於你們，並沒有改變心意，”這是萬軍之耶和華說的；
15	“在這些日子裡，我會照樣定意善待耶路撒冷和猶大家。你們不要害怕！
16	以下是你們當做的事：你們要彼此說真話，要憑著誠實和公正，在你們的眾城門口施行帶來和平的審判。
17	你們不可心裡圖謀惡事，彼此陷害，也不可好起假誓，因為這些全都是我所恨惡的。”耶和華這樣宣告。
18	萬軍之耶和華的話臨到我，說：
19	“萬軍之耶和華這樣說：‘四月的禁食、五月的禁食、七月的禁食，和十月的禁食都會變成猶大家的歡欣、喜樂，以及美好的節期。所以，你們要喜愛誠信與和平。’”
 	萬民尋求主恩
20	“萬軍之耶和華這樣說：‘將來還會有許多民族和許多城鎮的居民要來。
21	一座城的居民要去見另一座城的居民，說：我們快去懇求耶和華施恩，尋求萬軍之耶和華；我自己也要去。
22	將會有很多民族和強大的國家前來，在耶路撒冷尋求萬軍之耶和華，懇求他施恩。’
23	“萬軍之耶和華這樣說：‘在那些日子，將有十個來自列國說各種方言的人，緊抓住一個猶大人的衣襟，說：讓我們與你們同去，因為我們聽見神與你們同在。’”
第九章
 	審判猶大鄰國
1	以下是耶和華對哈得拉地宣判的話，最後落在大馬士革——世人的眼睛及以色列的所有支派都向著耶和華——
2	又臨到大馬士革的邊城哈馬，還有推羅、西頓，儘管她們有極大的智慧。
3	推羅為自己建造設防城，堆積銀子如塵土，堆積金子如街上的爛泥。
4	但是主會誅滅她！主會摧毀她海上的勢力，她將被火吞噬。
5	亞實基倫看見就會害怕；迦薩看到也會劇烈顫抖；以革倫也因失去盼望而蒙羞。君王將從迦薩消亡，亞實基倫無人居住。
6	混雜的種族將住在亞實突，我要除掉非利士人的驕傲。
7	我要除去他們口中帶血的肉，以及他們牙齒間可憎的食物。他們將有餘民歸於我們的神，像猶大中的一族；以革倫人也要像耶布斯人一樣。
8	我要在我的殿安營駐軍，不容敵軍來往經過；欺壓者再也不能侵犯我的子民，因現在我已親眼看顧。
 	將要來臨的和平君王
9	女兒錫安，盡情喜樂吧！女兒耶路撒冷，歡呼吧！看哪，你的王要到你這裡來了！他是公義的，是得勝的，是謙和的，騎著驢，騎著少壯公驢，就是母驢所生的驢兒。
10	我要從以法蓮除掉戰車，從耶路撒冷除掉戰馬。爭戰的弓將被除掉，他要向列國宣講和平。他的統治將從這海直到那海，從幼發拉底河直到地極。
 	有盼望的被囚之人
11	而你，錫安啊，因我與你立約的血，我要從無水的地牢裡釋放你被囚的人們。
12	有盼望的被囚之人啊，你們要回歸保障！是的，今天我宣告：我將加倍回報你。
13	我要拿猶大做我拉開的弓，拿以法蓮做我弓上的箭。錫安啊，我要激動你的眾子，去攻擊希臘的眾子！我要使你像勇士的刀劍！
14	耶和華將顯現在他們之上，他的箭會像閃電一般射出；主耶和華要吹響號角，乘著南方的暴風疾駛。
15	萬軍之耶和華會護衛他們，他們將用投石索甩石吞噬、制伏敵人；他們要喝血，並且喧嚷，像醉酒一樣；他們要像獻祭的碗盛滿血，又像祭壇的角沾滿血。
16	到那日，耶和華他們的神要拯救他們，像他子民的羊群得救一樣；因為他們像冠冕上的寶石，閃耀在他的地上。
17	因為他是多麼善，多麼美；穀物使少男精壯，新酒使少女健美。
第十章
 	耶和華應許拯救他的子民
1	在晚冬的雨季，你們當向耶和華求雨！耶和華閃發雷電，降雨給眾人，賜人田間的作物。
2	因為偶像說空言，占卜師見虛謊，他們講說假夢，給人空洞的安慰。因此，眾人如羊流離，因無牧人而受苦。
3	“我向這些牧人發火，我要懲罰那些公山羊。”因為萬軍之耶和華眷顧他的羊群猶大家，使他們像戰場上威風凜凜的馬。
4	房角石從他們而出，營釘從他們而出，戰弓從他們而出，每一個統治者都從他們而出。
5	他們要像戰場上的勇士，踩踏敵人如街道上的爛泥，他們要爭戰，因為耶和華與他們同在，他們將使敵方的騎兵蒙羞。
6	“我要使猶大家強盛；約瑟家，我要拯救。我要使他們回歸，因為我憐憫他們；他們要像未曾遭我棄絕一樣，因為我是耶和華他們的神，我會應允他們。
7	以法蓮人要像勇士，他們的心會歡欣好像飲酒；他們的子孫要看見並歡欣；願他們的心因耶和華而快樂！
8	我要向他們吹哨子，招聚他們，因我救贖了他們。他們的人數要增多，像從前增多一樣。
9	我要把他們散播在萬民中，他們將要在遠方記念我；他們和他們的子孫都要存活，並且回歸。
10	我要使他們從埃及地回歸，從亞述招聚他們，帶他們到基列地和黎巴嫩，卻仍不夠容納他們。
11	他要經過苦難的海，擊打海中的波浪，尼羅河的深處全都乾涸；亞述的驕傲要降卑；埃及的權杖也將消逝。
12	我要使我的子民因耶和華而強盛，他們要奉他的名行事為人。”耶和華這樣宣告。
第十一章
 	無用的牧人被棄
1	黎巴嫩啊，敞開你的門戶！好讓火吞噬你的雪松。
2	刺柏啊，哀號吧！因為雪松傾倒了，雄偉的樹木毀壞了；巴珊的橡樹啊，哀號吧！因為茂密的樹林倒下了。
3	聽，牧人在哀號，因為他們榮美的草場毀壞了；聽，少壯獅子在吼叫，因為約旦河邊的叢林毀壞了。
4	耶和華我的神這樣說：“你要牧養這群將被宰殺的羊。
5	那些買牠們的人宰殺牠們，卻不承擔罪責；那些賣牠們的人說：‘耶和華配受稱頌，因為我變得富有了！’牠們的牧人並不憐恤牠們。
6	因此我不再憐恤這地的居民。”耶和華這樣宣告。“我快要把他們各人交在彼此和君王的手中！他們要摧毀這地，我也不會救這地脫離他們的手。”
 	兩根杖的比喻
7	於是，我牧養這群將被宰殺的羊，就是羊群中最困苦的。我取了兩根杖，一根我稱為“恩寵”，另一根稱為“聯合”。這樣我就牧養羊群。
8	一個月之內我除滅三個牧人。我的心厭煩他們，他們的心也討厭我。
9	我說：“我不再牧養你們了；那將要死的，讓牠死吧！那將要被除滅的，讓牠被除滅吧；那些餘剩的，讓牠們彼此吞吃對方的肉吧！”
10	然後，我拿起我那根稱為“恩寵”的杖，把它折斷，表示要廢除我與萬民所立的約；
11	當天，那約就廢除了。這樣，那些注視我的困苦羊群，就知道這是耶和華的話。
12	我對他們說：“你們如果認為好，就給我工資；不然，就算了。”於是他們稱了三十塊銀子作為我的工資。
13	耶和華對我說：“把銀子丟給陶匠！”這就是我被他們估定的高價。我就拿了那三十塊銀子，在耶和華的殿裡丟給陶匠。
14	接著，我折斷那稱為“聯合”的第二根杖，表示要廢除猶大和以色列之間的手足之情。
 	離棄羊群的牧人有禍了
15	耶和華對我說：“你再去取愚頑牧人的裝備來。
16	因為我快要在這地興起一個牧人；那些快要被除滅的他不看顧，四散的他不尋找，受傷的他不醫治，健康的他不餵養，他卻要吃肥羊的肉，撕去牠們的蹄子。
17	那離棄羊群的無用牧人有禍了！刀劍將落在他的手臂和他的右眼上；他的手臂將全然枯槁，他的右眼會完全失明！”
第十二章
 	耶和華必保護耶路撒冷
1	耶和華關於以色列宣判的話。耶和華鋪張天空，奠立大地的根基，造成人裡面的靈，他宣告：
2	“我快要使耶路撒冷成為令周邊萬民喝醉的杯！她被圍困的時候，猶大也會被圍困。
3	到那日，當地上萬國聚集起來攻擊耶路撒冷的時候，我要使她成為萬民的一塊沉重石頭，凡扛起她的人都會受重傷。
4	耶和華說：“到那日，我要擊打每一匹馬，使牠們恐慌；擊打騎馬的人，使他們瘋癲；我要睜大眼睛看顧猶大家，卻要擊打萬民的每一匹馬，使牠們失明。
5	那時，猶大的族長心裡會想：‘耶路撒冷的居民靠萬軍之耶和華他們的神，成為我們的力量。’
6	到那日，我要使猶大的族長們像木柴中的火盆，又像禾捆中的火把；他們要向左右吞噬周邊的萬民，但耶路撒冷人仍將在原處，就是在耶路撒冷安居。”
7	耶和華要先拯救猶大的帳篷，免得大衛家的榮耀和耶路撒冷居民的榮耀大過猶大的榮耀。
8	到那日，耶和華要護衛耶路撒冷的居民；他們中間最衰弱的人，到那日也將如大衛一樣堅強，大衛家要像神，像行在他們前面的耶和華使者。
9	“到那日，我要殲滅前來攻擊耶路撒冷的列國。”
 	極大的哀哭
10	“我要把施恩和懇求的靈傾倒在大衛家和耶路撒冷居民的身上。他們要仰望我，就是他們所刺的那一位；他們將為他哀哭，像喪獨子；為他悲痛，像喪長子。
11	到那日，在耶路撒冷將有極大的哀哭，像在米吉多平原上的哈達琳門的哀哭一樣。
12	這地要哀哭，一個家族一個家族獨在一處哀哭。大衛家的家族獨在一處，他們的婦女也獨在一處；拿單家的家族獨在一處，他們的婦女也獨在一處；
13	利未家的家族獨在一處，他們的婦女也獨在一處；示每的家族獨在一處，他們的婦女也獨在一處；
14	其餘所有家族都一個家族一個家族獨在一處，他們的婦女也獨在一處。”
第十三章
 	偶像和假先知必被滅絕
1	“到那日，將有一個泉源，為大衛家和耶路撒冷的居民而開，好洗除罪惡與不潔。”
2	萬軍之耶和華宣告：“到那日，我要從這地除掉偶像的名號，它們再也不會有人記得；那些假先知和那污穢的靈，我也要從這地除去。
3	如果有人再為神傳話，他的親生父母會對他說：‘你不該活著，因為你假借耶和華的名說謊。’他為神傳話的時候，他的親生父母要把他刺死。
4	到那日，那些假先知為神傳話的時候，每一個都要因自己所論的異象而蒙羞；他再也不會穿毛外衣來欺騙人。
5	那時他會說：‘我不是先知，我是耕地的人；因為我自幼以來，就被賣為奴。’
6	如果有人對他說：‘在你軀幹上的這些是甚麼傷痕呢？’他就會回答：‘這些是在愛我的人家裡所受的傷。’”
 	擊打牧人的預言
7	萬軍之耶和華宣告：“刀劍啊，醒來吧，攻擊我的牧人，攻擊我的同伴吧！要擊打牧人，羊群就分散；我也要轉過手來攻擊那些地位低微的牧人。”
8	耶和華宣告：“在這全地上，其中三分之二的人要被除滅；只有三分之一會存留。
9	我要使這三分之一進入火中，我好熬煉他們，像熬煉銀子一樣；我好試煉他們，像試煉金子一樣。他們將呼喚我的名，我就應允他們。我要說：‘他們是我的子民。’他們也要說：‘耶和華是我的神。’”
第十四章
 	耶和華的日子來到時的情景
1	耶和華的日子很快就要來到，仇敵從你們那裡奪去的戰利品要在你們中間瓜分。
2	我要招聚萬國來與耶路撒冷作戰，城將被攻佔，房屋要被搶掠，婦女會被強姦。城中的民一半要被擄去，但剩下的人不會從這城被剪除。
3	那時，耶和華要出去，與那些國家交戰，像他從前在爭戰的日子作戰一樣。
4	到那日，他的雙腳要站在耶路撒冷東面的橄欖山上；橄欖山將從中間向東向西裂開，成為極大的山谷。山的一半向北挪移，一半向南挪移。
5	你們會經由我的山谷逃跑，因為山谷必伸展到亞悉；你們會逃跑，好像在猶大王烏西雅年間逃避大地震那樣。耶和華我的神將要來臨，所有的聖者都與他同來。
6	到那日，不會有光，只有寒冷和嚴霜。
7	將有獨特的一天，只有耶和華知道；不是白晝，不是黑夜，在傍晚時分有光。
8	到那日，活水會從耶路撒冷流出來；一半流往東海，另一半流往西海；夏天冬天都是這樣。
 	耶和華是全地獨一的王
9	耶和華將為王統治全地；到那日，耶和華會獨一無二，他的名也獨一無二。
10	從迦巴直到耶路撒冷南方的石榴鎮，全地都會變得像亞拉巴；但耶路撒冷將在原處巍然屹立，從便雅憫門到第一門的地方，到角門，又從哈楠業樓到王的榨酒池。
11	人們可以住在城中，再也不會被滅絕；耶路撒冷的人將安然居住。
 	敵國面臨的審判與刑罰
12	以下是耶和華要降下的災疫，用來擊打所有與耶路撒冷爭戰的民族：他們各人雙腳還站立的時候，他就使他們的肌肉腐爛，他們的眼球要在眼眶裡腐爛，他們的舌頭要在口腔中腐爛。
13	到那日，耶和華將使他們非常慌亂，他們互相揪住對方的手，並揚起手來互相攻擊。
14	猶大也會在耶路撒冷爭戰；周邊所有列國的財物，包括極多的金子、銀子和衣服，都將被收聚起來。
15	照樣，像這類的災疫也要臨到馬匹、騾子、駱駝、驢和營中所有的牲畜。
 	萬民將敬拜大君王萬軍之耶和華
16	上來攻擊耶路撒冷的列國中所有剩下來的人，將會年年上來敬拜大君王萬軍之耶和華，並慶祝住棚節。
17	地上的萬族中，凡不上耶路撒冷來敬拜大君王萬軍之耶和華的人，就不會有雨降在他們那裡。
18	埃及族若不上來，就不會有雨降在他們那裡，那些不上來慶祝住棚節的列國，耶和華要用這災疫擊打他們。
19	這是埃及面臨的刑罰，也是所有不上來慶祝住棚節的列國面臨的懲罰。
20	到那日，馬的鈴鐺將刻上“歸耶和華為聖”；耶和華殿裡的鍋要好像祭壇前的潑血碗一樣。
21	耶路撒冷和猶大所有的鍋都會歸萬軍之耶和華為聖；所有獻祭的人都會來取這些鍋，用來煮祭肉。到那日，在萬軍之耶和華的殿中，再也不會有商人。
