創世記
第一章
 	神創造天地萬物
20	亞當就給各種牲畜、天空的飛鳥，以及田野的各種動物都起了名字；可是亞當沒有找到一個與他相配的幫助者。
21	耶和華神使亞當沉睡；在他睡著的時候，取出他的一根肋骨，又使肉在原處合起來。
22	耶和華神用從亞當身上取出的肋骨，造成一個女人，把她帶到亞當面前。
23	亞當說：“這一個終於是我骨中的骨，我肉中的肉；這一個要稱為‘女人’，因為從男人身上取出來的，是這一個。”
24	為這緣故，男人將離開父母，與妻子親密相連，二人成為一體。
25	亞當和妻子兩人赤身露體，彼此都不覺得羞恥。
第三章
 	始祖被引誘違背神的命令
1	在耶和華神造的所有田野動物之中，蛇最狡猾。牠對女人說：“神真的說過，你們不可吃園裡任何樹的果子嗎？”
2	女人對蛇說：“園裡樹上的果子，我們可以吃，
3	但是園子中央那棵樹的果子，神曾經說過：‘你們不可吃，也不可摸，否則你們就會死！’”
4	蛇對女人說：“不，你們一定不會死！
5	其實神知道，你們哪一天吃了，眼睛就會打開，你們會像神一樣，能知道善惡。”
6	女人看那棵樹的果子是很好的食物，可以滿足眼睛的欲望，又喜愛它能使人聰慧，就拿那棵樹的果子吃了；也給了與她在一起的丈夫，他就吃了。
7	他們兩人的眼睛就開了，知道自己赤身露體，於是拿無花果樹的葉子編起來，做成圍腰給自己遮羞。
8	天晚起風的時候，亞當和妻子聽見耶和華神在園裡來回行走的聲音，就藏在園子的樹叢裡，躲避耶和華神的面。
9	耶和華神呼喚亞當，對他說：“你在哪裡？”
10	他說：“你的聲音我在園裡聽見了，就害怕得躲起來，因為我赤身露體。”
11	耶和華神說：“是誰告訴你，說你赤身露體呢？那棵樹的果子我吩咐你不可吃，莫非你吃了嗎？”
12	亞當說：“是那個女人——你給我、跟我在一起的，是她把那棵樹的果子給我，我就吃了。”
13	耶和華神對女人說：“你怎麼會做出這樣的事？”女人說：“那條蛇誘騙我，我就吃了。”
 	懲罰與應許
14	於是耶和華神對蛇說：“因為你做了這樣的事，所以在所有牲畜和所有田野動物之中，你必受詛咒最重！你會用肚子行走，有生之日都吃塵土。
15	我要把仇恨放在你和女人之間、你的後裔和她的後裔之間；女人的後裔會傷你的頭，你會傷他的腳跟。”
16	對女人，他說：“我要大大增加你懷胎的痛苦，你生孩子時要經受產痛。你會戀慕你的丈夫，他卻要管轄你。”
17	對亞當，他說：“因為你聽從妻子的話，吃了那棵樹的果子，就是我吩咐你不可吃的，所以土地必因你的緣故受詛咒；你有生之日都會勞苦，才能從土地裡得食。
18	土地要給你長出荊棘、蒺藜，你會吃田野的草穀豆蔬，
19	汗流滿面才得糊口，直到你回歸土地，因為你是從土地取出來的；你既然是塵土，還會回歸塵土。”
 	始祖被逐出伊甸園
20	亞當給妻子起名叫夏娃，因為她是眾生之母。
21	耶和華神為亞當夫婦做了皮衣，給他們穿上。
22	耶和華神說：“現在亞當已經像我們當中的一個，能知善惡，所以不要讓他又伸手摘生命樹上的果子吃，否則他就會永遠活著！”
23	於是，耶和華神把他趕出伊甸園去耕種土地——他是從土地取出來的；
24	耶和華把亞當驅逐出去，又在伊甸園的東邊派駐眾基路伯和旋轉的火焰刀，把守通往生命樹的路。
第四章
 	該隱殺亞伯
1	亞當和妻子夏娃親近，夏娃就懷孕，生了該隱，她說：“我靠耶和華得了一個男孩。”
2	後來她又生了該隱的弟弟亞伯。亞伯成為牧羊人，該隱則成為耕種土地的人。
3	過了好些日子，該隱拿土地裡的出產來作供物，獻給耶和華。
4	亞伯也把自己羊群裡一些頭胎生的和牠們肥美的部分拿來獻上。耶和華看中了亞伯和他的供物，
5	至於該隱和他的供物，耶和華沒有看中。該隱就非常憤怒，臉都沉了下來。
6	耶和華對該隱說：“你為甚麼憤怒？為甚麼沉下臉來？
7	你若做得好，就必蒙接納；你若做得不好，罪就伏在門口；它渴想得到你，你可要制伏它。”
8	該隱對他的弟弟亞伯說：“我們到田野去吧。”他們在田野的時候，該隱就起來襲擊弟弟亞伯，把他殺了。
9	耶和華對該隱說：“你的弟弟亞伯在哪裡？”他說：“我不知道。難道我是弟弟的監護人嗎？”
10	耶和華說：“你做了甚麼？你弟弟的血不斷從土地裡發出聲音向我呼冤。
11	土地開了口，從你手裡接收了你弟弟的血，現在你必承受詛咒離開這片土地。
12	你耕種土地，土地不會再為你效力；你會在地上漂泊流浪。”
13	該隱對耶和華說：“我的刑罰太重，我承受不了！
14	今天你趕我離開這片土地，使我隱藏離開你的面；我將在地上漂泊流浪，凡遇見我的，都會殺我。”
15	耶和華對他說：“這樣吧，凡殺該隱的，都會遭報復七倍。”耶和華就在該隱身上做了一個記號，免得任何遇見他的人殺他。
16	於是該隱出去，離開耶和華的面，住在伊甸東邊的流浪之地。
 	該隱的後代
17	該隱和妻子親近，她就懷孕，生了以諾。那時該隱在建造一座城，就按他兒子的名字，給城起名叫以諾。
18	以諾生以拿，以拿生米戶雅利，米戶雅利生瑪土撒利，瑪土撒利生拉麥。
19	拉麥娶了兩個妻子，第一個名叫阿黛，第二個名叫慈拉。
20	阿黛生雅拔，雅拔就是住帳篷牧畜者的鼻祖。
21	雅拔的兄弟名叫猶拔；猶拔是所有彈琴吹簫者的鼻祖。
22	至於慈拉，她也生了圖拔該隱，就是打造各種銅鐵器具的匠人；圖拔該隱的妹妹是拿瑪。
23	拉麥對兩個妻子說：“阿黛、慈拉，要聽我的聲音；拉麥的妻子，張開耳朵聽我的話：我殺了一個男人，因他傷我，還有一個年輕人，因他打我；
24	害該隱，會遭報復七倍；害拉麥，會遭報復七十七倍！”
 	塞特代替亞伯
25	亞當又和妻子親近，她就生了一個兒子，給他起名叫塞特，意思是：“神給我立了另一個後裔代替亞伯，因為該隱把他殺了。”
26	至於塞特，他也生了一個兒子，給他起名叫以挪士。那時候，人開始呼求耶和華的名。
第五章
 	亞當及其後代
（代上1:1~4）
1	以下是亞當及其後代的記載：在神創造人之日，照著神的樣式，他造了他們；
2	男和女，他都創造了；在他們被創造之日，神賜福給他們，給他們起名叫“人”。
3	亞當活到一百三十歲的時候，照自己的樣式，按自己的形象生了一個兒子，起名叫塞特。
4	生塞特以後，亞當的日子有八百年；他還生了許多兒女。
5	亞當的日子共有九百三十年，他就死了。
6	塞特活到一百零五歲的時候，生了以挪士。
7	塞特生以挪士以後，又活了八百零七年；他還生了許多兒女。
8	塞特的日子共有九百一十二年，他就死了。
9	以挪士活到九十歲的時候，生了該南。
10	以挪士生該南以後，又活了八百一十五年；他還生了許多兒女。
11	以挪士的日子共有九百零五年，他就死了。
12	該南活到七十歲的時候，生了瑪勒列。
13	該南生瑪勒列以後，又活了八百四十年；他還生了許多兒女。
14	該南的日子共有九百一十年，他就死了。
15	瑪勒列活到六十五歲的時候，生了雅列。
16	瑪勒列生雅列以後，又活了八百三十年；他還生了許多兒女。
17	瑪勒列的日子共有八百九十五年，他就死了。
18	雅列活到一百六十二歲的時候，生了以諾。
19	雅列生以諾以後，又活了八百年；他還生了許多兒女。
20	雅列的日子共有九百六十二年，他就死了。
21	以諾活到六十五歲的時候，生了瑪土撒拉。
22	以諾生瑪土撒拉以後，與神同行了三百年；他還生了許多兒女。
23	以諾的日子共有三百六十五年。
24	以諾與神同行，後來不在了，因為神把他接走。
25	瑪土撒拉活到一百八十七歲的時候，生了拉麥。
26	瑪土撒拉生拉麥以後，又活了七百八十二年；他還生了許多兒女。
27	瑪土撒拉的日子共有九百六十九年，他就死了。
28	拉麥活到一百八十二歲的時候，生了一個兒子，
29	給他起名叫挪亞，說：“但願這個兒子安慰我們，使我們脫離雙手工作的勞苦，脫離耶和華詛咒了的土地！”
30	拉麥生挪亞以後，又活了五百九十五年；他還生了許多兒女。
31	拉麥的日子共有七百七十七年，他就死了。
32	挪亞到了五百歲以後，生了閃、含、雅弗。
第六章
 	人類敗壞，挪亞蒙恩
1	人在地面上開始增多，他們有許多女兒生下來；
2	神的兒子們看見人的女兒們很美麗，其中凡是他們選中的，他們就娶了為妻。
3	耶和華說：“我的靈不會永遠留在人裡面，因為他們畢竟是肉體；然而，他們的日子還有一百二十年。”
4	神的兒子們和人的女兒們交合，她們生下兒子，在那些日子地上就有巨人出現——以後也有；他們是上古有名的強人。
5	耶和華看見人在地上罪惡滔滔，整天在心裡思想盤算的只有邪惡。
6	耶和華就後悔在地上造了人，心中悲痛。
7	耶和華說：“我要把我創造的人從地面上除滅，連人帶牲畜、爬行的動物、天空的飛鳥都除滅，因為我後悔造了他們。”
8	但是挪亞在耶和華眼前蒙恩。
 	神命義人挪亞建造方舟
9	以下是挪亞及其後代的事：挪亞在他的世代是個義人，為人正直。挪亞常與神同行。
10	挪亞生了三個兒子，就是閃、含、雅弗。
11	大地在神眼中敗壞了，地上充滿殘暴。
12	神觀看大地，看見它已經敗壞；一切肉體在地上的行為盡都敗壞。
13	神對挪亞說：“我已經決定，一切肉體的大限將到，因為他們使地上充滿殘暴。我很快就要把他們和大地一起毀滅！
14	而你，要造一艘歌斐木方舟，方舟裡面要造一些艙房；方舟內外都要塗上防水塗料。
15	你要這樣造方舟：方舟要長三百肘，寬五十肘，高三十肘。
16	方舟上要做一個透光口，距離頂部一肘；方舟的門要開在旁邊；要造底層、第二層、第三層。
17	我很快就要使洪水臨到大地，毀滅天下一切有生命氣息的肉體；地上一切都要滅亡。
18	但是我要和你立約。你要進入方舟——你、你的兒子、妻子、兒媳婦和你一起。
19	而且，一切有生命的，一切肉體，你要把每樣一對帶進方舟，好使牠們和你一同保存生命；一對是一公一母。
20	各類飛鳥、各類牲畜、各種各類在土地上的爬行動物，每樣一對，都要來到你那裡，以保存生命。
21	至於你，你要拿各種可吃的食品，儲存在你身邊，作你和他們的食物。”
22	挪亞就去做；神所吩咐他的一切，他都照樣做了。
第七章
 	挪亞受命進入方舟
1	耶和華對挪亞說：“你和你全家都要進入方舟，因為在這個時代，我看見只有你在我面前是個義人。
2	各樣潔淨的牲畜，你要各帶七公七母；不潔淨的牲畜，你要各帶一公一母；
3	天空的飛鳥，也要各帶七公七母，為要在全地上傳種存活；
4	因為再過七天，我就要降雨在地上，一連四十晝夜，把我所造一切存活的都從地面上除滅。”
5	挪亞就照耶和華吩咐他的一切做了。
6	洪水臨到地上的時候，挪亞已經六百歲了。
7	挪亞和他的兒子、妻子、兒媳婦一同進入方舟，躲避洪水。
8	潔淨的牲畜和不潔淨的牲畜，飛鳥和各種在土地上爬行的動物，
9	都一對一對地來到挪亞那裡，進入方舟，各一公一母，是照神吩咐挪亞的那樣。
10	過了七天，洪水臨到地上。
11	挪亞活到六百歲那年，二月十七日那天，巨大深淵的所有泉源破土湧出，天上的水閘盡都打開，
12	大雨降在地上，一連四十晝夜。
13	就在那一天，挪亞、挪亞的兒子閃、含、雅弗，以及挪亞的妻子和三個兒媳婦，一同進入方舟——
14	他們，還有各種各類野獸、各種各類牲畜、各種各類在地上活動的爬行動物、各種各類飛鳥，就是所有雀鳥、所有有翅膀的，都進去了。
15	凡有生命氣息的肉體，都各有一對來到挪亞那裡，進入方舟。
16	所有肉體都有一公一母進去，是照神吩咐挪亞的那樣。然後，耶和華把挪亞關在裡面。
 	洪水氾濫
17	洪水臨到，在地上四十天。方舟因水漲而上浮，漂離地面。
18	大水氾濫，在地上暴漲，方舟在水面漂流。
19	大水在地上氾濫，極其浩大，天下高山都被淹沒，
20	氾濫的水比山高出十五肘之多，群山都被淹沒。
21	一切在地上活動的肉體——飛鳥、牲畜、野獸、所有在地上群居的小動物、所有的人，都滅亡了；
22	凡在陸地上，鼻孔裡有生命之氣的都死了。
23	耶和華除滅了地面上一切存活的，從人類到牲畜，到爬行的動物，到天空的飛鳥；他們就從地上被除滅了，只餘下挪亞和那些與他一同在方舟裡的。
24	洪水在地上氾濫了一百五十天。
第八章
 	洪水消退，露出乾地
1	神顧念挪亞，以及與他一同在方舟裡的所有野獸、所有牲畜；神使風吹過大地，水就開始減退。
2	深淵的泉源和天上的水閘盡都關閉，天降的暴雨止住。
3	水漸漸從地上退走、退回，過了一百五十天，水消減了。
4	七月十七日，方舟停在亞拉臘的山嶺上。
5	水漸漸退走、消減，直到十月；到了十月一日，群山的頂峰露出來了。
6	過了四十天，挪亞打開他所造方舟的窗戶，
7	放出一隻烏鴉。牠出去後，來回地飛，直到水從地上乾掉。
8	挪亞又從他身邊放出一隻鴿子，要看看水從地面上退了沒有。
9	因為遍地都是水，鴿子找不到歇腳的地方，就回到方舟挪亞那裡。挪亞伸手接住鴿子，把牠帶回自己那裡，帶進方舟。
10	他又等了七天，再把鴿子從方舟放出去。
11	黃昏時分，鴿子回到挪亞那裡。看哪，有一片新鮮的橄欖樹葉在牠嘴裡！挪亞就知道地上的水已經退了。
12	挪亞再等了七天，又放出鴿子，鴿子就再也沒有回到他那裡了。
13	挪亞六百零一歲那年的一月一日，地上的水漸乾；挪亞移開方舟的蓋觀看，看見地面漸乾。
14	到了二月二十七日，大地就乾了。
 	挪亞受命走出方舟
15	神吩咐挪亞說：
16	“你、你的妻子、兒子、兒媳婦都要從方舟裡出來。
17	所有和你一起的動物，就是一切有肉體的——飛鳥、牲畜、一切在地上活動的爬行動物，你都要帶出來；牠們要在地上滋生，在地上繁衍、增多。”
18	於是，挪亞和他的兒子，以及他的妻子和兒媳婦都出來了；
19	所有野獸、所有爬行動物、所有飛鳥、所有在地上活動的，也都按著自己的族類出了方舟。
 	挪亞築壇，獻上燔祭
20	挪亞為耶和華築了一座祭壇，取來各種潔淨的牲畜和潔淨的飛鳥，獻在祭壇上作為燔祭。
21	耶和華聞到這可喜悅的馨香，耶和華心裡就說：“人從小在心裡盤算的就已經邪惡，我不會再因這個緣故詛咒土地，也不會再擊殺所有生物，像我做過的那樣。
22	只要大地尚存，種和收、冷和熱、夏和冬、晝和夜就不會停息。”
第九章
 	神與挪亞及大地一切生物立約
1	神賜福挪亞和他的兒子們，對他們說：“你們要繁衍、增多，遍滿大地。
2	地上所有野獸、天空的所有飛鳥、所有在土地上爬行的動物、海裡所有的魚，都將畏懼你們，害怕你們，這一切都交在你們手裡了。
3	所有活的動物都可以作你們的食物，我把這一切都賜給你們，就像從前賜給你們草穀豆蔬等植物一樣。
4	但是帶著性命的肉，就是帶著血的，你們不可吃。
5	殺害你們性命的血債，我必追討；是任何野獸做的，我都會向牠追討；是人做的——哪怕是人自己兄弟做的，我都會向他追討人命。
6	誰使人流血喪命，人也要使他流血喪命；因為神造人是按自己的形象。
7	至於你們，要繁衍、增多，在地上滋生，在地上增多。”
8	神對挪亞和與他一起的兒子們說：
9	“我現在就與你們、與你們未來的後裔立我的約，
10	並且與所有跟你們在一起有生命的動物立約，就是跟你們在一起的飛鳥、牲畜和地上所有野獸——所有出了方舟的，還有地上所有活物立約。
11	我與你們立我的約：所有肉體不會再被滔滔洪水除滅，不會再有洪水毀滅大地了。”
12	神說：“我與你們，並且與所有跟你們在一起有生命的動物立約，以此為記號，直到永世萬代：
13	我的弓，我放在雲裡，作為我與大地立約的記號。
14	每當我使雲出現在大地上空，弓出現在雲裡，
15	我就顧念我的約，就是我與你們以及一切有生命的動物－－與一切肉體所立的約：水不會再變成洪水來毀滅所有肉體了。
16	弓在雲裡出現，我看見了就會顧念這個永遠之約，就是神與地上一切有生命的動物、一切肉體所立的。”
17	神對挪亞說：“這就是我與地上一切肉體所立之約的記號。”
 	挪亞和兒子們
18	挪亞的兒子，從方舟裡出來的，是閃、含、雅弗——含是迦南的父親。
19	這三個人是挪亞的兒子，他們的後裔散布全地。
20	挪亞是農夫，他最先栽種葡萄園。
21	他喝了園中的酒，醉了，在自己帳篷中脫光衣服。
22	迦南的父親含看見自己父親的裸體，就到外邊告訴兩個兄弟。
23	於是，閃和雅弗拿了一件外衣，搭在他們二人的肩膀上，倒退著走進去，蓋住父親的裸體；因為他們背著臉，所以沒有看見父親的裸體。
24	挪亞酒醒以後，知道小兒子對他所做的事，
25	就說：“迦南必受詛咒，他要給自己的兄弟們做奴僕的奴僕。”
26	又說：“耶和華閃的神配受稱頌；願迦南做閃的奴僕。
27	願神使雅弗擴張，願他住在閃的帳篷裡；願迦南做他的奴僕。”
28	洪水以後，挪亞又活了三百五十年。
29	挪亞的日子共有九百五十年，他就死了。
第十章
 	挪亞的兒子們及其後代
（代上1:5~23）
1	以下是挪亞的兒子閃、含、雅弗及他們後代的事：洪水以後，他們都生了兒子。
2	雅弗的兒子是歌每、瑪各、瑪代、雅完、土巴、米設、提拉。
3	歌每的兒子是亞實基拿、利法、陀迦瑪。
4	雅完的兒子是以利撒和塔施，基提人和羅單人。
5	這些人的後裔散開，成為沿海各國，在各自的土地，各有自己的語言，各有多個家族，在各自的國家。
6	含的兒子是古實、埃及、普特、迦南。
7	古實的兒子是西巴、哈腓拉、撒弗他、拉瑪、撒弗提迦。拉瑪的兒子是示巴和底但。
8	古實又生寧錄；寧錄最先在地上成為強人。
9	他在耶和華面前是個狩獵的強人；因此有句話說：“在耶和華面前是個狩獵的強人，有如寧錄！”
10	他王國的發源地是示拿地區的巴別、以力、亞甲、甲尼。
11	他從那片土地擴展到亞述，建造了尼尼微、利河伯以若、迦拉，
12	和尼尼微與迦拉之間的利鮮，就是那座大城。
13	埃及生路低人，亞拿米人、利哈比人、拿弗土希人、
14	帕斯盧細人、迦斯路希人、迦斐託人；非利士人是從迦斯路希人出來的。
15	迦南生了長子西頓，又生赫特，
16	還有耶布斯人、亞摩利人、革迦撒人、
17	希未人、亞基人、西尼人、
18	亞瓦迪人、洗瑪利人、哈馬人。後來迦南人的各個家族分散了。
19	迦南人的領土從西頓延伸向基拉耳，直到迦薩；又延伸向所多瑪、蛾摩拉、押瑪、瑟博，直到拉沙。
20	這些人是含的子孫，各有多個家族，各有自己的語言，在各自的土地、各自的國家。
21	閃也生了孩子，他是希伯所有子孫的祖宗，雅弗是他的兄長。
22	閃的兒子是以攔、亞述、亞法撒、路德、亞蘭。
23	亞蘭的兒子是烏斯、戶勒、基帖、瑪施。
24	亞法撒生舍拉，舍拉生希伯。
25	希伯生了兩個兒子，一個名叫法勒，因為他在世的時候，大地的人就分開了；他的兄弟名叫約坍。
26	約坍生亞摩答、沙列、哈薩瑪非、耶拉、
27	哈多蘭、烏薩、德拉、
28	俄巴路、亞比瑪利、示巴、
29	俄斐、哈腓拉、約巴，所有這些人都是約坍的兒子。
30	他們居住的地方從米沙延伸向東邊山區的錫發。
31	這些人是閃的子孫，各有多個家族，各有自己的語言，在各自的土地，各有自己的國家。
32	這些是挪亞子孫的家族，各有後代，在各自的國家。洪水以後，各個國家從他們而出，散開在地上。
第十一章
 	巴別事件
1	初時，全地只有一種語言，說一樣的話。
2	人們向東遷移的時候，在示拿地找到一片平原，就住在那裡。
3	他們彼此說：“來！我們做磚，把磚燒得硬硬的！”於是他們以磚作石頭，以瀝青作灰泥。
4	他們又說：“來！我們為我們自己建一座城和一座塔，塔頂要通天。我們要為我們自己揚名，免得我們分散在整個大地上。”
5	耶和華下來，要看看世人建造的城和塔。
6	耶和華說：“看哪，他們所有人是一個民族，只有一種語言，一開始就做這樣的事，以後他們圖謀做任何事，都不會做不到了。
7	來！我們下去，在那裡打亂他們的語言，使他們彼此言語不通！”
8	於是，耶和華使他們從那裡分散到整個大地上，他們就停止了建造那座城。
9	因此，那座城名叫巴別，因為耶和華在那裡打亂了地上所有人的語言，而且耶和華從那裡使他們分散到整個大地上。
 	閃及其後代
（代上1:24~27）
10	以下是閃及其後代的事：洪水以後兩年，閃一百歲的時候，生了亞法撒。
11	閃生亞法撒以後，又活了五百年；他還生了許多兒女。
12	亞法撒活到三十五歲的時候，生了舍拉。
13	亞法撒生舍拉以後，又活了四百零三年；他還生了許多兒女。
14	舍拉活到三十歲的時候，生了希伯。
15	舍拉生希伯以後，又活了四百零三年；他還生了許多兒女。
16	希伯活到三十四歲的時候，生了法勒。
17	希伯生法勒以後，又活了四百三十年；他還生了許多兒女。
18	法勒活到三十歲的時候，生了拉吳。
19	法勒生拉吳以後，又活了二百零九年；他還生了許多兒女。
20	拉吳活到三十二歲的時候，生了西鹿。
21	拉吳生西鹿以後，又活了二百零七年；他還生了許多兒女。
22	西鹿活到三十歲的時候，生了拿鶴。
23	西鹿生拿鶴以後，又活了二百年；他還生了許多兒女。
24	拿鶴活到二十九歲的時候，生了他拉。
25	拿鶴生他拉以後，又活了一百一十九年；他還生了許多兒女。
26	他拉活到七十歲的時候，生了亞伯蘭、拿鶴、赫蘭。
 	他拉及其後代
27	以下是他拉及其後代的事：他拉生亞伯蘭、拿鶴、赫蘭；赫蘭生羅得。
28	赫蘭當父親他拉還在的時候，死在出生地，就是迦勒底的吾珥。
29	亞伯蘭和拿鶴都娶了妻子；亞伯蘭的妻子名叫莎萊；拿鶴的妻子名叫蜜迦，是赫蘭的女兒。赫蘭是蜜迦和怡迦的父親。
30	莎萊不能生育，沒有孩子。
31	他拉帶著兒子亞伯蘭、孫子即赫蘭的兒子羅得、兒媳婦即亞伯蘭的妻子莎萊，和他們一同出了迦勒底的吾珥，要往迦南地去。他們到了哈蘭，就住在那裡。
32	他拉的日子共有二百零五年。他拉死在哈蘭。
第十二章
 	亞伯蘭蒙耶和華呼召
1	耶和華對亞伯蘭說：“你要離開你的出生地、你的父家，到我要指示你的地去。
2	我要使你成為大國，我要賜福給你，我要使你的名為大；你要成為蒙福的人；
3	我要賜福給那些祝福你的人；那詛咒你的人，我要詛咒；地上萬族都會藉著你蒙福。”
4	亞伯蘭就照耶和華吩咐他的去了；羅得和他同去。亞伯蘭離開哈蘭的時候七十五歲。
5	亞伯蘭帶著妻子莎萊和侄兒羅得，連同他們在哈蘭所積蓄的一切財物和所獲得的奴僕，一同出來，往迦南地去。他們來到了迦南地。
6	亞伯蘭穿越那地，直到示劍一帶、摩利的橡樹那裡。當時，迦南人住在那地。
7	耶和華向亞伯蘭顯現，說：“我要把這片土地賜給你的後裔。”亞伯蘭就在那裡為向他顯現的耶和華築了一座祭壇。
8	然後他從那裡起行，到伯特利東邊的山地，搭起帳篷，西邊是伯特利，東邊是艾城；他在那裡也為耶和華築了一座祭壇，呼求耶和華的名。
9	亞伯蘭漸漸遷移到南地去。
 	亞伯蘭下埃及
10	當時，那地發生饑荒。因為那地的饑荒十分嚴重，亞伯蘭就下埃及去，要在那裡寄居。
11	快到埃及的時候，他對妻子莎萊說：“求求你：我知道你是個美貌的女子，
12	埃及人一看見你就會說‘這是他的妻子’，殺了我，讓你活著——
13	求你說你是我妹妹，這樣，我就會因為你而得到善待，靠你保住性命。”
14	亞伯蘭進埃及的時候，埃及人注意到那個女人非常美麗。
15	法老的大臣看見了莎萊，都在法老面前稱讚她；於是那個女人被帶進了法老宮中。
16	至於亞伯蘭，法老則因為那個女人而善待他，他就得到許多羊、牛、公驢、男奴僕、女奴僕、母驢、駱駝。
17	耶和華卻因為亞伯蘭妻子莎萊的緣故，用種種嚴重的災病擊打法老和他的全家。
18	於是，法老把亞伯蘭召來，對他說：“你怎麼會對我做出這樣的事？你為甚麼不告訴我她是你的妻子？
19	你為甚麼說她是你妹妹，以致我娶她為妻呢？現在，你的妻子在這裡，帶她走吧！”
20	於是，法老為了亞伯蘭的事吩咐眾人，他們就把他和他的妻子，以及屬於他的一切都送走。
第十三章
 	亞伯蘭返回迦南
1	亞伯蘭帶著妻子和他擁有的一切，還有羅得和他一起，從埃及上來往南地去。
2	亞伯蘭非常富有，有很多牲畜、銀子、金子。
3	他從南地一程一程地遷移到伯特利，到了伯特利和艾城之間，他從前支搭帳篷的地方，
4	也就是他曾經築祭壇的地方。亞伯蘭又在那裡呼求耶和華的名。
5	與亞伯蘭同行的羅得，也有羊群、牛群和好些帳篷。
