哥林多後書
第一章
 	問候
4	我寫信給你們的時候非常痛苦，心裡難過，流了很多眼淚，目的不是要你們悲傷，而是要你們知道我多麼愛你們。
 	饒恕犯罪的弟兄
5	如果有人使別人悲傷，他不是使我悲傷，而是使你們眾人都有幾分悲傷；我只說“有幾分”，以免說得太重了。
6	這樣的人受了大多數人的責罰就已經夠了；
7	你們現在反要饒恕他，安慰他，免得這樣的人因悲傷過度而無法自拔。
8	所以，我勸你們鄭重肯定你們對他的愛。
9	其實我當時寫那封信的原因，就是要考驗你們是不是凡事順從。
10	你們在甚麼事上饒恕誰，我也饒恕；我所饒恕的——不管我饒恕了甚麼，是為你們的緣故在基督面前而饒恕，
11	免得我們被撒但佔了便宜，因為我們並非不曉得他的詭計。
 	基督的馨香
12	當我為基督福音的緣故去到特羅亞的時候，雖然主給我開了門，
13	但我因為見不到提多弟兄，心裡就沒有安寧。於是我辭別了那裡的人，動身往馬其頓去。
14	感謝神，他總是在基督裡把我們當作俘虜押在凱旋的行列中，又藉著我們在各地散播因認識他而有的香氣。
15	因為無論是在那些正蒙拯救的人還是走向滅亡的人當中，我們都是基督的馨香，是獻給神的；
16	對於走向滅亡的人是死亡的氣味叫人死，對於正蒙拯救的人卻是生命的香氣叫人活。這些事誰能勝任呢？
17	我們不像許多人那樣把神的道摻假兜售，而是出於真誠、出於神，在神面前和在基督裡傳講。
第三章
 	新約的榮耀
1	我們又開始推薦自己嗎？難道我們像有些人那樣，需要拿推薦信給你們，或要向你們拿推薦信嗎？
2	你們就是我們的推薦信，寫在我們心裡，給眾人知道、誦讀，
3	這顯明你們就是基督的書信，藉著我們寫成，不是用墨，而是用永活神的靈寫的；不是寫在石版上，而是寫在肉身的心版上。
4	我們在神面前，藉著基督才有這樣的信心。
5	這不是說，我們憑自己就能勝任，以為甚麼是出於自己的；而是說，我們勝任的能力是出於神。
6	他使我們勝任做新約的僕人，這新約不是律法條文的約，而是聖靈的約；因為律法條文使人死，聖靈卻使人活。
7	如果以色列人因為摩西臉上的榮耀而不能注視他的臉，儘管那榮耀漸漸消失——如果那藉著刻在石版上的律法條文而使人死的職事帶著榮耀而來，
8	出於聖靈的職事豈不是更有榮耀嗎？
9	如果那定人有罪的職事有榮耀，這使人稱義的職事就更榮耀滿溢了！
10	那從前有榮耀的，現在因這無比的榮耀，就算不上有榮耀了；
11	如果那漸漸消失的也有榮耀，這長存的就更有榮耀了。
12	所以，我們既然有這樣的盼望，行事就大有膽量，
13	我們不像摩西那樣，他用帕子蒙臉，使以色列人不能注視那漸漸消失之事的結局。
14	可是，他們的心思變得頑梗不化。事實上，直到今日，他們聽到人宣讀舊約的時候，這帕子仍然存在——這帕子沒有揭開，因為它在基督裡才被廢棄。
15	可是直到今日，每逢聽到人宣讀摩西的書，這帕子還蓋在他們的心上。
16	但是他們甚麼時候歸向主，這帕子就甚麼時候除掉了。
17	主就是那靈；主的靈在哪裡，哪裡就有自由。
18	至於我們所有人，臉上的帕子既然已經揭開，好像在鏡子裡看見主的榮耀，就變得越來越與主的形象一樣，從榮耀到榮耀，如同從主而來的榮耀，主就是那靈。
第四章
 	福音的光
1	所以，我們既然蒙了憐憫，得到這職事，就不沮喪，
2	反而棄絕那些可恥的隱祕之事；不以詭詐行事，不摻混神的道，反而藉著顯揚真理，在神面前把自己向所有人的良心顯明。
3	即使我們的福音被遮蔽，那也是在走向滅亡的人當中被遮蔽。
4	這現世時代的神弄瞎了不信者的心眼，不讓他們在光中清楚看見福音的光，這福音傳揚基督的榮耀，基督就是神的形象。
5	要知道，我們不是傳揚自己，而是傳揚耶穌基督是主，並且為了耶穌的緣故成為你們的奴僕。
6	因為那位曾說“要有光從黑暗裡照出來”的神，已經照耀在我們的心裡，使我們得到光，認識神的榮耀——這光顯在基督的臉上。
 	我們必死的肉身顯出神的榮耀
7	我們有這寶物在瓦器裡，為要顯明無比的能力屬於神，不是出於我們。
8	我們時時處處受壓迫，卻沒有被逼入絕境；茫然失措，卻沒有茫然絕望；
9	遭受迫害，卻沒有被遺棄；受致命重擊，卻沒有喪命。
10	我們身上常常帶著耶穌的死亡，好讓耶穌的生命也在我們身上顯明出來——
11	真的，我們這些活著的人，為耶穌的緣故不斷被交去受死，好讓耶穌的生命也在我們必死的肉身上顯明出來。
12	這樣，死亡在我們身上發揮力量，生命卻在你們身上發揮力量。
13	經上記著：“我信，所以我說出來。”既然我們持有的信心和經上記著的一樣，我們也就信，所以也說出來，
14	因為知道那使主耶穌復活的，也會使我們與耶穌一同復活，並且會把我們與你們一起呈獻在他的面前。
15	這一切都是為了你們，好使恩典臨到越來越多的人，謝恩就越發增多，使榮耀歸於神。
16	所以，我們並不沮喪，雖然我們外在的人漸漸朽壞，內在的人卻日日更新，
17	要知道，我們這短暫輕微的患難，是要為我們成就極重無比、永恆的榮耀，
18	因為我們注目的不是那些看得見的事情，而是那些看不見的事情；看得見的是暫時的，看不見的才是永恆的。
第五章
 	渴望天上的居所
1	因為我們知道，如果我們地上的帳篷居所被拆毀了，我們就有從神而來的房屋，那不是人手所造的，而是天上永存的居所。
2	事實上，我們現今在這帳篷裡面呻吟，渴望穿上那從天上來的住所為外衣；
3	真的穿上了，就不會衣不蔽體。
4	我們這些在帳篷裡面的人因為受重壓而呻吟，不是想脫去這個帳篷，而是想穿上那個住所為外衣，好使這必死的被生命吞滅。
5	那為此預備好我們的就是神，他已經把聖靈賜給我們作為保證。
6	因此，我們一直都坦然無懼，並且知道我們住在身體內就是與主分離——
7	因為我們憑著所信的行事，不憑看得見的行事；
8	是的，我們坦然無懼，寧願與身體分離，與主同住。
9	所以，我們立定志向，無論是住在身體內還是與身體分離，都要討主喜悅。
10	因為我們所有人都一定會在基督的審判台前顯明，好使每個人都按著自己身體所行的善惡受報。
 	勸人與神和好
11	我們既然知道主是可畏的，就想勸服眾人，但我們在神面前是顯明的——我盼望我們在你們的良心裡也是顯明的。
12	我們不是再次向你們推薦自己，而是讓你們有機會誇耀我們，使你們可以應付那些只誇外貌不誇內心的人。
13	如果我們瘋狂，那是為了神；如果我們清醒，那是為了你們。
14	要知道，基督的愛使我們不由自主，因為我們已經認定：既然一個人為所有人死了，所有人就都死了。
15	他為所有人死，好使活著的人不再為自己活著，而是為基督活著，基督為他們死了，而且復活了。
16	所以，從今以後，我們不再從肉體的角度來認識人；雖然我們曾經從肉體的角度來認識基督，但是現在不再這樣認識他了。
17	因此，人如果在基督裡，就是新造的人，舊事已經過去，已變成新的了！
18	這一切都是出於神，他藉著基督使我們與他自己和好，並且把這和好的職事賜給我們，
19	這就是說，神在基督裡使世人與他自己和好，不追究他們的過犯，並且把和好的道理託付給我們。
20	因此，我們就是代表基督的特使，神藉著我們勸勉你們，我們代表基督請求你們：與神和好吧！
21	神使那無罪的為我們成為罪，使我們在他裡面成為神的義。
第六章
 	保羅表明自己是神的僕人
1	我們這些與神同工的人，也勸勉你們不要徒然領受神的恩典。
2	因為他說：“在悅納的時候，我垂聽了你；在拯救的日子，我幫助了你。”要知道，現在就是悅納的時候！現在就是拯救的日子！
3	我們不在任何事上給人放置絆腳石，免得這職事被人挑剔；
4	相反，我們作為神的僕人，就在各種事上都以極大的堅忍來表明自己，就如患難、苦難、困苦、
5	拷打、坐牢、暴亂、勞苦、不眠、禁食、
6	純潔、知識、寬容、恩慈、聖靈、無偽的愛、
7	真理的道、神的大能；並且是藉著左右兩手中公義的武器，
8	藉著榮耀和羞辱，藉著毀謗和讚譽。被當作騙子，卻是真誠的；
9	不被承認，卻備受承認；正要死去，然而我們還活著！受嚴懲，卻沒有被處死；
10	悲傷，卻常常喜樂；貧窮，卻使很多人富足；一無所有，卻擁有一切。
11	哥林多人啊，我們對你們，口是坦率的，心是敞開的。
12	我們對你們沒有保留，你們對我們的情感卻有保留。
13	你們要同樣以敞開的心回報我們，我說這話就像是對兒女說的。
 	分別為聖
14	你們和不信的人不要異類同軛：公義和不法怎能合作？光明和黑暗有甚麼交情？
15	基督和魔鬼怎能一致？信的人和不信的人有甚麼可以共享？
16	神的聖所和偶像有甚麼協定？要知道，我們就是永活神的聖所，正如神說：“我會住在他們中間，在他們中間行走；我會做他們的神，他們會做我的子民。”
17	所以主說：“你們要從他們中間出來，和他們分開，不可接觸不潔淨之物，我就收納你們。”
18	“我會做你們的父親，你們會做我的兒女。這是主，全能主宰說的。”
第七章
1	所以，親愛的啊，我們既然有了這些應許，就應該潔淨自己，除去肉身和心靈上的一切污穢，存敬畏神的心，得以成為聖潔。
 	哥林多人悔改，保羅得喜樂
2	敞開你們的心容納我們吧！我們沒有虧負誰，沒有使誰受損失，也沒有佔誰的便宜。
3	我這樣說，不是要定你們的罪，因為我早已說過，你們常在我們心裡，我們願意跟你們同生共死！
4	我對你們大有信心，為你們多多誇口；我心裡滿有安慰，在我們的一切患難中格外充滿喜樂。
5	事實上，儘管我們到了馬其頓，肉身也還沒有安寧，反而處處遭受患難，外面有爭戰，裡面有恐懼。
6	但那安慰沮喪者的神，藉著提多的到來，安慰了我們；
7	不但藉著他來，也藉著他從你們所得的安慰，安慰了我們。他把你們的渴望、你們的哀慟和你們對我的熱誠都告訴了我們，因此我就更加歡喜。
8	雖然我在那封信中使你們悲傷，但我現在並不後悔；其實我曾經後悔，因為知道那封信使你們悲傷，儘管只是暫時的悲傷。
9	現在我快樂，不是因為你們悲傷，而是因為你們的悲傷帶來了悔改。你們當時按神的意思悲傷，就沒有因我們而蒙受任何虧損。
10	因為按神的意思悲傷，可以產生悔改以至得救，不用後悔；世俗的悲傷卻會產生死亡。
11	的確，你們按照神的意思悲傷，在你們當中就產生了何等的熱誠、申辯、憤慨、戰兢、渴望、熱誠、正義；你們在各方面都表明了自己在那件事上是清白的。
12	所以，從前我雖然給你們寫過信，卻不是為了那虧負人的，也不是為了那被虧負的人，而是為了在神面前向你們顯明你們對我們的熱誠。
13	因此，我們得了安慰。在這安慰之外，我們因提多的喜樂就更加歡喜，因為你們大家讓他的心靈得到寬慰。
14	即使之前我對他誇獎過你們甚麼，我也沒有蒙羞；正如從前我們對你們所說的一切都是真實的，照樣，我們過去在提多面前對你們的誇獎也成了事實。
15	而且當他想起你們大家的服從，想起你們怎樣恐懼戰兢地接待他時，他懷念你們的心就更加熱切了。
16	現在我很歡喜，因為我在一切事上都對你們有信心。
第八章
 	馬其頓聖徒樂捐的榜樣
1	弟兄們，我們現在把神賜給馬其頓眾教會的恩典告訴你們：
2	雖然他們受到的患難是極大的考驗，然而他們因為滿溢著喜樂，就從極度的貧乏裡湧流出豐厚的慷慨來。
3	我可以作證，他們是按著能力，甚至是超過了能力，自願地
4	再三請求我們讓他們得到恩典，就是能夠有分捐助聖徒。
5	他們超過了我們所期望的，照著神的旨意先把自己獻給主，然後也獻給我們。
6	因此，我們請求提多，他既然早已開始了這恩典的事，就應該在你們那裡把這事辦好。
7	你們在一切事上，就如信心、言辭、知識、熱誠和對我們的愛，既然都出類拔萃，那麼，在這恩典的事上，也要出類拔萃。
 	勸信徒完成恩典的事
8	我這樣說，不是吩咐你們，而是藉著別人的熱誠來考驗你們愛的真誠。
9	你們知道我們主耶穌基督的恩典：他本來富足，卻為你們變得貧窮，好使你們因他的貧窮而變得富足。
10	我在這事上表示我的意見，是對你們有益處的：你們去年早已開始做這件事——不僅去做，也願意去做。
11	所以現在就應該把這事辦好；你們既然有願做這事的熱心，就該按照你們所擁有的財力去完成。
12	因為人如果有熱心就蒙悅納，是按照他所擁有的，不是按照他所沒有的。
13	這不是要別人輕鬆，你們為難，而是要大家都均等。
14	現在你們富裕就要補助他們的缺乏，將來他們富裕也可以補助你們的缺乏；這樣就均等了，
15	正如經上所記：“多的沒有過剩，少的也不缺乏。”
16	感謝神，他把我對你們的熱誠同樣放在提多心裡。
17	提多固然接受了我們的請求，但他自己更加熱誠，自願到你們那裡去。
18	我們還派了一位弟兄和他同去；這人在福音的事工上，得到眾教會的稱讚。
19	不僅這樣，眾教會還選派這位弟兄與我們一起帶著這恩典的捐款同行，這捐獻的服侍是為了主的榮耀，也是為了表明我們的熱心。
20	我們這樣安排，免得有人因為我們經管這一大筆捐款而挑剔我們。
21	因為，我們不僅關心主認為美的事，也關心眾人認為美的事。
22	我們還派了另一位弟兄與他們同去；我們曾經在許多事上多次考驗過他，知道他很熱誠；他現在因為對你們大有信心，就更加熱誠了。
23	至於提多，他是我的同伴，為你們的緣故與我同工；還有我們那兩位弟兄，他們是眾教會所派的，是基督的榮耀。
24	所以，你們要在眾教會面前，向他們證明你們的愛和我們對你們的誇獎都是真的。
第九章
 	樂於捐輸的人為神喜愛
1	關於捐助聖徒的事，其實我沒有必要給你們寫信，
2	因為我知道你們有熱心。我向馬其頓人誇耀你們，說：“亞該亞人去年已經預備好了。”你們的熱心就激勵了許多人。
3	不過我派了這些弟兄去，好讓你們可以如我所說的準備妥當，使我們在這事上對你們的誇獎不致落空，
4	萬一有馬其頓人和我一起來到，見你們還沒有準備好，那時別說你們，就是我們也要因為這樣信任你們而蒙羞。
5	因此，我認為必須請求那幾位弟兄先到你們那裡去，使你們事先籌足從前答應慷慨的捐贈。這樣你們準備好的就是你們慷慨的捐贈，不是我們勉強你們的了。
6	還有，撒種稀少的，就會收穫稀少；撒種慷慨的，就會獲得慷慨的對待。
7	各人要按自己的心願去做，不要為難，不必勉強，因為神喜愛樂於捐輸的人。
8	神能把各樣的恩典更多加給你們，使你們凡事常常充足，更多做各樣的善事。
9	正如經上所記：“他廣施錢財賙濟窮人；他的義行存到永遠。”
10	但是那賜種子給撒種者，又賜食物給人吃的神，將會把種子多多賜給你們，並且增添你們的義果，
11	使你們凡事富裕，能夠非常慷慨；你們的慷慨藉著我們就可以使人向神謝恩，
12	因為這捐助的侍奉不僅可以補助眾聖徒的缺乏，也使許多人盈溢著對神的感謝。
13	這捐助的事使許多人把榮耀歸給神，因為這事提供了明證，顯出你們服從自己宣認的基督福音，慷慨地賙濟眾聖徒和眾人。
14	他們熱切地想念你們，為你們禱告，因為神賜給你們無比的恩典。
15	感謝神，他的恩澤難以言表。
第十章
 	保羅闡明他的權柄與工作
1	我保羅跟你們面對面的時候是卑微的，不在你們那裡的時候卻是大膽的！我現在親自以基督的溫和寬厚懇求你們：
2	我求你們，當我去到你們那裡的時候，不要讓我用大膽自信對待你們；我認為對付那些看我們為順著肉體行事的人，才要敢於這樣自信。
3	我們雖然活在肉身裡，卻不是順著肉體作戰，
4	因為我們作戰所用的兵器不屬於肉體，而有神的能力，可以毀掉堅固的堡壘：毀掉各樣詭辯
5	和一切阻擋人認識神的高牆，並且把一切心意奪回來順服基督。
6	我們已經準備好了，等你們完全順服的時候，就懲罰所有不順服的人。
7	你們看事情只看表面。如果有人深信自己屬於基督，他就應該再想一想：他屬於基督，我們也同樣屬於基督。
8	要知道，主把權柄賜給我們，是要建立你們，不是要毀掉你們，就算我為這權柄過分誇口了一點，我也不會覺得慚愧。
9	不要以為我寫這些信是要恐嚇你們。
10	因為有人說：“他的信又嚴厲，又強硬，他親身出現時卻軟弱無能，言辭可鄙！”
11	說這種話的人要想一想：我們不在你們那裡的時候在信上怎樣寫，來到的時候也會怎樣做。
12	其實我們不敢和那些自我推薦的人相提並論；他們用自己的標準來量度自己，他們之間又互相比較，實在不明智。
13	至於我們，我們誇口並不會越過限定的範圍，而是在神分配給我們的範圍之內；這範圍甚至延伸到了你們那裡。
14	要是我們沒有到過你們那裡，現在就是越過了界限；但事實上，首先是我們把基督的福音連你們那裡也傳過去的。
15	我們並沒有越過限定的範圍，拿別人的勞苦來誇口；我們只是盼望你們信心增長，我們的範圍就因你們而大大擴展，
16	使我們可以把福音傳到你們以外的地方。別人在他範圍內完成的工作，我們不會拿來誇口。
17	誇耀的人應該誇耀主，
18	因為蒙認可的，不是推薦自己的人，而是主所推薦的人。
第十一章
 	提防詭詐的假使徒
1	真希望你們容忍我這一點點的愚昧——其實你們該容忍我！
2	我以神的熱情熱愛你們，因為我已經把你們許配給一個丈夫，作為貞潔的童女獻給基督。
3	我恐怕你們的心受到引誘，失去對基督的真誠和貞潔，好像從前蛇用詭計欺騙了夏娃一樣。
4	事實上，如果有人來宣講另一位耶穌，不是我們宣講過的，或者你們領受一個不同的靈，不是你們領受過的，或者你們接受一個不同的福音，不是你們接受過的——你們竟然樂意容忍！
5	但是我認為自己沒有一點比不上那些“超級使徒”；
6	我雖然不善辭令，卻不乏知識，我們已經在各個方面和各樣事上向你們顯明了。
7	我當時免費把神的福音傳給你們，我這樣貶低自己，使你們高升，算是犯罪嗎？
8	我“搶掠”了別的教會，接受他們的供應來服侍你們！
9	我在你們那裡有缺乏的時候，卻沒有給任何人造成負擔，因為從馬其頓來的弟兄們補足了我的缺乏。我在各方面都不曾讓自己成為你們的負擔，將來也是一樣。
10	既有基督的真理在我裡面，在亞該亞一帶就沒有人能阻止我這樣誇口。
11	為甚麼呢？是我不愛你們嗎？神知道我愛你們！
12	我現在所做的事，將來還要做，為要杜絕投機分子，不讓他們在所誇的事上看起來跟我們一樣。
13	這樣的人是假使徒，是詭詐的工人，把自己偽裝成基督的使徒。
14	不用驚奇，因為連撒但自己也偽裝成光明的天使！
15	所以，如果撒但的僕人偽裝成公義的僕人，也算不了甚麼大事。他們這樣做，最終會有該有的下場！
 	保羅可誇的受苦經歷
16	我再說，誰也不要認為我是愚昧人；就算你們真的認為我是這樣，也該接納我這個愚昧人，使我可以稍微誇口。
17	我這樣滿有自信地誇口，不是照著主的吩咐，而是好像愚昧人那樣說話。
18	既然有許多人倚靠肉體誇口，我也要誇口。
19	你們那麼精明，竟然樂意容忍愚昧人。
20	事實上，就算有人奴役你們，吞吃你們，佔你們便宜，對你們趾高氣揚，打你們的臉，你們也都容忍！
21	說來慚愧，我們太軟弱了。說句愚昧話，如果有人在甚麼事上敢誇口，我也敢！
22	他們是希伯來人嗎？我也是。他們是以色列人嗎？我也是。他們是亞伯拉罕的後裔嗎？我也是。
23	他們是基督的僕人嗎？說句狂話，我更是！我勞苦更多，坐牢更多，受拷打不計其數，常常有生命危險。
24	我被猶太人鞭打過五次，每次四十下減去一下，
25	被棍打過三次，被石頭打過一次，遭遇海難三次，在深海漂流了一天一夜；
26	我多次行遠路，遭遇江河的危險、強盜的危險、來自同族的危險、來自外族的危險、城裡的危險、荒野裡的危險、海上的危險、假弟兄的危險；
27	我勞苦艱辛，多次不眠，又飢又渴，常常禁食，在寒冷中衣不蔽體。
28	除了這些事以外，還有為各教會掛心的事天天壓在我的身上。
29	有誰軟弱，我不軟弱呢？有誰被人誘惑犯罪，我不怒火如焚呢？
30	我如果必須誇口，就誇那些表明我軟弱的事。
31	主耶穌的父神——永遠配受稱頌的那一位，知道我沒有說謊！
32	在大馬士革，亞里達王手下的總督把守著大馬士革城，要拘捕我，
33	我就被人放在一個大籃子裡，從城牆的窗戶縋下去，逃脫了他的手。
第十二章
 	樂意誇自己的軟弱
1	誇口固然無益，卻也是必要的。現在我要說說主的異象和啟示。
2	我認識一個在基督裡的人，他十四年前突然被提到第三層天上去，是不是帶著身體呢？我不知道；是不是在身體以外呢？我也不知道；只有神知道。
3	我認識這個人；他是帶著身體被提，還是離開身體被提，我都不知道，只有神知道。
4	他被提到樂園裡，聽見不可言傳的話，這話是不許人說的。
5	為了這個人，我要誇口；但是為了我自己，除了我的軟弱以外，我不誇口。
6	我即使想誇口，也不算愚昧，因為我要說的是真話；但是我卻閉口不提，免得有人把我看得太高，超過他在我身上看見或聽見的，
7	縱然我這些啟示無與倫比。所以，為了避免我高抬自己，就有一根刺加在我身上，就是有撒但的差役來攻擊我，為了避免我高抬自己。
8	為了這事，我曾經三次求主讓這根刺離開我。
9	他卻對我說：“我的恩典足夠你用，因為我的能力在人的軟弱上顯得完美。”所以，我更樂意誇自己的軟弱，好讓基督的能力住在我裡面。
10	因此，我為基督的緣故，就以軟弱、凌辱、苦難、迫害和困苦為喜樂，因為我甚麼時候軟弱，甚麼時候就剛強了。
 	保羅表明他對哥林多教會的愛
11	我成為愚昧的人，是你們逼我的。其實我應該得到你們推薦，因為我雖然算不得甚麼，卻沒有一點比不上那些“超級使徒”。
12	我在你們當中用極大的堅忍，用神蹟、奇能和大能，把使徒的憑據確實表明出來。
13	除了我自己沒有成為你們的負擔，你們還有甚麼比不上別的教會呢？請原諒我這不公平的對待吧！
14	好了，我已經準備好第三次到你們那裡去，這一次也不會成為你們的負擔，因為我所要的不是你們的東西，而是你們自己。兒女不必為父母積蓄，而父母必須為兒女積蓄。
15	至於我，我甘心樂意為你們的生命而耗費，甚至耗盡自己。難道我越愛你們，就越少得到你們的愛嗎？
16	但就算如此，我也沒有成為你們的重擔。可是，你們有人說，我是個狡猾的人，曾用詭計詐騙你們！
17	我派去你們那裡的人，我藉著哪一個佔過你們便宜呢？
18	我請求提多到你們那裡去，又派那位弟兄一同去——提多佔過你們的便宜嗎？提多與我不是同心行事嗎？不是步調一致嗎？
19	你們一直以為我們是在向你們申辯，對嗎？我們是在基督裡當著神說話。親愛的啊，這一切都是為了建立你們。
20	我恐怕我來到的時候，見你們不如我所期望的，你們見我也不如你們所期望的，恐怕有紛爭、嫉妒、惱怒、自私、毀謗、造謠、狂傲、混亂的事；
21	又怕我再來的時候，我的神使我在你們面前沮喪，並且使我為許多從前犯罪的人哀痛，因為他們做了污穢、淫亂、邪蕩的事，卻不肯悔改。
第十三章
 	勸勉和祝福
1	這將會是我第三次到你們那裡去。任何事情都要憑兩三個證人的口供才可以確定。
2	我第二次到你們那裡去時已經說過，我如今不在你們那裡，再預先警告那些犯了罪的人和其餘各人：“我再來的時候，就不會寬容。”
3	因為你們在找基督藉著我說話的憑據——基督對待你們並不軟弱，反而在你們當中有大能；
4	他因軟弱被釘死了，卻靠神的大能活著；我們在他裡面也是軟弱的，卻也要靠神向你們所顯的大能與他一同活著。
5	你們要察看自己是不是持守著信仰；要檢驗自己！難道你們不明白耶穌基督在你們裡面嗎？除非你們經不起檢驗。
6	我希望你們明白，我們並非經不起檢驗。
7	我們祈求神使你們不做任何壞事，不是要顯明我們經得起檢驗，而是要你們行善；至於我們，就讓我們做經不起檢驗的人好了！
8	我們做任何事都不能違背真理，只能維護真理。
9	當我們軟弱、你們剛強的時候，我們就歡喜；我們所祈求的，就是要你們回轉。
10	因此，我不在你們那裡的時候寫這些話，到我來了就不必憑著主給我的權柄嚴厲地對待你們；主給我這權柄不是要毀掉你們，而是要建立你們。
11	最後，弟兄們，你們要喜樂，要回轉，要接受勸勉，要同心，要和睦。這樣，施慈愛賜平安的神就會與你們同在。
12	你們要用聖潔的吻彼此問候。
13	眾聖徒都問候你們。
14	願主耶穌基督的恩典、神的愛、聖靈所賜的親密情誼，與你們眾人同在！
