列王紀下
第一章
 	先知預言亞哈謝必死
2	他做耶和華視為惡的事，但還不至於像他父母那樣，因為他除去了他父親所做的巴力神碑。
3	只是尼拔的兒子耶羅波安導致以色列人犯罪的那些罪，他卻戀戀不捨，沒有轉離。
 	摩押背叛以色列
4	摩押王米沙是個飼養羊群的人。他進貢了十萬隻綿羊羔和十萬隻公綿羊的毛給以色列王。
5	亞哈死後，摩押王背叛以色列王。
6	那時約蘭王從撒瑪利亞出來點閱以色列的軍隊。
7	他出發的時候派人到猶大王約沙法那裡，說：“摩押王背叛我，你肯不肯和我一起去攻打摩押呢？”約沙法說：“我願意上去；你我不分彼此，我的軍隊就像是你的軍隊，我的戰馬就像是你的戰馬。”
8	約沙法問：“我們從哪條路上去呢？”約蘭回答：“從伊東荒野的路。”
 	三王聯軍合攻摩押
9	於是以色列王、猶大王和伊東王繞道走了七天的路程。軍隊和隨行的牲畜都沒有水喝。
10	以色列王說：“哎呀，耶和華招聚我們這三位君王，是要把我們交在摩押人的手中！”
11	約沙法說：“這裡不是有耶和華的先知嗎？我們可以託他求問耶和華。”以色列王的一個臣僕說：“這裡有沙法的兒子以利沙，他從前是以利亞的助手。”
12	約沙法說：“他一定有耶和華的話。”於是以色列王、約沙法和伊東王都去到他那裡。
 	以利沙的預言
13	以利沙對以色列王說：“我和你有甚麼瓜葛呢？去問你父母的那些先知吧！”以色列王對他說：“不要這樣說！耶和華招聚我們這三位君王，是要把我們交在摩押人手中。”
14	以利沙說：“我指著我所侍奉永活的萬軍之耶和華起誓，若不是看在猶大王約沙法的情面，我根本不會理你，看都不看你。
15	現在，給我找一個琴師來。”當琴師彈琴的時候，耶和華的能力就臨到他身上。
16	以利沙說：“耶和華這樣說：‘要在這溪谷到處挖水溝。’
17	因為耶和華這樣說：‘你們雖然沒有看見風，也沒有看見雨，但這溪谷將充滿水，你們和牲畜都有水喝。
18	這在耶和華眼中算是小事，他還要把摩押交在你們手中。
19	你們要攻破所有的堅城和所有繁華的都市；各種佳美的樹木，你們都要砍下；所有的水泉，你們都要堵塞；所有的良田，你們都要用石頭破壞。’”
20	到了早上，在獻祭的時候，忽然有水從伊東流來，遍地就滿了水。
 	摩押人戰敗
21	摩押全國聽見這幾位君王上來要攻打他們，就召集所有能夠武裝上陣的人，不論老幼，都聚集防守邊界。
22	第二天早上，他們起來的時候，陽光照在水上，摩押人從遠處看見水紅得像血一樣。
23	他們說：“這是血啊！一定是那些王互相攻擊，自相殘殺；現在，摩押人啊，去搶掠吧！”
24	他們來到以色列營，以色列人起來擊殺摩押人，摩押人就逃跑離開以色列人。以色列人就攻進摩押，擊殺他們。
25	那些城市，他們毀壞；所有良田，他們堆滿石頭；所有水泉，他們都堵塞；各種佳美的樹木，他們都砍下，直到吉珥哈列設只剩下城牆，還有甩石的兵圍攻它。
26	摩押王見戰事慘烈，大勢已去，就帶領七百持刀的兵，想要向伊東王那邊突圍出去，可是沒有成功，
27	於是他把那要接替他為王的長子，在城牆上獻為燔祭。以色列人遭遇極大的憤怒，只得離開他，回國去了。
第四章
 	油倒不盡的神蹟
1	先知弟子中有一個人的妻子哀求以利沙，說：“你僕人我的丈夫死了，而你自己知道，你的僕人一向敬畏耶和華。現在債主來要帶走我的兩個孩子給他做奴僕。”
2	以利沙對她說：“我可以為你作甚麼？告訴我，你家裡有甚麼？”她說：“婢女家中只有一小瓶橄欖油，此外甚麼都沒有。”
3	以利沙說：“你到外面去，向左鄰右舍借空的器皿，越多越好。
4	然後回家，關上門，你和你兩個兒子在屋裡，把橄欖油倒入所有的器皿裡面，裝滿了就放在一邊。”
5	於是婦人辭別以利沙。她回去關上門，自己和兒子在屋裡；他們不斷把器皿拿給她，她就不斷把橄欖油倒進去。
6	器皿都倒滿了，她還對兒子說：“再拿一個器皿給我。”他對她說：“再沒有器皿了。”橄欖油就止住了。
7	她去告訴神人，神人說：“你去把橄欖油賣掉，還清債務，你們母子可以靠剩下的過活。”
 	書念貴婦接待以利沙而蒙恩生子
8	有一天，以利沙經過書念，那裡有一位貴婦堅持留他用餐。此後，每逢他經過那裡，總會過去用餐。
9	那婦人對她的丈夫說：“你看，我知道經常從我們這裡經過的那人，是個神聖的神人。
10	讓我們蓋一間有牆的頂樓，在裡面為他擺設床鋪、桌子、椅子和燈盞；他到我們這裡來的時候，就可以在那裡休息。”
11	有一天，以利沙來到那裡，就上頂樓休息，在那裡躺臥。
12	他對他的僕人基哈西說：“你叫這書念的婦人來！”於是他叫婦人來，婦人就站在以利沙面前。
13	以利沙對他的僕人說：“你對她說：‘我看得出你為我們費了這麼多心思。我可以為你做些甚麼呢？你有甚麼事需要我替你向王或元帥說嗎？’”她說：“我已在自己的人民中間安居。”
14	以利沙就對僕人說：“我到底可以為她做些甚麼呢？”基哈西說：“其實，她沒有兒子，而她的丈夫也老了。”
15	於是以利沙說：“叫她來！”基哈西就去叫她來，婦人站在房門口。
16	以利沙說：“到了指定的日期，明年這個時候，你會懷抱一個兒子。”她說：“我主，神人啊，不要欺騙你的婢女！”
17	後來，照以利沙對她所說的那樣，這婦人果然懷孕，到了指定的日期，第二年那個時候，她就生了一個兒子。
 	貴婦求神人救猝死的孩子
18	孩子漸漸長大。有一天，他出來到收割的工人那裡去見父親。
19	他對父親說：“我的頭！我的頭！”父親對僕人說：“把他抱到他母親那裡！”
20	於是僕人抱起他，送到他母親那裡。孩子坐在他母親的雙膝上，到中午就死了。
21	她把孩子抱上頂樓，放在神人的床上；婦人把他關在裡面，就出去了。
22	她呼喚丈夫，說：“請你派一個僕人為我牽一頭驢子來。我要趕到神人那裡，隨後就回來。”
23	丈夫說：“今天不是新月節，也不是安息日，你為甚麼要去見他呢？”她說：“沒事的，你安心吧。”
24	於是她備好驢，騎上，對僕人說：“你來趕驢前行，除非我告訴你，否則不要因為我而慢下來。”
25	於是她起程，往迦密山去見神人。神人從遠處看見她的時候，就對僕人基哈西說：“看，書念的婦人在那邊呢！
26	現在你跑去迎接她，對她說：‘你平安嗎？你的丈夫平安嗎？你的兒子平安嗎？’”她說：“平安。”
27	她來到山上見到神人，就抱住神人的腳。基哈西上前要推開她，但神人說：“由她吧，因為她心裡悲苦。耶和華瞞著我，沒有告訴我。”
28	婦人說：“我曾向我主求過兒子嗎？我早已說過‘不要欺哄我’了！”
 	以利沙使貴婦兒子復活的神蹟
29	神人對基哈西說：“你束上腰，手裡拿著我的手杖前去。不論遇見誰，都不要問候；如果有人問候你，你也不要回答他，只要去把我的手杖放在孩子的臉上。”
30	孩子的母親說：“我指著永活的耶和華和你的性命起誓，我決不會離開你。”以利沙只好起身，跟隨她去了。
31	基哈西先到，把手杖放在孩子的臉上，可是沒有聲音，也沒有反應；於是他回來迎著以利沙，告訴他說：“孩子沒有醒過來。”
32	以利沙來到婦人的家，看見孩子死了，躺在以利沙的床上。
33	他就進去，關上門，只有他和孩子二人在房間裡，然後他向耶和華禱告。
34	他上床伏在孩子身上，口對口，眼對眼，手心對手心；他伏在孩子身上，孩子的身體就漸漸溫暖起來。
35	然後以利沙下來，在房內來回走了一趟，再上去伏在孩子身上；那孩子一連打了七個噴嚏，跟著就張開眼睛。
36	神人呼喚基哈西，說：“你去叫那書念婦人來。”他就去叫她，她來到以利沙那裡，以利沙就說：“把你的兒子抱起來。”
37	於是婦人進去，跪倒在以利沙腳前，伏地下拜，然後把兒子抱出去。
 	以利沙用麵粉解毒的神蹟
38	以利沙又回到吉甲，那地正遭遇饑荒。有些先知弟子坐在他面前。以利沙對僕人說：“把大鍋放在火上，給先知弟子煮點東西吃。”
39	有一個人到田野裡去採摘野菜。他找到一棵野葡萄藤，就從藤那裡摘了些野瓜，用衣服裝了一大兜。他回來，把瓜切好放入煮鍋中，他們不知道那些瓜有害。
40	隨後他們倒出來給眾人吃，他們在吃鍋裡的東西的時候，都慘叫起來，說：“神人啊，鍋中有致死的毒物！”他們就不敢吃了。
41	他說：“拿些麵粉！”他把麵粉放入鍋中，說：“倒出來給眾人吃吧！”鍋裡就沒有任何毒物了。
 	神人給百人吃飽的神蹟
42	有一個人從巴力沙利沙來，他帶給神人二十個用首批收成的大麥做的餅，還有新穗子，裝在他的袋子裡。神人說：“把這些給眾人吃吧！”
43	但他的僕人說：“就這麼一點食物，我怎能擺在一百個人面前呢？”神人說：“給眾人吃吧！因為耶和華這樣說：‘他們會夠吃，而且還會有餘剩的。’”
44	於是僕人把餅擺在眾人面前，正如耶和華所說的那樣，他們都吃了，而且還有餘剩的。
第五章
 	拿曼患嚴重皮膚病
1	亞蘭王的元帥拿曼，在他的主人面前是個重要人物，甚得器重，因為耶和華曾藉著他把勝利賜給亞蘭。這人是個強大的勇士，可惜他患上嚴重皮膚病。
2	曾經有一次，亞蘭人出去突襲搶掠以色列地，從那裡擄來一個小女孩，她就侍候拿曼的妻子。
3	她對女主人說：“如果主人去見撒瑪利亞的先知多好啊！他一定會治好主人的嚴重皮膚病。”
4	於是拿曼去告訴自己的主人，說：“以色列地的女孩子如此這般說。”
5	亞蘭王說：“你去吧！我會讓你帶一封信給以色列王。”拿曼就去了，隨行帶上十他連得銀子，約六千舍客勒金子和十套衣裳。
6	他把信帶給以色列王，信上說：“現在，當這封信送達給你，你見到我派去見你的臣僕拿曼，就要治好他的嚴重皮膚病。”
7	以色列王讀了信，就撕裂自己的衣服，說：“難道我是神，能叫人死、能叫人活嗎？這人竟派一個患嚴重皮膚病的人到我這裡來，要我治好他！你們一看就曉得，他是故意找機會來為難我。”
 	以利沙治好拿曼
8	神人以利沙聽見以色列王撕裂自己的衣服，就派人去對王說：“你為甚麼撕裂自己的衣服呢？讓他來見我，他就會知道在以色列中有先知。”
9	於是拿曼乘著他的車馬前來，停在以利沙家的門口。
10	以利沙派使者去對他說：“你到約旦河裡去沐浴七次，你的肉就會康復，得到潔淨。”
11	拿曼卻發怒走了，他說：“我以為他必定會出來見我，站著呼求耶和華他神的名，舉手放在患處，消除這嚴重皮膚病。
12	難道大馬士革的亞罷拿河與法珥法河，不比以色列所有河流更好嗎？難道我不可以在那裡沐浴而得潔淨嗎？”於是他怒火沖沖地轉身走了。
13	他的僕人們上前，對他說：“我父啊，如果先知吩咐你做一件大事，難道你不去做嗎？何況他只是對你說，你去沐浴就得潔淨呢？”
14	於是他下去，按照神人的吩咐，在約旦河裡浸了七次。他的肉就康復，如同小孩子的肉，他就得了潔淨。
 	以利沙不接受拿曼的禮物
15	拿曼和他所有的隨員回到神人那裡。他進去，站在神人面前，說：“現在我確實知道，除了以色列以外，全地都沒有神。所以，請你收下你僕人一點禮物吧！”
16	以利沙說：“我指著我所侍奉的永活耶和華起誓，我決不收取任何禮物。”拿曼再三促請他接受，他還是拒絕。
17	拿曼說：“你如果不肯收我的禮物，就請賜你僕人兩頭驢子可以馱的泥土，因為你的僕人再也不會獻燔祭或平安祭給別的神，只會獻給耶和華。
18	但有一件事，求耶和華赦免你的僕人；我的主人進琳門廟那裡下拜的時候，我要攙扶著他，因此，我也得在琳門廟下拜。我在琳門廟下拜這件事，願耶和華赦免你的僕人。”
19	以利沙說：“你安心去吧！”於是拿曼離開他去了，走了一段路程。
 	基哈西貪財受罰
20	神人以利沙的僕人基哈西心裡想：“我的主人竟然不肯從這亞蘭人拿曼手中收取他帶來的禮物！我指著永活的耶和華起誓，我要追上他，向他要些東西！”
21	於是基哈西追趕拿曼。拿曼看見有人追上來，就下車迎著他，說：“平安嗎？”
22	他說：“平安。我主人派我來說：‘剛才有兩個年輕人，都是先知的弟子，從以法蓮山地來到我這裡，請你給他們一他連得銀子和兩套衣服。’”
23	拿曼說：“請你拿二他連得吧！”他再三促請基哈西，並把二他連得銀子，裝在兩個袋子裡，還有兩套衣服，交給兩個僕人。他們就在基哈西前面捧著走。
24	到達山岡後，他從他們手中接過東西，存放在屋子裡，然後打發他們離去，他們就走了。
25	他進去，侍立在他主人面前，以利沙對他說：“基哈西，你從哪裡回來？”他說：“你的僕人哪裡都沒有去。”
26	以利沙對他說：“那人下車轉身迎著你的時候，我的心難道沒有去那裡嗎？現在是收受銀子、衣服、橄欖園、葡萄園、牛羊、僕婢的時候嗎？
27	因此，拿曼的嚴重皮膚病要緊隨你和你的後裔，直到永遠。”基哈西一離開以利沙，就得了嚴重皮膚病，像雪片一樣。
第六章
 	以利沙使斧頭浮起的神蹟
1	先知的弟子對以利沙說：“請看，我們在你面前居住的地方，實在太窄小了。
2	請讓我們到約旦河邊，每人從那裡取一根木頭，我們要在那裡建造一個地方居住。”以利沙說：“你們去吧！”
3	有一個弟子說：“請你和僕人們一起去。”他說：“那我就去吧。”
4	於是他和他們一起去。他們到了約旦河邊，就砍伐樹木。
5	有一個人砍下木頭的時候，斧的鐵頭掉到水裡。他就喊著說：“哎呀！我主啊，這是借來的！”
6	神人說：“掉在哪裡？”那弟子把掉落的地方指給他看。神人切了一塊木，扔到那裡，就使斧的鐵頭浮上來。
7	以利沙說：“你自己拿上來吧！”他就伸手拿住。
 	以利沙洩露亞蘭王的計謀
8	亞蘭王與以色列人打仗，他和臣僕們商議，說：“我要在某處某處設伏。”
9	神人就派人去見以色列王，說：“你要小心，避開這個地方，因為亞蘭人會下到那裡。”
10	以色列王派人到神人預先示警的地方，他就在那裡小心防範；這樣不止一兩次。
11	亞蘭王因為這事心裡非常惱怒，就召集臣僕，對他們說：“告訴我！我們當中是誰在幫助以色列王？”
12	他的一個臣僕說：“王上！不是的；一定是以色列的以利沙先知，他把你在臥室內所說的話告訴以色列王。”
13	於是王說：“你們去看看他在哪裡，我要派人去抓他。”有人告訴王說：“他在多坍！”
 	亞蘭人圍困多坍
14	亞蘭王就派遣馬匹、戰車和一大隊軍兵往那裡去。他們在夜間抵達，圍困那城。
15	神人的侍從清早起來，走出屋子，驚見軍隊、馬匹和戰車圍城！侍從就對神人說：“哎呀，我主啊，怎麼辦啊？”
16	神人說：“不要害怕，因為和我們在一起的比和他們在一起的更多！”
17	以利沙禱告，說：“耶和華啊，求你打開我侍從的眼睛，使他能看見。”於是耶和華打開侍從的眼睛，他就看見山上竟然布滿了馬匹和火戰車，圍繞著以利沙！
18	亞蘭人下來攻擊以利沙，以利沙就禱告耶和華，說：“求你擊打這民，使他們眼瞎。”於是耶和華擊打他們，使他們眼瞎，照以利沙所求的那樣。
19	以利沙對他們說：“你們走錯路了，這也不是你們要去的城；跟我來，我領你們去你們要尋找的人那裡。”他就把他們領到撒瑪利亞。
 	以利沙誘敵入京城卻善待他們
20	他們一進撒瑪利亞，以利沙就說：“耶和華啊，求你打開這些人的眼睛，讓他們能看見！”於是耶和華打開他們的眼睛，他們就看見自己竟然在撒瑪利亞城裡！
21	以色列王看見他們，就對以利沙說：“我父啊，我可以擊殺他們嗎？我可以擊殺他們嗎？”
22	以利沙說：“不可擊殺他們。你可以擊殺你自己用刀用弓俘擄回來的人嗎？你應當在他們面前擺上飲食，給他們吃飽喝足，然後放他們回到他們主人那裡。”
23	於是王為他們預備盛宴；他們吃飽喝足，王送他們離去，他們就回到他們的主人那裡。從此，亞蘭人不再侵襲以色列地了。
 	亞蘭王圍困撒瑪利亞
24	後來，亞蘭王便哈達集結全軍，上來圍困撒瑪利亞。
25	撒瑪利亞發生嚴重的饑荒，而敵軍持續圍城，以致一個驢頭要賣八十舍客勒銀子，四分之一小碗的鴿子糞值五舍客勒銀子。
26	以色列王在城牆上經過時，有一個婦人向他呼求說：“王上，幫幫我吧！”
27	他說：“如果耶和華不幫你，我可從哪裡給你幫助呢？是從碾禾場還是從榨池嗎？”
28	王又對她說：“到底有甚麼事？”她說：“這婦人對我說：‘把你的兒子交出來，今天我們把他吃了；而我兒子呢，我們可以明天吃。’
29	於是我們把我的兒子煮了，吃了。第二天，我對她說：‘把你的兒子交出來，我們好把他吃了。’她卻把她的兒子藏起來。”
 	以色列王起誓要殺以利沙
30	王聽見那婦人的話，就撕裂衣服。當時他在城牆上經過，人民看見他裡面貼身穿著的竟然是粗毛布衣服！
31	他說：“如果今天沙法的兒子以利沙的頭仍留在他的項上，願神嚴厲地對付我！”
32	那時，以利沙正坐在自己的屋子裡，長老們也和他坐在一起。王派一個人先去，那使者到以利沙那裡之前，以利沙對長老們說：“你們看見了嗎？這兇手之子派人來要取我的項上人頭！你們要留意，那使者一來到，你們就要把門關上，把他擋在門外。要知道，他主人的腳步聲在他後面！”
33	他和長老們還在說話的時候，使者忽然就到了他那裡！王說：“既然這災禍是從耶和華而來，我為甚麼還要仰望耶和華呢？”
第七章
 	以利沙預言撒瑪利亞解圍
1	以利沙說：“你們要聽耶和華的話。耶和華這樣說：‘明天這個時候，在撒瑪利亞城門，一斗上等粗粒小麥粉只賣一舍客勒銀子，二斗大麥也只賣一舍客勒銀子。’”
2	但那攙扶王的軍官回答神人，說：“即使耶和華打開天上的水閘，也不會發生這種事！”以利沙說：“你一定會親眼看見，卻吃不到！”
 	亞蘭人撤軍
3	有四個嚴重皮膚病患者在城門口，他們彼此說：“我們為甚麼坐在這裡等死呢？
4	如果我們決定進城，那麼城裡正在鬧饑荒，我們就一定會死在那裡。可是，我們如果坐在這裡也是死。所以倒不如去亞蘭人的軍營投降。如果他們饒我們一命，我們還可以存活；如果他們要殺死我們，我們就死吧。”
5	於是他們趁著黃昏動身前往亞蘭人的軍營。他們來到亞蘭人的營邊，不料，那裡竟然一個人都沒有。
6	（原來主早已使亞蘭人的軍隊聽見戰車、戰馬和大軍移動的聲音；他們彼此說：“不好了，一定是以色列王雇用赫特人諸王和埃及諸王來攻擊我們。”
7	於是他們在黃昏的時候，撇下他們各自的帳篷、馬匹和驢子，起來逃跑；他們只顧逃命，把軍營留在原處。）
8	這幾個嚴重皮膚病患者來到營邊，進入一座帳篷，又吃又喝，並且從那裡拿走金銀和衣裳，收藏起來。然後回去，進入另一座帳篷，也從那裡拿走財物，收藏起來。
 	嚴重皮膚病患者報信
9	隨後他們彼此說：“我們這樣做不對。今天是報好消息的日子，我們竟不出聲。我們如果一直等到早上天亮，我們就有罪了。所以，來吧，我們要去王宮報信。”
10	他們就去呼喊城門守衛，告訴他們說：“我們去了亞蘭人的軍營，不料，那裡竟然一個人都沒有，也沒有人聲。只有馬還拴著，驢也拴著，帳篷都留在原處。”
11	城門守衛就喊叫起來，往城內給王室報信。
12	王在夜間起來，對臣僕說：“我告訴你們亞蘭人對我們所做的是怎麼一回事吧！他們知道我們鬧饑荒，所以出到營外，在田野中埋伏，心裡想：‘他們肯定會從城裡出來，我們就可以活捉他們，攻入那城。’”
13	他的一個臣僕回答，說：“請叫人牽五匹城裡剩下的馬來，讓我們派人看看是怎麼回事吧。反正他們跟城裡剩下的所有群眾一樣，大家都快要死了！”
14	於是他們取了兩輛戰車和馬匹，王派人去追蹤亞蘭軍隊，吩咐他們：“去查查看！”
15	他們就去追蹤亞蘭軍隊，直到約旦河邊。不料，沿途堆滿亞蘭人匆忙逃走時丟棄的衣物器具。使者就回去向王匯報。
 	先知的預言應驗
16	人民就出去，搶掠亞蘭人的軍營。果真一斗上等粗粒小麥粉只賣一舍客勒銀子，二斗大麥也只賣一舍客勒銀子，照耶和華所說的那樣。
17	王指派攙扶他的軍官去監管城門，人民在城門那裡把軍官踩死了，照神人在王到他那裡時他所說的那樣。
18	正如神人對王說過：“明天這個時候，在撒瑪利亞城門，二斗大麥只賣一舍客勒銀子，一斗上等粗粒小麥粉也只賣一舍客勒銀子。”
19	當時那軍官回答神人，說：“即使耶和華打開天上的水閘，也不會發生這種事！”神人說：“你一定會親眼看見，卻吃不到！”
20	這事果然實現在他身上：人民在城門那裡把他踩死了。
第八章
 	書念婦人得回產業
1	以利沙曾救活一個書念婦人的兒子，這時他對那婦人說：“你和你全家要動身離開這裡，暫住在你可以寄居的地方，因為耶和華宣布這地將有七年饑荒。”
2	那婦人就動身，照神人的話去做。她和她全家去非利士地，在那裡寄居七年。
3	過了七年，那婦人從非利士地回來，就去哀求王，要得回自己的房產和田地。
4	那時王正與神人的僕人基哈西交談，說：“請你對我講講以利沙所做的一切大事。”
5	當他向王講述以利沙叫死人復活的事，恰好，以利沙曾救活她兒子的那婦人來哀求王，要得回她的房產和田地。基哈西說：“王上，這就是那婦人，她這個兒子就是以利沙救活的。”
6	王問那婦人，她就詳細告訴王。於是王為她指派一個大臣，說：“把所有屬於她的，以及從她離開她的國家直到現在，她田地的所有出產都歸還給她。”
 	哈薛殺害亞蘭王篡位
7	以利沙來到大馬士革。亞蘭王便哈達正患病。有人告訴他說：“神人來到這裡了。”
8	王對哈薛說：“你帶著禮物去見神人，託他求問耶和華，說：‘我這病能痊癒嗎？’”
9	於是哈薛去見以利沙。他帶著禮物，就是大馬士革的各樣珍品，由四十匹駱駝馱著，去站在以利沙面前，說：“你的兒子亞蘭王便哈達派我到你這裡來問你，他這病能否痊癒。”
10	以利沙對他說：“你去告訴他說：‘你一定會痊癒’，但耶和華指示我，他一定會死。”
11	神人定睛看著他，直到他感到侷促不安；然後，神人哭了。
12	哈薛說：“我主為甚麼哭？”他答道：“因為我知道你要帶給以色列人的災禍。他們的堅城，你要放火焚燒；他們的青年，你要用刀殺死；他們的小孩，你要摔死；他們的孕婦，你要剖開。”
13	哈薛說：“你僕人算甚麼？不過是一條狗罷了，怎麼會做這樣的大事呢？”以利沙說：“耶和華已指示我，你要為王統治亞蘭。”
14	於是哈薛離開以利沙，回到他主人那裡。便哈達對他說：“以利沙對你說了些甚麼呢？”他說：“他對我說：‘你一定會痊癒。’”
15	第二天，哈薛拿被子浸在水裡，蒙住便哈達的臉，他就死了，於是哈薛篡位為王。
 	約蘭登基為猶大王
（代下21:1~7）
16	亞哈的兒子以色列王約蘭在位第五年，猶大王約沙法還在位的時候，約沙法的兒子約蘭登基為猶大王。
17	他登基的時候年三十二歲，在耶路撒冷為王八年。
18	他走以色列諸王的道路，如同亞哈家所做的，因為他娶了亞哈的女兒為妻，做耶和華視為惡的事。
