約書亞記
第一章
 	約書亞受命領導
9	耶和華對約書亞說：“今天我把埃及的恥辱從你們身上輥去了。”因此，那地方名叫吉甲，直到今天。
 	守逾越節
10	以色列人在吉甲安營；一月十四日晚上，他們在耶利哥的平原守逾越節。
11	逾越節第二天，他們吃那地的出產；就在那一天，他們吃了無酵餅和烘過的穀子。
 	嗎哪停止降下
12	他們吃了那地的出產，第二天嗎哪就停止降下，以色列人從此不再有嗎哪了。那一年他們就吃迦南地的出產。
 	遇見耶和華軍隊的元帥
13	當約書亞靠近耶利哥，舉目觀看，突然發現有一個人站在他對面，手裡拿著拔出來的刀。約書亞走向他，對他說：“你是我們的人，還是我們的敵人？”
14	那人說：“都不是！現在我來是作耶和華軍隊的元帥。”約書亞就臉伏於地下拜，對他說：“我主有甚麼要吩咐僕人？”
15	耶和華軍隊的元帥對約書亞說：“脫掉你腳上的鞋，因為你站的地方是聖地。”約書亞就遵照而行。
第六章
 	七天繞行耶利哥城
1	因以色列人的緣故，耶利哥城門緊閉，沒有人出，也沒有人進。
2	耶和華對約書亞說：“你看，我已經把耶利哥和耶利哥的王以及強大的勇士，都交在你手裡了。
3	你們所有能作戰的男丁要圍繞這城，你要一天繞一次，連續六天。
4	七個祭司要拿著七個羊角，走在約櫃的前面。到第七天，你們要繞城七次，祭司要吹響號角。
5	角聲拖長的時候——你們一聽見角聲，全體人民就要大聲呼喊，城牆就會塌陷，人人都要向前衝上去。”
6	於是努恩的兒子約書亞召集祭司，對他們說：“你們要抬起約櫃，並派七個祭司拿著七個羊角，走在耶和華的約櫃前面。”
7	又對人民說：“前進！圍繞這城！武裝部隊要在耶和華約櫃的前面過去！”
8	約書亞吩咐人民以後，七個祭司拿著七個羊角，在耶和華的前面過去。他們吹響號角，耶和華的約櫃跟在他們後面。
9	武裝部隊走在吹響號角的祭司們前面，後衛隊走在約櫃後面。祭司們一面走，一面吹響號角。
10	而對於人民，約書亞吩咐說：“不可呼喊，不可讓人聽見你們的聲音，連一句話也不可出口，要等到我吩咐你們呼喊的時候，你們才可以呼喊。”
11	於是約書亞使耶和華的約櫃圍繞城，圍繞了一次，他們就回營，在營中住宿。
12	約書亞清早起來，祭司們抬起耶和華的約櫃。
13	七個祭司拿著七個羊角，走在耶和華的約櫃前面。他們一面走，一面吹響號角。武裝部隊走在他們前面，在耶和華的約櫃後面有後衛隊隨行。祭司們一面走，一面吹響號角。
14	第二天，他們又繞城一次，然後回營，連續六天都這樣做。
 	城牆塌陷
15	到了第七天，當曙光初現，他們就起來，以同樣的方式繞城七次。只是這一天，他們繞城七次。
16	到了第七次，祭司們吹響號角，約書亞就對人民說：“呼喊吧，因為耶和華已經把這城賜給你們了！
17	這城和城中的一切，都要歸耶和華作定要滅絕之物。只有妓女喇合和在她家裡所有的人都可以存活，因為她藏匿了我們派去的使者。
18	只是你們自己要小心防避定要滅絕之物，免得你們貪心，取了定要滅絕之物，使以色列營遭殃，成為定要滅絕之物。
19	至於所有的銀子、金子和銅鐵物件，都要歸耶和華為聖，送入耶和華的庫房。”
20	於是人民大聲呼喊，祭司們吹響號角。當人民聽見角聲，就大聲呼喊，城牆就塌陷了。於是人民衝入城中，人人向前，把城攻取。
21	他們把城中的一切，無論男女老幼、牛羊和驢，通通用刀滅絕。
 	喇合全家得救
22	對偵察那地的兩個人，約書亞說：“你們進那妓女的家，照著你們向她所起的誓，把那女人和所有屬於她的都從那裡帶出來。”
23	那兩個青年偵探就進去，把喇合和她的父母、兄弟、她所有的一切，以及她所有的親屬都帶出來，把他們安置在以色列營外。
24	眾人把城和城中的一切都放火燒了；只有銀子、金子和銅鐵物件，都放入耶和華聖所的庫房裡。
25	而妓女喇合與她的父家，以及她所有的一切，約書亞讓他們存活。她住在以色列中，直到今天，因為她藏匿了約書亞派去偵察耶利哥的使者。
 	修築耶利哥必受詛咒
26	當時，約書亞宣告誓言說：“起來修築這耶利哥城的人，在耶和華面前必受詛咒；他奠立根基的時候必喪長子；他安設城門的時候必失幼子。”
27	耶和華與約書亞同在；約書亞的名聲傳遍全地。
第七章
 	亞干擅取定要滅絕之物
1	以色列人在定要滅絕之物上犯了不忠實的罪；因為猶大支派中謝拉的曾孫，撒底的孫子，迦米的兒子亞干取了定要滅絕之物，耶和華就向以色列人發怒。
 	首攻艾城失敗
2	那時，約書亞從耶利哥派人到伯特利東邊，靠近伯亞文的艾城去，吩咐他們說：“你們上去偵察那地。”那些人就上去偵察艾城。
3	他們回到約書亞那裡，對他說：“不必全軍上去；只要大約二三千人上去攻打艾城就可以了。那裡的人很少，不必勞累全軍都上去。”
4	於是軍兵中約有三千人上那裡去，但他們竟在艾城的人面前逃跑。
5	艾城的人從城門前追趕他們，一直追到示巴琳，在下坡路上擊殺他們，擊殺了約三十六人。軍兵的心就消融如水。
 	約書亞求問耶和華
6	約書亞和以色列的長老們就撕裂衣裳，在耶和華的約櫃前臉伏於地，直到傍晚；他們把塵土撒在頭上。
7	約書亞說：“哎呀，主耶和華啊，你為甚麼帶領這人民過約旦河呢？就是為了把我們交在亞摩利人手中，使我們滅亡嗎？如果是這樣，我們寧願還留在約旦河對岸！
8	主啊，恕我冒犯！以色列人既然在仇敵面前轉身逃跑，我還有甚麼可說的呢？
9	迦南人和這地所有的居民聽見了，就會圍困我們，把我們的名號從這世上剪除；那時你為你的偉大名聲還能做甚麼呢？”
 	神說明原因及緝兇之法
10	耶和華對約書亞說：“起來吧，你為甚麼這樣臉伏於地呢？
11	以色列犯了罪，違反了我吩咐他們遵守的約！他們取了定要滅絕之物——他們又偷竊又欺瞞，把定要滅絕之物放在自己的東西之中！
12	以色列人在仇敵面前無法站立，在仇敵面前轉身逃跑，因為他們已經成為定要滅絕之物。除非你們把那定要滅絕之物從你們中間除滅，我就不再與你們同在了！
13	你起來，使這人民分別為聖，對他們說：‘你們要為了明天使自己分別為聖，因為耶和華以色列的神這樣說：以色列啊，你們中間有定要滅絕之物！你們若不先把那定要滅絕之物從你們中間除去，就無法抵擋仇敵。
14	到了早晨，你們每個支派都要上前來；耶和華抽取的支派，每個家族都要上前來；耶和華抽取的家族，每個家庭都要上前來；耶和華抽取的家庭，每個男丁都要上前來。
15	被抽取的人，就是那個有定要滅絕之物的人，他和他所有的一切都要用火焚燒；因為他違反了耶和華的約——因為他在以色列中做了愚妄無恥的事！’”
 	亞干被抽取出來
16	約書亞清早起來，要以色列人每個支派都上前來，結果，被抽取的是猶大支派；
17	他要猶大各家族上前來，結果，被抽取的是謝拉的家族；他要謝拉家族的每個家庭都上前來，結果，被抽取的是撒底；
18	他要撒底家庭中每個男丁都上前來，結果，被抽取的是亞干；亞干是迦米的兒子，撒底的孫子，謝拉的曾孫，屬於猶大支派。
19	約書亞對亞干說：“我兒，我勸你把榮耀歸給耶和華以色列的神，向他認罪。告訴我，你做了甚麼事，不要向我隱瞞。”
 	亞干認罪，被處死
20	亞干回答約書亞說：“的確是我犯罪，干犯了耶和華以色列的神；我是如此這般做的：
21	我看見在戰利品中，有一件很好的示拿外袍、二百舍客勒銀子，和一條重五十舍客勒的金條；我喜愛這些物件，就拿去了；現在它們就埋藏在我帳篷當中的地裡，銀子在底下。”
22	約書亞就派遣使者跑到亞干的帳篷那裡。那件外袍果然埋藏在帳篷裡，銀子在底下。
23	他們就把那些物件從帳篷中拿來，帶到約書亞和全體以色列人那裡，放在耶和華面前。
24	約書亞和全體以色列人一起，把謝拉的曾孫亞干和那些銀子、外袍、金條，以及亞干的兒女、牛、驢、羊、帳篷和他所有的一切，都帶上惹禍谷去。
25	約書亞說：“你為甚麼給我們招惹災禍呢？耶和華今天必使你遭受災禍。”於是全體以色列人用石頭把他打死。用石頭打死他們以後，就把一切都用火焚燒。
26	眾人又在亞干身上堆起了一大堆石頭，直到今天；於是耶和華收回他的烈怒。因此那地方名叫惹禍谷，直到今天。
第八章
 	設計再攻艾城
1	耶和華對約書亞說：“你不要害怕，也不要驚惶，只管帶領所有能作戰的人起來上艾城去。你看，我已經把艾城的王和他的人民、城市、土地都交在你手裡了。
2	從前你怎樣對待耶利哥和耶利哥的王，現在也要照樣對待艾城和艾城的王。只是城裡的財物和牲畜，你們可以奪取作為自己的戰利品。你要在城的西邊設下攻城的伏兵。”
3	於是，約書亞和所有能作戰的人都起來上艾城去。約書亞選出三萬強大的勇士，連夜派他們出去，
4	並吩咐他們說：“注意，你們要在城的西邊埋伏，不要離城太遠，你們全都要作好準備。
5	我和所有跟我一起的人要向城推進。城裡的人像前一次出來迎擊我們的時候，我們就在他們面前逃跑，
6	他們出來追趕我們，我們就把他們引誘出城，因為他們必定說：‘這些人像前一次在我們面前逃跑了。’所以我們要在他們面前逃跑。
7	那時你們就要從埋伏的地方起來佔領那城。耶和華你們的神必把城交在你們手裡。
8	當你們佔領了那城，就要放火燒城，照著耶和華的話去做。你們要謹慎，我已經吩咐你們了。”
9	於是約書亞派他們前往，他們就去到埋伏的地點，在伯特利和艾城之間埋伏，就是在艾城的西邊。那一夜，約書亞在人民中間住宿。
10	約書亞清早起來，召集人民，他和以色列的長老們率領人民上艾城去。
11	所有與他在一起能作戰的人都上去逼近艾城。他們在城的北邊安營。在約書亞和艾城中間隔著一個山谷，
12	約書亞挑出大約五千人，要他們埋伏在伯特利和艾城中間，就是在艾城的西邊。
13	這樣他們把人民，就是在城北的全軍和在城西的伏兵都布置好了。那一夜，約書亞走進山谷中。
14	當艾城的王看見這情形，他和艾城的眾民就急忙在清早起來，去到預定地點，就是亞拉巴前，要迎戰以色列人。他卻不曉得在城的西邊有伏兵等著他。
15	約書亞和所有以色列人在他們面前假裝敗退，沿著通往荒野的路逃跑。
16	城裡的眾民都被召集起來追趕他們。艾城的人追趕約書亞的時候，就都被引誘出城。
17	艾城和伯特利沒有留下一人不出來追趕以色列人。他們撇下城門洞開的城，去追趕以色列人。
 	奪取艾城
18	耶和華對約書亞說：“你要把手中的彎刀指向艾城，因為我要把城交在你手裡。”約書亞就把手中的彎刀指向艾城。
19	他一伸手，伏兵就急忙從埋伏的地方起來，衝進城裡奪了那城，並且立刻放火燒城。
20	艾城的人轉身觀看，驚見城裡濃煙沖天，就渾身乏力，逃不了哪裡去；往荒野逃跑的以色列人就回轉過來攻擊追趕他們的人——
21	當時，約書亞和全體以色列人看見伏兵已經奪取了城，又看見城中濃煙滾滾，就轉身擊殺艾城的人。
22	伏兵也出城迎擊艾城的人；艾城的人就被困在以色列人中間，腹背受敵。於是以色列人擊殺他們，直到沒有留下一個生還者，也無人逃脫。
23	艾城的王則被他們活捉，解到約書亞那裡。
24	以色列人在田間和荒野，殺盡了所有追趕他們的艾城居民，他們全都喪身刀下，完全消滅。全體以色列人回到艾城，用刀擊殺了城中的人。
25	那一天所有倒斃的人，連男帶女，共有一萬二千，就是艾城所有的人——
26	約書亞沒有收回手中的彎刀，直到把艾城的所有居民都滅絕了。
27	只是城裡的牲畜和財物，以色列人照著耶和華吩咐約書亞的話，都奪取了作為自己的戰利品。
28	約書亞燒了艾城，使城永遠淪為廢堆，一片荒涼，直到今天。
29	他又把艾城的王掛在木頭上，直到傍晚。日落的時候，約書亞吩咐人把屍體從木頭上取下來，丟在城門口那裡，又在屍體上堆起了一大堆石頭，直到今天。
 	築壇獻祭並宣讀律法
30	當下，約書亞在以巴路山上，為耶和華以色列的神築了一座祭壇，
31	是照著耶和華的僕人摩西對以色列人的吩咐，按照摩西律法書所寫的那樣，拿未曾用鐵器打鑿的完整石塊築成。眾人在這祭壇上向耶和華獻燔祭，又獻平安祭。
32	在那裡，約書亞當著以色列人的面，把摩西所寫的律法，刻了一份副本在石頭上。
33	全體以色列人，無論是寄居者還是本族人，和他們的長老們、官長以及審判官一起站在約櫃兩邊，在抬耶和華約櫃的利未祭司前面，一半對著基利心山，一半對著以巴路山，是按照耶和華的僕人摩西從前有關祝福以色列民的吩咐。
34	然後，約書亞照著律法書上所寫的一切，宣讀律法上所有祝福和詛咒的話。
35	約書亞在以色列全體會眾，包括婦女、小孩，以及在他們中間來往的寄居者面前，把摩西吩咐的一切話，一字不漏地向他們宣讀出來。
第九章
 	迦南諸王聚集準備爭戰
1	約旦河西所有的王聽說了這些事（這些王住在山上、山麓地帶、大海沿岸一帶和黎巴嫩前面，他們是赫特人、亞摩利人、迦南人、比利洗人、希未人、耶布斯人的王），
2	就聚集起來，同心協力要與約書亞和以色列人爭戰。
 	基遍人施詭計騙取和約
3	那時，基遍的居民聽見約書亞對耶利哥和艾城所做的事，
4	就施詭計，帶著食物前來，把舊布袋和修補過的破舊皮酒袋馱在驢背上，
5	腳上穿著補過的舊鞋，身穿舊衣，帶來作食物的餅已經乾了，發霉了。
6	他們來到吉甲營地見約書亞，對他和以色列人說：“我們來自遠方，現在求你們和我們立約。”
7	以色列人對這些希未人說：“說不定你們就住在本地，若是這樣，我們怎能與你們立約呢？”
8	他們對約書亞說：“我們是你的僕人。”約書亞問他們：“你們是甚麼人？從哪裡來？”
9	他們回答約書亞：“你的僕人為了耶和華你神的名，來自遙遠的地方，因為我們聽見他的名聲和他在埃及所做的一切事，
10	以及他對約旦河東亞摩利人的兩個王，就是希實本王西宏和在亞絲塔露的巴珊王俄革所做的一切事。
11	所以我們的長老和本國所有的居民對我們說：‘你們手裡要帶著旅途用的食物去迎見以色列人，對他們說：“我們是你們的僕人，現在求你們和我們立約。”’
12	看我們這餅！我們出門去你們這裡的那天，從家裡帶出來作食物的這餅還是熱的；你看，現在已經乾了，發霉了！
13	這些皮酒袋，我們盛酒的時候還是新的；你看，現在已經破損了。我們這些衣服和鞋因路途遙遠都穿舊了。”
14	以色列人收了他們一些食物，卻沒有求問耶和華的旨意。
15	於是約書亞與他們議和，與他們立約，容他們存活；群體的首領也向他們起誓。
 	指派基遍人劈柴打水
16	以色列人與他們立約之後，過了三天才聽說他們就住在附近，是本地的居民。
17	於是，以色列人起程，第三天就到了他們的城市；他們的城市就是基遍、基非拉、井鎮、耶琳鎮。
18	以色列人沒有擊殺他們，因為群體的首領曾經指著耶和華以色列的神向他們起誓，整個群體就都向首領發怨言。
19	所有首領對整個群體說：“我們自己曾經指著耶和華以色列的神向他們起誓，所以我們不能傷害他們。
20	我們惟有這樣處置他們：容他們存活，免得神的憤怒因我們向他們所起的誓臨到我們。”
21	眾首領又對他們說：“讓他們活著吧！”於是他們按照眾首領的吩咐，就給整個群體作了劈柴打水的人。
22	約書亞把基遍人召來，責問他們說：“你們為甚麼欺騙我們？你們說：‘我們離你們很遠’，其實你們就住在這地！
23	所以你們要受詛咒，你們要永遠做奴隸，為我神的聖所劈柴打水。”
24	他們回答約書亞說：“因為你的僕人確實聽見耶和華你的神曾經吩咐他的僕人摩西，要把這整片土地賜給你們，並且要在你們面前把這地上所有的居民都消滅。我們因你們的緣故，很怕喪命，故此才做了這事。
25	現在我們都在你手裡！你看怎樣處置我們才好才對，就怎樣做吧！”
26	約書亞就這樣處置他們：救他們脫離以色列人的手，以色列人就沒有殺他們。
27	在那一天，約書亞指派他們在耶和華選擇的地方，為群體和耶和華的祭壇作劈柴打水的人，直到今天。
第十章
 	南方五王攻打基遍
1	當耶路撒冷王亞多尼洗德聽見約書亞攻佔了艾城，把城滅絕，並且約書亞怎樣對待耶利哥和耶利哥的王，就照樣對待艾城和艾城的王；又聽見基遍的居民已經與以色列人立了和約，並可以住在這地，
2	他和耶路撒冷的人就非常害怕，因為基遍是大城，好像那些王城；又因為基遍比艾城大，城裡所有的男丁都是勇士。
3	因此，耶路撒冷王亞多尼洗德派人到希伯崙王何咸、耶末王琵蘭、拉吉王押非亞和伊磯倫王底璧那裡去，對他們說：
4	“求你們上我這裡來援助我，我們好攻打基遍，因為基遍已經與約書亞和以色列人立了和約。”
5	於是亞摩利人的那五個王，就是耶路撒冷王、希伯崙王、耶末王、拉吉王和伊磯倫王聚集起來，帶著他們所有的軍隊上去，在基遍的對面安營，要攻打基遍。
 	約書亞率援軍大敗五王
6	基遍人就派人到吉甲營地見約書亞，說：“請勿袖手不顧你的僕人，求你趕快上我們這裡來拯救我們、援助我們，因為所有住在山區的亞摩利人君王都聚集起來攻擊我們。”
7	於是約書亞和所有能作戰的人以及強大的勇士，都一起從吉甲上去。
8	耶和華對約書亞說：“你不要害怕他們，因為我已經把他們交在你手裡了；他們當中誰也不能抵擋你。”
9	於是約書亞連夜從吉甲上去突襲他們。
10	耶和華使他們在以色列人面前慌亂，約書亞在基遍大敗亞摩利人，沿著伯賀崙的上坡路追趕他們，擊殺他們，直到亞西加和瑪基達。
11	當他們從以色列人面前逃跑，正在下伯賀崙斜坡的時候，耶和華從天上降如石頭般大的冰雹在他們身上，打死他們，一直到亞西加。被冰雹打死的人比以色列人用刀殺死的還多。
 	神聽禱告使日月停住
12	耶和華把亞摩利人交給以色列人的那一天，約書亞向耶和華禱告，他在以色列人眼前說：“太陽啊，停在基遍！月亮啊，停在亞雅崙谷！”
13	果然太陽停住，月亮站住，直到國民剿滅仇敵。這事已經寫在《正直者之書》上了！太陽在天空中停住不急速下落，約有一整天。
14	在這天以前或這天以後，耶和華聽人的禱告，沒有像這天一樣的，因為是耶和華為以色列作戰。
15	後來，約書亞和全體以色列人回到吉甲的營地。
 	擒殺五王
16	那五個王逃跑了，躲藏在瑪基達的山洞裡。
17	有人告訴約書亞說：“那五個王已經找到了，都躲藏在瑪基達的山洞裡。”
18	約書亞說：“你們輥幾塊大石頭去堵住洞口，並派人到洞口看守他們。
