但以理書
第一章
 	巴比倫王攻陷耶路撒冷
47	王對但以理說：“你們的神真是萬神之神、萬王之王！他是啟示奧祕的神，使你能闡明這奧祕。”
48	於是王晉升但以理，賜他許多珍貴禮物，且委派他管轄巴比倫全省，立他為管理巴比倫所有智士的總監。
49	但以理求王，王就委派沙得拉、米煞、亞伯尼歌管理巴比倫省的政務；但以理自己仍在朝廷。
第三章
 	尼布甲尼撒王下令拜金像
1	尼布甲尼撒王造了一座金像，高六十肘、寬六肘，豎立在巴比倫省的杜拉平原上。
2	尼布甲尼撒王又派人召集總督、地方總監、省長、參謀、財政大臣、法官、裁判官和各省所有官員，前來參加金像的慶祝典禮。
3	於是總督、地方總監、省長、參謀、財政大臣、法官、裁判官和各省所有官員，全都聚集起來，參加尼布甲尼撒王為所立金像舉行的慶祝典禮；他們都站在尼布甲尼撒所立的金像前。
4	那時，傳令官大聲宣布：“各個民族、國家和說各種語言的人啊，有命令傳與你們：
5	你們一聽見角、笛、琴、瑟、豎琴、鼓和各樣樂器的聲音，就要俯伏敬拜尼布甲尼撒王所立的金像；
6	凡不俯伏敬拜者，就要立刻被扔進烈火熊熊的窯中。”
7	因此各民族、國家和說各種語言的人一聽見角、笛、琴、瑟、豎琴和各樣樂器的聲音，就都俯伏敬拜尼布甲尼撒王所立的金像。
 	但以理的三個同伴被指控
8	那時，有些迦勒底人前來，惡毒地指控猶太人，
9	對尼布甲尼撒王說：“願王萬歲！
10	王啊，你曾降旨說，凡聽見角、笛、琴、瑟、豎琴、鼓和各樣樂器聲音的人都當俯伏敬拜金像，
11	凡不俯伏敬拜者，就要被扔進烈火熊熊的窯中；
12	但是這裡有幾個猶太人，就是王委派管理巴比倫省政務的沙得拉、米煞和亞伯尼歌——王啊，這些人不理會你，不侍奉你的神，也不敬拜你所立的金像！”
 	但以理的三個同伴受威脅
13	尼布甲尼撒王就勃然大怒，下令傳喚沙得拉、米煞和亞伯尼歌；於是他們被帶到王面前。
14	尼布甲尼撒對他們說：“沙得拉、米煞、亞伯尼歌，你們果真不侍奉我的神，不敬拜我所立的金像嗎？
15	現在，你們如果預備好，一聽見角、笛、琴、瑟、豎琴、鼓和各樣樂器的聲音，就向我所造的金像俯伏敬拜，也就罷了；如果不敬拜，就會立刻被扔進烈火熊熊的窯中！有哪一個神可以從我的手中救你們出來呢？”
 	但以理的三個同伴堅守信仰
16	沙得拉、米煞和亞伯尼歌回答王說：“尼布甲尼撒啊，這事我們不必回答你。
17	如果這裡有一位我們所侍奉的神，他必定能夠把我們從烈火熊熊的窯中救出來！王啊，他必定能夠從你的手中救我們出來！
18	即或不然，王啊，你也當知道我們絕不會侍奉你的神，不會敬拜你所立的金像！”
 	但以理的三個同伴受審判
19	尼布甲尼撒就滿胸怒火，對沙得拉、米煞、亞伯尼歌變了面色，命令人把窯燒熱，比平常猛烈七倍；
20	又吩咐他軍隊中幾個勇士，捆綁沙得拉、米煞、亞伯尼歌，將他們扔進烈火熊熊的窯中。
21	於是這三個人穿著外袍、褲子、頭巾和別的衣服，全被捆綁起來，扔進烈火熊熊的窯中。
22	因為王的命令緊急，窯又燒得極其火熱，那些抬沙得拉、米煞和亞伯尼歌的人都被火焰燒死；
23	沙得拉、米煞、亞伯尼歌三個人則被捆著，落入烈火熊熊的窯中。
 	但以理的三個同伴得平反
24	這時，尼布甲尼撒王驚奇得很，急忙起來，對謀臣說：“被我們捆著扔進火裡的不是三個人嗎？”他們回答王說：“王啊，正是。”
25	王說：“但我竟然看到四個人，並沒有捆著，且在火中行走，身上一點損傷也沒有；那第四個的相貌好像神子。”
26	於是尼布甲尼撒走近烈火熊熊的窯口，說︰“至高神的僕人沙得拉、米煞、亞伯尼歌啊，你們出來，到這裡來吧！”沙得拉、米煞、亞伯尼歌就從火中出來了。
27	那些總督、地方總監、省長和王的謀臣一起靠攏看這三個人，見火無力傷他們的身體，他們的頭髮沒有燒焦，衣服沒有變樣，身上也沒有火燒的煙氣。
 	尼布甲尼撒王下令不得褻瀆神
28	尼布甲尼撒說：“沙得拉、米煞、亞伯尼歌的神配受稱頌！他差遣使者救護信靠他的僕人，他們違抗王命，寧願捨身，也不肯在他們的神以外侍奉敬拜別的神。
29	現在我降旨：無論哪個民族、國家或說哪種語言的人，只要是褻瀆沙得拉、米煞、亞伯尼歌的神，就要被碎屍萬段，他的房屋將成為瓦礫，因為沒有別的神能這樣施行拯救。”
30	隨後王在巴比倫省晉升了沙得拉、米煞和亞伯尼歌。
第四章
 	尼布甲尼撒王昭告天下稱頌神
1	尼布甲尼撒王昭告全地各民族、國家和說各種語言的人：“願你們大享平安！
2	我樂意宣揚至高的神向我施展的神蹟奇能。
3	他的神蹟多麼偉大，他的奇能多麼有力；他的王國是永遠的王國，他的統治權直到萬代！”
 	王尋索第二個異夢的含義
4	“我尼布甲尼撒安居宮中，在殿裡享榮華。
5	我做了一個使我懼怕的夢；我在床上夢見的情景和腦海中的異象，都使我驚惶。
6	因此我下令召集巴比倫所有智士到我面前，要他們向我解釋夢的含義。
7	於是法術師、術士、迦勒底人和占星家都進來，我把那夢告訴他們，他們卻都不能向我解釋夢的含義。”
 	王對但以理描述異夢的情景
8	“最後來到我面前的，是照著我神的名稱為伯提沙撒的但以理，他裡面有眾神聖神明的靈，我就把夢的內容告訴他：
9	‘法術師的領袖伯提沙撒啊，我知道你裡面有眾神聖神明的靈，沒有甚麼奧祕能難倒你。請你把我夢見的異象和夢的含義告訴我。
10	我躺在床上時腦海中的異象是這樣︰我正觀看，忽見大地中央有一棵樹，極其高大。
11	那樹越長越強大，高達於天，全地極都看得見。
12	它的葉子華美，結實纍纍，足夠眾生享用；野地的走獸棲息在它的樹蔭下，天空的飛鳥在它的枝上築巢，各種生物都從它得到供養。
13	我躺在床上時腦海出現的異象中，看見一位守望天使，就是聖者，從天而降，
14	大聲呼叫說：“砍倒這樹！削斷枝子！搖落葉子！打散果子！把樹下的走獸驅離，把樹枝上的飛鳥趕走！
15	主根的殘幹卻要留在地裡，用鐵條和銅條箍住，留在野地的青草中，讓他被天露滴濕，與走獸一同吃地上的草！
16	使他的心改變，不再是人的心；給他一顆獸心，讓他經歷七個時期。
17	這是眾守望天使宣告的裁決，眾聖者頒布的決定，為要使活人知道至高者在世人的王國中掌權，他想把王國賜給誰就賜給誰，甚至立最卑微的人統治王國！”
18	這就是我尼布甲尼撒王所做的夢。伯提沙撒啊，你要講說夢的含義，因為我王國中所有的智士都不能向我解釋夢的含義，只有你能，因為你裡面有眾神聖神明的靈。’”
 	但以理向王解析夢的含義
19	那時，稱為伯提沙撒的但以理一陣驚愕，他想到的事使他驚惶。王說：“伯提沙撒啊，別讓這夢和它的含義嚇著了。”伯提沙撒回答說：“我主啊，願這夢歸給憎恨你的人，夢的含義歸給你的敵人。
20	你所見的樹越長越強大，高達於天，全地極都看得見；
21	它的葉子華美，結實纍纍，足夠眾生享用。野地的走獸棲息在它的樹蔭下，天空的飛鳥在它的枝上築巢。
22	王啊，你就是這樹！你越長越強大，你強大的權勢長得高達於天，你的統治權直到地極！”
 	但以理解析守望天使的聖召
23	“王看見一位守望天使，就是聖者，從天而降，說：砍倒這樹，把它毀掉！主根的殘幹卻要留在地裡，用鐵條和銅條箍住，留在野地的青草中，讓他被天露滴濕，與野地的走獸一同吃草，讓他經歷七個時期。
24	王啊，夢的含義是這樣：這至高者的裁決臨到王上。
25	你將被趕逐離開世人，與野地的走獸同住；你會像牛一樣吃草，被天露滴濕，你要經歷七個時期，直到你承認：至高者在世人的王國中掌權，他想把王國賜給誰就賜給誰！
26	既然守望者吩咐要留下主根的殘幹，那麼當你承認上天在掌權的時候，你的王國就會再歸於你。
27	所以，王啊，請悅納我的勸告：你要施行公義，棄絕罪惡；憐憫受欺壓者，棄絕罪行，說不定你的安好可以延長。”
 	王的異夢完全應驗
28	這一切都在尼布甲尼撒王身上發生了。
29	十二個月過後，王在巴比倫王宮的平頂上散步時，
30	說：“這是偉大的巴比倫！是我用大能大力建為王都，以顯示我威嚴的榮耀。”
31	這話還在王的口中，就有聲音從天上而降說：“尼布甲尼撒王啊，有話對你說——你的王國離開你了！
32	你會被趕逐離開世人，與野地的走獸同住，你會像牛一樣吃草，你要經歷七個時期，直到你承認：至高者在世人的王國中掌權，他想把王國賜給誰就賜給誰！”
33	這話立刻應驗在尼布甲尼撒身上，他被趕逐離開世人，像牛一樣吃草，身體被天露滴濕，直到他的頭髮長得像鷹毛，指甲長得如同鳥爪。
 	王稱頌至高的神
34	“那些日子滿了，我尼布甲尼撒舉目望天，我的理智恢復過來，我就稱頌至高者，讚美尊崇永活的神：他的統治權是永遠的統治權，他的王國代代長存！
35	地上所有的居民被視為無物，他隨自己的意願對待天上的萬軍和地上的居民；沒有人能攔住他的手，或對他說：你做甚麼呢？
36	那時，我的理智恢復過來，我王國的榮耀，我的威嚴和光輝也都恢復了。我的謀臣和大臣又來求見我，我的王國重新堅立，我的權柄越發增強。
37	現在，我尼布甲尼撒讚美、尊崇、歸榮耀給天上的王，因為他的作為正直，他的道路公義；那些行為驕傲的人，他能貶低。”
第五章
 	伯沙撒王設宴暢飲
1	伯沙撒王為他的一千大臣大擺宴席，和他們一同飲酒。
2	伯沙撒暢飲之際，下令將他先祖尼布甲尼撒從耶路撒冷聖殿裡掠取的金銀器皿拿來，好讓他和大臣及后妃用這些器皿喝酒。
3	於是有人把聖殿（就是在耶路撒冷神的殿）中所掠取的金製器皿拿來，王和眾大臣及后妃就用這些器皿喝酒。
4	他們一邊喝酒，一邊讚美那些用金、銀、銅、鐵、木、石所造的神明。
 	王宮粉牆上忽現指頭寫字
5	那時，忽然有些手指出現，是人手的手指，在燈台對面的王宮粉牆上寫字。王看見那正在寫字的手掌，
6	就大驚失色，心慌意亂，腰骨鬆脫，雙膝互相碰撞。
7	王大聲呼叫，下令把術士、迦勒底人和占星家帶進來。王對巴比倫的智士說：“誰能讀這些字，又能向我解釋含義，就會身穿紫袍，頸戴金鏈，在王國中掌權，居第三位。”
8	於是王所有的智士都進來，卻都不能讀那些字，無法告訴王那些字的含義。
9	因此伯沙撒王極其驚慌，更加大驚失色，眾大臣也都驚惶失措。
 	但以理奉召解讀牆上文字
10	太后因聽到王和大臣所說的話，就進入宴會大廳，對王說：“願王萬歲！你不要心慌意亂，不要大驚失色。
11	在你王國中有一個人，他裡面有眾神聖神明的靈；你先祖在世的日子，發現這人有灼見、聰明和智慧，好像神的智慧一樣。你先祖尼布甲尼撒王，就是王的先祖，曾立他為法術師、術士、迦勒底人和占星家的領袖，
12	都因這但以理裡面有卓越的靈性、知識和聰明，能解夢，釋謎，解答疑難。這但以理，先王稱他為伯提沙撒，現在可以叫人把他召來，他會向你解釋這些字的含義。”
13	於是但以理被帶到王面前，王問但以理說：“你就是我先祖從猶大帶來的猶大人但以理嗎？
14	我聽說你裡面有眾神明的靈，又有灼見、聰明和高超的智慧。
15	現在智士和術士都被帶到我面前，為要叫他們讀這些字，向我解釋含義，但是他們都不能把意思講解。
16	我聽說你善於講解，解答疑難，現在你如果能讀這些字，告訴我這些字的含義，就會身穿紫袍，頸戴金鏈，在王國中掌權，居第三位。”
 	但以理直言責備王
17	但以理在王面前回答說：“你的贈禮自己留著，你的賞賜可送別人；我卻要為王讀這些字，告訴王這些字的含義。
18	王啊，至高的神曾將王國、權勢、尊榮、威嚴賜給你先祖尼布甲尼撒。
19	因神所賜給他的權勢，所有民族、國家和說各種語言的人都在他面前戰兢恐懼；他想殺誰就殺誰，想讓誰活誰就活，想提升誰就提升誰，想貶低誰就貶低誰。
20	但他心高氣傲、以致行事狂妄，他就被廢掉，失去王國的寶座，他的尊榮也被剝奪；
21	他被趕逐離開世人，他的心變得如同獸心，與野驢同住，像牛一樣吃草，身體被天露滴濕，直到他承認至高的神在世人的王國中掌權，神想立誰治國就立誰。
22	伯沙撒啊，你是尼布甲尼撒的子孫，你雖然知道這一切，你的心卻不謙卑，
23	反而高抬自己，敵對天上的主，叫人把他殿中的器皿拿到你面前來，你和大臣及后妃用這些器皿喝酒；你又讚美那些用金、銀、銅、鐵、木、石所造的神明——它們不能看、不能聽、一無所知，你卻不把榮耀歸給那位掌握你的氣息，掌管你一切道路的神。
24	因此，有手掌從神那裡派來寫下這些字。
 	牆上文字預言巴比倫的淪亡
25	“所寫的字就是：‘數了、數了、稱了、分裂了’。
26	這些字的講解是這樣：‘數了’：神已數了你王國的日子，使它終結。
27	‘稱了’：你被稱在天平上，顯出你的虧欠。
28	‘分裂了’：你的王國已經分裂，歸給瑪代人和波斯人。”
29	於是伯沙撒下令給但以理穿上紫袍，頸戴金鏈，命人宣布但以理將在王國中掌權，居第三位。
30	當夜，迦勒底人的王伯沙撒被殺。
31	瑪代人大流士接收王國；那時大流士年約六十二歲。
第六章
 	大流士王提拔但以理
1	大流士按自己的心意，任命一百二十位總督治理整個王國；他們分布整個王國。
2	他又在這些總督之上，設立三位監察長，但以理是其中之一；各總督要向三位監察長呈報，免得王受虧損。
3	因為但以理這人裡面有卓越的靈性，比其他監察長和總督傑出，王就計劃委派他治理整個王國。
4	於是其他監察長和總督在但以理治國的事上尋找控告他的把柄，只是找不到任何控告他的根據，因為他忠信可靠，毫無疏失和腐敗。
5	那些人就說：“除非從但以理的神的律法下手，否則我們不可能找到把柄來控告他。”
 	大流士王簽署禁令
6	這些監察長和總督就相約前來見王，對王說：“願大流士王萬歲！
7	國中所有的監察長、地方總監、總督、謀臣和省長共同協議，恭請王立一條法例，頒布一道禁令——在三十天之內，向你以外的任何神明或人祈求者，無論是誰，都必被扔在獅子坑中。
8	王啊，現在求你立一道禁令，簽署這份文告，使禁令不得更改，正如瑪代和波斯的法律一樣，不能撤銷。”
9	於是大流士王簽署了這禁令文告。
 	但以理被指控違令
10	但以理知道這文告簽署了以後，就上了自己家裡樓上的房間，這房間的窗戶朝向耶路撒冷開著；他和往常一樣，一天三次雙膝跪下，在他的神面前禱告稱謝。
11	那些人相約前來，看見但以理在他的神面前禱告祈求，
12	就來到王面前，提起王的禁令，說：“王啊，你已經簽署了禁令，三十天之內，無論何人向你以外的任何神明或人祈求，就會被扔到獅子坑中！”王回答說：“確實這樣。按照瑪代和波斯的法律，這道禁令是不能撤銷的。”
13	他們就對王說：“王啊，從猶大擄來的猶大人中的但以理，不理會你，不理會你簽署的禁令，竟仍一天三次向他的神祈求！”
14	王聽見這話，非常難過；他定意要搭救但以理，直到日落的時候，還在想盡辦法救他。
15	那些人又相約來對王說：“王啊，要知道按照瑪代和波斯的法律，王所立的禁令或法例是不得更改的。”
 	但以理被扔進獅子坑
16	於是王下令將但以理帶來，扔到獅子坑中。王對但以理說：“願你一直侍奉的神救你！”
17	坑口用一塊石頭堵住，用王的戒指和眾大臣的戒指印封，使但以理​的​案件​不​能​更改。
18	王回到宮裡，整夜沒有吃東西，甚麼消遣娛樂也不要，並且睡不著覺。
 	但以理走出獅子坑
19	次日，天剛亮，王就起來，急忙趕往獅子坑那裡去。
20	靠近坑邊時，他哀聲呼叫但以理，說：“但以理，永活神的僕人啊，你素常侍奉的神能搭救你脫離獅子嗎？”
21	但以理對王說：“願王萬歲！
22	我的神差遣天使關閉獅子的口，使牠們不傷害我，因為我在神面前是清白的；王啊，我也沒有做過任何傷害你利益的事。”
23	為此，王非常高興，吩咐人把但以理從坑裡拉上來。於是但以理從坑裡被拉上來，身上一點損傷也找不到，因為他信靠他的神。
 	大流士王懲處指控但以理的人
24	王下令，將那些兇狠地指控但以理的人，連同他們的兒女和妻子，都一起帶來，扔進獅子坑中；他們還沒有落到坑底，獅子就制伏他們，把他們全身的骨頭都咬碎了。
 	大流士王降旨要全國人人敬畏神
25	隨後，大流士王寫詔書給住在全地的各民族、國家和說各種語言的人，說：“願你們大享平安！
26	現在我下令，在我統治的整個王國裡，人人都要在但以理的神面前戰兢恐懼：因他是永活的神，永遠長存；他的王國永不毀滅，他的統治權直到永遠。
27	他搭救人，拯救人，在天地間施展神蹟奇能；他搭救了但以理脫離獅子的口。”
28	這樣，在大流士執政、波斯人居魯士執政的時候，但以理凡事亨通。
第七章
 	但以理夢見異象
1	巴比倫王伯沙撒元年，但以理在床上做了一個夢，腦海中出現了異象。他就把那夢的重點記錄下來。
 	海中上來四巨獸
2	但以理說：“在夜間的異象中，我看見天的四風攪動大海。
3	有四隻各不相同的巨獸從海裡上來。
4	第一隻獸像獅子，卻有鷹的翅膀。我正觀看的時候，牠的翅膀被拔去，就從地上被抬起來，像人一樣用兩腳站立，又有人的心給了牠。
5	我看見另一隻獸，就是第二隻獸，長得像熊，只靠一側挺起身軀，口中牙齒銜著三根肋骨，被吩咐說：“起來，盡量吃肉吧！”
6	接著，我看見另一隻獸長得像豹，背上有鳥的四個翅膀；這隻獸有四個頭，又有統治權給了牠。
7	後來，我在夜間的異象中繼續觀看，看見極其可怕、恐怖、強壯的第四隻獸，牠用大鐵牙吞吃咬碎獵物，將剩餘的用腳踐踏。這隻獸和前三隻都不相同，牠的頭上有十隻角。
8	我正究察這些角，忽見角的中間有另一隻小角長出來；在這隻角前面，原有的三隻角被連根拔出。這隻角有眼睛，像人的眼睛，還有一張說誇大話的嘴。
 	天上設立永恆寶座
9	“我繼續觀看，就看見有些寶座安放好了，萬古常存者就坐下；他的衣服潔白如雪，頭髮純淨如羊毛。他的寶座是烈火的火焰，寶座的輪子是熊熊烈火。
10	烈火像河流一樣，從他面前湧流而出；侍奉他的有千千，侍立在他面前的有萬萬。審判已經開始，案卷全都展開。
11	“我繼續觀看——因為那隻角說誇大話的聲音——我繼續觀看，就看到第四隻巨獸被殺，身體被毀，被扔進火裡焚燒。
12	至於其餘的三隻巨獸，牠們的統治權都被奪去，生命卻得以延長，直到所定的時候和日期。”
13	“我在夜間的異象中繼續觀看，看見有一位像人子的，在天上的雲中來臨，被引領到萬古常存者面前。
14	他得了統治權、榮耀、王國，所有民族、國家和說各種語言的人都侍奉他。他的統治權是永遠的統治權，絕不會廢去；他的王國永不毀滅。
 	但以理詢問異象的寓意
15	“至於我但以理，我的靈在我裡面憂傷，我腦海中出現的異象使我驚惶。
16	我就靠近其中一位侍立者，問他有關這一切事情的真正意思，他就告訴我這些異象的含義，他說：
17	這四隻巨獸就是將要在地上興起的四個王。
18	然而，至高者的聖民將會領受王國，擁有王國直到永遠，直到永永遠遠。
19	那時我想知道有關第四隻獸的真正意思；牠與其他三隻獸不相同，十分恐怖、有鐵牙銅爪、吞吃咬碎後還把剩餘的用腳踐踏。
20	我也想知道有關牠頭上的十隻角和另外長出來那隻角的真正意思；三隻角都倒在那隻角前面，那隻角有眼睛，有說誇大話的嘴，長相比牠同類更威猛。
21	我繼續觀看，看見那隻角與聖民爭戰，戰勝了他們；
22	直到萬古常存者來到，為至高者的聖民伸張正義，那時聖民擁有王國的時候就到了。”
 	天使解釋異象
23	“那位侍立者這樣說：‘第四隻獸就是世上將有的第四個王國，跟所有的王國都不相同；牠必吞吃全地，踐踏、咬碎全地。
24	那十隻角就是從這王國中將要興起的十個王；後來另一個王興起，跟先前的王都不相同，他會制伏三個王。
25	他將出言敵擋至高者，至高者的聖民，他會折磨，他又企圖改變節期和律法，聖民將被交在他手裡一個時期、兩個時期、半個時期。
26	接著審判將開始，他的統治權會被奪去，他將被剷除毀滅，直到永遠。
27	那時，王國、統治權和普天下萬國的大權，都將賜給至高者的聖民。他的王國是永遠的王國，所有掌權者都會侍奉他、順從他。’”
28	這事到此完畢。我但以理心中十分驚惶，大驚失色，但把這事存放在我心裡。”
第八章
 	但以理看見公綿羊異象
1	伯沙撒王在位第三年，在先前顯示給我的異象之後，又有一個異象向我但以理顯示。
2	我在異象中觀看，看見自己在以攔省書珊城堡裡；我在異象中繼續觀看，看見自己在烏萊河的岸邊。
3	我舉目觀看，看見一隻公綿羊站在河邊，牠有兩隻角，兩隻角都很高，其中一隻角比另一隻角更高，較高的角是後來長出來的。
4	我看見那公綿羊往西、往北、往南衝撞，沒有任何動物能夠抵抗牠，也沒有誰拯救牠們脫離牠的手；牠任意而行，狂妄自大。
 	但以理看見公山羊異象
5	我正思量的時候，忽然有一隻公山羊從西而來，走遍整個地面，腳不觸地；這山羊兩眼之間有一隻引人注目的角。
6	牠在猛烈的怒火中衝向那隻有雙角的公綿羊，就是我先前所看見站在河邊的公綿羊。
7	我看見公山羊接近公綿羊時，對公綿羊暴怒地衝撞，折斷其雙角，公綿羊無力抵抗牠；牠將公綿羊撞倒在地上、踐踏牠，沒有誰拯救公綿羊脫離牠的手。
